"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","decimalLongitude","decimalLatitude","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","230568","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker","isotype","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","Someone annotated this: Probably L. Riedel 1023. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230568","NY00230568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02491385","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"Helmreichen","71","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2725109' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491385","NY02491385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","230569","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker","isotype","J. G. F. Riedel","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230569","NY00230569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","811698","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"G. G. Hatschbach","2242","South America","Brazil","Piraquara, Estrada da Graciosa, Alto da Serra.","sheet","Ex. Herbario Hatschbach. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811698","NY00811698_01","M. R. Ritter","1951","04","22","Paraná","-48.891489","-25.344738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","800957","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"F. C. Hoehne","s.n.","South America","Brazil","Campo Congonhas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800957","NY00800957_01",NA,"1946","03","29","São Paulo","-46.660488","-23.627973","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","800955","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"A. Puttemans","s.n.","South America","Brazil","Beira da estrada para Chapada","sheet","Ex. Herv. C. G. e G. de Sao Paulo. Ex. Secçao de Botanica Museu Paulista <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800955","NY00800955_01",NA,"1902","07","26","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","800956","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"W. Hoehne","6037","South America","Brazil","Capital, Parque do Estado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800956","NY00800956_01",NA,"1965","07","26","São Paulo","-46.621883","-23.654505","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","26393","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","pachylepis","Mikania pachylepis","Sch. Bip. ex Baker",NA,"Hoehne, W.","6037",NA,"Brasil","Parque do Estado",NA,"Planta escandente, de florestas alvas, á beira de capoeirão, junto ao prédio novo","BOTU026393","BOTU026393","Hoehne, W.","1965","07","26","São Paulo",NA,NA,"São Paulo","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:59-03","EAO","IAN","60443_f","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","riedeliana","Mikania riedeliana","Casar.",NA,"Casaretto, J","891","Southern America","Brasil",NA,NA,NA,"IAN60443_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:37:06-03","EAO","IAN","24057","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"Riedel, L","s.n.","Southern America","Brasil",NA,NA,NA,"IAN024057","IAN024057_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-05-19 10:29:39-03","UFBA","ALCB","105287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch. Bip. ex Baker",NA,"Guedes, ML; Queiroz, EP; Texeira, SR; Mattos Andrade, PE de","19902","Southern America","Brasil","Região Metropolitana Salvador, Valéria",NA,"Folhas cartáceas, discolores . Inflorescência com capítulos paucifloros, flores cremes.",NA,NA,"Gandara, A","2012","07","04","Bahia","-38.5","-12.966667","Salvador","-38.5","-12.966667","2017","09","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-05-19 10:29:39-03","UFBA","ALCB","15721","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch. Bip. ex Baker",NA,"Silva, A; Santos, TS dos; Brito, HS; Mattos Silva, LA","1845","Southern America","Brasil","Litoral Sul, Fazenda Guanabará ( junto à fazenda Barra do Manguinho). Ramal com entrada no Km 10 da rod. Ilhéus / Olivença, lado direito, 4 Km a Oeste da rodovia",NA,"Flores esverdeadas.; Solo arenoso a sílico - argiloso.",NA,NA,"Rob., H","1985","03","07","Bahia","-39.0494003295898","-14.7889003753662","Ilhéus",NA,NA,"1985","05",NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-05-19 10:29:39-03","UFBA","ALCB","56052","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch. Bip. ex Baker",NA,"Hoehne, W","6037","Southern America","Brasil","Parque do Estado",NA,"Floresta alvas, à beira de capoeirão, junto ao prédio novo.",NA,NA,"Hoehne, W","1965","07","26","São Paulo","-46.6300010681152","-23.5400009155273","São Paulo",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:50:37-03","NBC","NL-BOTANY","L.3657566","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"Reitz R; Klein RM",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3657566 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3657566","NL-L3657566","Ritter MR","1960","04","23","Santa Catarina",NA,NA,NA,NA,NA,"2003","02","23",NA,NA,"Magnoliopsidae","L 0276642",NA,NA,NA,NA,NA
"15","2020-11-04 11:01:57-03","ESALQ","ESA","7213","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens",NA,NA,"Leitão Filho, H.F. et al.","16191.0",NA,"Brasil",NA,NA,NA,"ESA007213","ESA007213","Hind, N.","1984","08","01","São Paulo","-46.8800010681152","-23.1800003051758","Jundiaí",NA,NA,NA,NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:01:57-03","ESALQ","ESA","75567","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch. Bip. ex Baker",NA,"Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","124.0",NA,"Brasil","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu.",NA,"Liana, capítulos alvos.","ESA075567","ESA075567",NA,"2001","04","13","São Paulo","-464.631","-23.592","São Paulo","-464,631","-23,592",NA,NA,NA,NA,NA,NA,NA,"750","750",NA,NA,NA
"17","2020-11-04 11:01:57-03","ESALQ","ESA","72491","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch. Bip. ex Baker",NA,"Krieger, L.","8972.0",NA,"Brasil",NA,NA,NA,"ESA072491","ESA072491","Barroso, G.M.","1970","07","25","Minas Gerais","-44.0950012207031","-22.1494007110596","Santa Rita de Jacutinga",NA,NA,NA,NA,NA,"20148","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:01:57-03","ESALQ","ESA","75744","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip.ex Baker",NA,"Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","601.0",NA,"Brasil","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. 23o59'S, 46o44'W. Ca. 800 m.s.m. Floresta ribeirinha altomontana com campo adjacente.",NA,"Liana, capítulos creme. Campo.","ESA075744","ESA075744","Oliveira, C.T.","2001","04","11","São Paulo","-46.6300010681152","-23.5400009155273","São Paulo",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:01:57-03","ESALQ","ESA","71400","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","rufescens","Mikania rufescens","Sch.Bip. ex Baker",NA,"Hoehne, W.","6037.0",NA,"Brasil",NA,NA,NA,"ESA071400","ESA071400","Oliveira, C.T.","1965","07","26","São Paulo","-46.6300010681152","-23.5400009155273","São Paulo",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:36:08-03","MN","R","85926","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","pachylepis","Mikania pachylepis","Sch. Bip.",NA,"Glaziou, A.F.M.","13978",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000085926","R000085926_001 R000085926_002",NA,"1881","12","12","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-27 13:27:41-03","IAP","PACA-AGP","30234","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","rufescens","Mikania rufescens","Sch. Bip. ex Baker",NA,"Hatschbach, G.",NA,NA,"Brasil","Banhado",NA,"VULNERÁVEL Habitat: in dumetosis scandens Fenofase: flor","PACA030234",NA,"M. R. Ritter","1945","05","09","PR","-49.0633010864258","-25.4416999816895","Piraquara",NA,NA,"2003","09","20","12577","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
