"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","class","barcode","imagecode"
"1","2009-12-03 11:22:00-02","MO","MOBOT","1088455","PreservedSpecimen","Plantae","Bromeliaceae","Cryptanthus","pseudoglaziovii","Cryptanthus pseudoglaziovii","Leme","Ivón M. Ramírez M.","Ramírez Morillo 484","1994","8","13","South America","Brazil","Bahia","Mpio. Valenca, km 13 carretera Valenca-Guaibim, lado izquierdo de la carretera: region de bosque.","-39.33333","-15.46666","10.00000000","20.00000000",NA,NA,NA,NA
"2","2019-07-09 12:55:44-03","F","FMNH-SEEDPLANTS","V0402811F","PreservedSpecimen","Plantae","Bromeliaceae","Cryptanthus","pseudoglaziovii","Cryptanthus pseudoglaziovii",NA,"H. E. Luther","91-523","1996","5","24","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","Monocotyledoneae","V0402811F","V0402811F_01"
