"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","911428","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","K. A. Barringer","W. R. Anderson","36175","1972","02","18","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.566908","-19.391522","1225","1225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911428","NY00911428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","911429","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","K. A. Barringer","W. R. Anderson","35424","1972","02","04","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina","-43.6836","-18.41575","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911429","NY00911429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","911427","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","V. C. Souza","T. B. Cavalcanti","CFSC9364","1985","10","31","South America","Brazil","Minas Gerais","Km 125 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911427","NY00911427_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","911426","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","K. A. Barringer","L. B. Smith","6862","1952","04","29","South America","Brazil","Minas Gerais","Serra do Cipó, 6 km. north of Palacio","-43.58","-19.17","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911426","NY00911426_01","Jaboticatubas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:41-03","EAO","IAN","107720","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, VC","Magalhães, MG","16940","1958","07",NA,"Southern America","Brasil","Minas Gerais","Serra do Cipó (Conceição).",NA,NA,NA,NA,NA,NA,"IAN107720",NA,NA,"1988","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:41-03","EAO","IAN","69640","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, VC","Black, GA; Magalhães, MG","11814","1951","04","05","Southern America","Brasil","Minas Gerais","Cruzamento das estrada Morro do Pilar e Conceição, km 137.",NA,NA,NA,NA,NA,NA,"IAN069640",NA,NA,"1988","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:49:41-03","EAO","IAN","14307","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, VC","Magalhães, MG","1893","1942","05","06","Southern America","Brasil","Minas Gerais","Campo pedregoso. Alto do Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,"IAN014307","IAN014307 IAN014307_e","Serro","1988","01","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:40-03","ESALQ","ESA","48336","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Joly, A.B. et al.",NA,"1972","03","04",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"ESA048336","ESA048336","Jaboticatubas",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:40-03","ESALQ","ESA","15295","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Castro, N.M.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA015295","ESA015295","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:40-03","ESALQ","ESA","46451","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Cordeiro, I. et al.",NA,"1983","11","05",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046451","ESA046451","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
