"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","441077","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","S. V. Dahlberg; C. C. Berg","T. Meyer","3696","1941","01","31","South America","Argentina","Salta","La Vieira. Coronel Moldes","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=488859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","441078","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","M. H. Nee","G. L. Webster","25688","1986","11","16","South America","Brazil","Bahia","Caatinga scrub 3 km NE of Valente","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=488858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441078","Valente","-39.45","-11.38","NY00441078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","230254","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","M. H. Nee","M. H. Nee","47779","1998","01","03","South America","Bolivia","Santa Cruz","6 km (by air) SSW of Mairana, Quebrada Los Cántaros","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=488856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230254","Florida","-63.97","-18.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","309851","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","M. H. Nee","M. H. Nee","47626","1997","12","30","South America","Bolivia","Santa Cruz","1.5 km S of La Tuna, on road from Mairana to Postrervalle, 6 km (by air) SSE of Mairana. Bottom of Mairana valley.","1375","1375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=488857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309851","Florida","-63.95","-18.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:45-03","UFRJ","RFA","20419","PreservedSpecimen","Plantae",NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Carauta","D. Sucre","3675","1968","09","17",NA,"Brasil","Rio de Janeiro","Restinga de Peru, Cabo Frio",NA,NA,NA,"Arbusto sarmentoso até com 5 m de altura","RFA50335","Cabo Frio","-42.0186004638672","-22.8794002532959",NA,"1975","06","06","40069","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:45-03","UFRJ","RFA","5010","PreservedSpecimen","Plantae",NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","A. F. P. Machado","E. Pereira","4411","1958","10","15",NA,"Brasil","Rio de Janeiro","Distrito Federal, Restinga de Jacarepaguá",NA,NA,NA,"Arbusto escandente, flores esverdeadas","RFA50317","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"2005","05","19","57442","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:36:26-03","EAO","IAN","72677","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Romaniuc Neto, S","Araque, JM; Barkley, FA","s.n.","1956","04","19","Southern America","Argentina","Salta","Cafayate, terrenos secos.","1400","1400",NA,"Arbol de 4m, con frutos verdes.","IAN072677",NA,NA,NA,NA,"1996","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:12:27-03","UFBA","ALCB","20777","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.","Pederneiras, LC","Guedes, ML","1381","1987","10","09","Southern America","Brasil","Bahia","Paraguaçu, 52 Km a oeste de Itaberaba",NA,NA,NA,"Ca. de 4,0m. Espinhoso. Folhas membranáceas quando jovem e ásperas quando imaturas.","ALCB034890","Lajedinho","-40.9056015014648","-12.3557996749878","ALCB034890","2008","07",NA,"35716","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:12:27-03","UFBA","ALCB","039946","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.","Pederneiras, LC","Arbo, MM; Schinini; A, Maruñak V; Paniagua Risueño E","7930","1998","08","26","Southern America","Argentina","Corrientes","Dep. Mercedes. Macrosistema Ibera, Laguna Itati, Isla Ombuzal. Interior de la isla",NA,NA,NA,"3-4m. Flores verdosas.","ALCB034945",NA,"-58.1","-28.7","ALCB034945","2008","07","24",NA,NA,"-58.1","-28.7",NA,NA,NA,NA,NA
"10","2019-10-09 11:12:27-03","UFBA","ALCB","10269","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.",NA,"Krapovickas, A; Schinini","35983","1980","04","10","Southern America","Argentina",NA,"Salta, Dep. Capital. 3 Km de Salta, camino a San Lorenzo, La Loma",NA,NA,NA,"3 a 4m.; En lomadas cerca de arroyo.","ALCB034944",NA,NA,NA,"ALCB034944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
