"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","395933","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.","P. J. M. Maas; L. Y. T. Westra","F. C. Hoehne","24594","1914","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Morro de Babylonia, Rio","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395933","NY00395933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","395931","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.",NA,"L. Riedel","824","1832","03","South America","Brazil","Rio de Janeiro",NA,"In collib. umbr. pr. Rio Janeiro",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395931","NY00395931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","395927","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.","P. J. M. Maas","G. Gardner","2","1836",NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395927","NY00395927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-01-12 12:05:00-02","NY","NYBG","395930","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora",NA,NA,"L. Riedel",NA,"1829",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","In Silv. montanis pr. Rio Janeiro","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395930","NY00395930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-01-12 12:05:00-02","NY","NYBG","395929","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora",NA,NA,"L. Riedel",NA,"1829",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","In Silv. montanis pr. Rio Janeiro","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395929","NY00395929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","395934","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.","P. J. M. Maas","P. J. M. Maas","7089","1987","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada de Vista Chinesa, km 3, Alto da Boa Vista, Parque Nacional de Tijuca","-43.264624","-22.969328","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395934","NY00395934_01","03","400","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","395928","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.","P. J. M. Maas","L. Riedel",NA,"1832","03","South America","Brazil","Rio de Janeiro","Rio de Janeiro","In collib. umbr. pr. Rio Janeiro","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395928","NY00395928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1181435","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.",NA,"M. C. Souza","426","2006","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca. Bairro Campo Grande - Rio da Prata. Morro do Cabuçu.","-43.2075","-22.9028","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370064' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181435","NY01181435_01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:28:50-03","UFRJ","RFA","5896","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Rolliniopsis","parviflora","Rolliniopsis parviflora","(A.St.-Hil.) Saff.",NA,"E. Pereira","4476","1959","02",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada do Sumaré.","-43.2075004577637","-22.9027996063232",NA,"Arbusto. Flor creme Habito: Arbusto","RFA26029",NA,"23",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:42:57-03","NBC","NL-BOTANY","U.1081702","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","parviflora","Rollinia parviflora","A.St.-Hil.",NA,"Maas PJM; et al.",NA,"1987","12","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081702","NL-U1081702","03",NA,NA,NA,NA,"Magnoliopsidae","U 0143744",NA,NA,NA,NA,NA,NA,NA,NA,NA
