"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","imagecode","typeStatus","fieldNumber","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","685810","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","G. Martinelli","3258","1977","10","12","South America","Brazil","Rio de Janeiro","Resende","Parque Nacional de Itatiaia, entre o Véu da Noiva e o Museu","-44.4467","-22.4692","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:42-03","UNESP-IBB","BOTU","31604","PreservedSpecimen","Plantae",NA,NA,"Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Silva, S.M.P.","187","2006","07","19",NA,"Brasil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande",NA,NA,NA,NA,NA,NA,"BOTU031604","Mendaçoli Jung, S.L.","2007","10","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:29-03","UFRJ","RFA","4744","PreservedSpecimen","Plantae",NA,NA,"Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","P. Occhioni","966","1947","03","20",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, lote 88","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Com amostra de madeira","RFA25252",NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:33:03-03","EAO","IAN","81336","PreservedSpecimen","Plantae",NA,NA,"Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Glaziou, AFM","7565",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN081336","Ramos, E","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:21:32-03","NBC","NL-BOTANY","L.1169669","PreservedSpecimen","Plantae",NA,"Proteales","Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Glaziou AFM",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1169669 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1169669",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1169669",NA,NA,NA,NA
"6","2020-02-08 10:21:32-03","NBC","NL-BOTANY","L.1169682","PreservedSpecimen","Plantae",NA,"Proteales","Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Derny",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1169682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1169682",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1169682",NA,NA,NA,NA
"7","2020-02-08 10:21:32-03","NBC","NL-BOTANY","U.1584681","PreservedSpecimen","Plantae",NA,"Proteales","Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Campos Porto P",NA,"1918","11","08","Southern America","Brazil",NA,NA,"Itatiaia mons.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1584681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1584681",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-U1584681",NA,NA,NA,NA
"8","2020-11-04 12:16:08-03","ESALQ","ESA","134398","PreservedSpecimen","Plantae",NA,NA,"Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Gissi, D. S.","140.0","2015","02","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459","1153","1153",NA,"Caminho entre os quiosques e Lago Azul","ESA134398","D. S. Gissi","2015",NA,"22º25'33,4",NA,"19648","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:19:22-03","UFV","VIC","011191","PreservedSpecimen","Plantae",NA,NA,"Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Silva, A.F.; Menezes Silva, S.","1566","1987","08","29",NA,"Brasil","São Paulo","São José dos Campos","Flora da reserva florestal Boa Vista","-45.8800010681152","-23.1700000762939",NA,NA,NA,"Árvore de ate 5 m,flores em botão de cor verde.","VIC011191",NA,NA,NA,NA,NA,"39297","auto",NA,"VIC011191",NA,NA,NA,NA
"10","2021-03-01 16:40:34-03","UNICAMP","UEC","53256","S","Plantae","Magnoliopsida",NA,"Sabiaceae","Meliosma","itatiaiae","Meliosma itatiaiae","Urb.","Silva, AF; Menezes Silva, S","1566","1987","08","29",NA,"Brazil","São Paulo","São José dos Campos","Reserva florestal de boa vista","-45.9375","-23.075",NA,NA,NA,"Árvore até 5m, flores em botão de cor verde.","UEC154630",NA,NA,NA,"-45.9375","-23.075",NA,NA,NA,"UEC154630",NA,NA,NA,NA
