"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","class","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","590","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","Elton. C. M. Leme","2011","08","E. Catharino;","1994","10","28","Brasil","São Paulo","Bananal","Serra da Bocaina; subida para o morro das antenas, próximo à sede da Probocaina","-44.3199996948242","-22.6800003051758","26795","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","156","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","1989","09","23","Brasil","São Paulo","Bananal","Fazenda no Sertão das Cobras","-44.3199996948242","-22.6800003051758","26795","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-25 15:39:07-02","IAC","IAC","5582","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","B.A. Moreira","2009","05","H.G. Blanco","1940","11","04","Brasil","São Paulo","Salesópolis",NA,"-45.8464","-23.5322",NA,NA,"Herbaceo, Estacao experimental de boracea. folhas no Herbário.",NA,"26","s/nº","-45.8464","-23.5322",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-04 15:41:58-03","IF","SPSF","10522","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","M.G.L.Wanderley",NA,NA,"A.Custodio Filho","1984","05","10","Brasil","SP","Biritiba Mirim","Estação Biológica de Boracéia",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"2399",NA,NA,"Liliopsida","Parátipo","América do Sul",NA,NA,NA,NA
"5","2021-03-04 15:41:58-03","IF","SPSF","10524","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","M.G.L.Wanderley",NA,NA,"A.Custodio Filho","1984","05","10","Brasil","SP","Biritiba Mirim","Estação Biológica de Boracéia",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"2393",NA,NA,"Liliopsida",NA,"América do Sul",NA,NA,NA,NA
"6","2019-11-21 10:02:40-03","IBt","SP","345834","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","Moreira, BA","2006","07","Catharino, ELM","1995","05","10","Brasil","São Paulo","Bananal","Serra da Bocaina, Sede da Fundação Pró-Bocaina. Cultivada no Bromeliário do Instituto de Botânica de São Paulo, sob nº 540.","-44.3199996948242","-22.6800003051758","26795",NA,NA,"auto","14","s.n.",NA,NA,NA,NA,NA,"1100","1500","SP052092","SP052092"
"7","2019-11-21 10:02:40-03","IBt","SP","268436","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","corallinum","Nidularium corallinum","(Leme) Leme","Wanderley, MGL; Versieux, LM","2008",NA,"Blanco, NG","1940","04","27","Brasil","São Paulo","Boracéia","Estação Experimental de Boracéia","-48.7700004577637","-22.1900005340576","10241",NA,NA,"auto",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,"SP052093","SP052093"
"8","2019-11-21 10:02:40-03","IBt","SP","340279","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","longiscapum","Nidularium longiscapum","B.A.Moreira & Wand.","Moreira, BA","1999","12","Catharino, ELM","1995","05","10","Brasil","São Paulo","Bananal","Sede da Pro-Bocaina. Floresta pluvial. Cult. no Instituto de Botânica sob n. 540","-44.3199996948242","-22.6800003051758","26795",NA,"Roseta com poucas folhas, escapo longo, brácteas do escapo verdes e brácteas primárias com ápice rosa, flor rosa e frutos vermelhos&nf;Acta Botanica Brasilica 14(1):122. 2000","auto","05","s.n.",NA,NA,NA,"Holotype",NA,"1100","1500","SP001802","SP001802"
