"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","order","year","month","day","class","scientificNameAuthorship","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","recordedBy","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","previousCatalogNumber"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4182","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","Carlos Alberto Ferreira Júnior","2017","06","27","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3997","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana",NA,"2017","03","13",NA,"254","Magnoliophyta","Asparagales","2017","03","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2008","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana",NA,NA,NA,NA,NA,"254","Magnoliophyta","Asparagales",NA,NA,NA,"Equisetopsida","Gardner.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4012","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana",NA,"2017","03","13","1","254","Magnoliophyta","Asparagales","2017","03","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3967","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana",NA,"2017","01","04",NA,"254","Magnoliophyta","Asparagales","2017","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3966","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana",NA,"2017","01","04","1","254","Magnoliophyta","Asparagales","2017","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3962","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana",NA,"2017","01","04","1","254","Magnoliophyta","Asparagales","2017","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3746","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","Maria Guadalupe","2016","05","30","1","254","Magnoliophyta","Asparagales",NA,NA,NA,"Equisetopsida","Gardner.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4360","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","Carlos Alberto Ferreira Júnior",NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4178","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","Carlos Alberto Ferreira Júnior","2017","06","27","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4363","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","Carlos Alberto Ferreira Júnior",NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4366","S","Plantae","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","Carlos Alberto Ferreira Júnior",NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3856","S","Plantae","Orchidadeceae","Cattleya","walkeriana","Cattleya walkeriana","Carlos Alberto Ferreira Júnior","2016","08","22","1","254","Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
