"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01451694","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Micrandra","elata","Micrandra elata","(Didr.) Müll.Arg.","J. F. Ramos","S. R. Hill","13102","1983","07","15","South America","Brazil","Amazonas","Rio Parauari, black water-tributary of the rio Maués-Açu, at Agua Mineral. Terra firme forest in sandy clay soil (campinarana).","-57.933333","-4.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1324713' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451694","NY01451694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01451695","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Micrandra","elata","Micrandra elata","(Didr.) Müll.Arg.",NA,"M. Kuhlmann","312","1959","09","28","South America","Brazil","Pará","Rodovia Belém-Brasília, Km 96.","-47.6399374","-1.3286794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695839' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451695","NY01451695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01451696","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Micrandra","elata","Micrandra elata","(Didr.) Müll.Arg.","K. L. Forsgard","D. F. Austin","7365","1979","11","10","South America","Brazil","Amapá","Entre Acampamento Carnot e Cunani.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451696","NY01451696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01451693","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Micrandra","elata","Micrandra elata","(Didr.) Müll.Arg.","K. L. Forsgard","W. A. Rodrigues","8508","1968","07","11","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara, Km 155, árvore nº 123 da picada XIX. Mata de carrasco, alto, de solo arenoso.","-59.1276455","-2.9136823","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1324712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451693","NY01451693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1552490","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Micrandra","elata","Micrandra elata","(Didr.) Müll.Arg.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552490","NY01552490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 15:37:00-03","NY","NYBG","272963","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Micrandra","santanderensis","Micrandra santanderensis",NA,NA,"O. L. Haught","2189","1937","04","30","South America","Colombia","Santander","Vicinity of Puerto Berrio, between Carare and Magdalena Rivers: In valley of Dorada Creek, 5 km S of Raizudo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00272963","NY00272963_01","isotype","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:38:28-03","EAO","IAN","19247","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Micrandra","bracteosa","Micrandra bracteosa","Müll.Arg.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN019247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:38:31-03","EAO","IAN","101348","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Micrandra","brownsbergensis","Micrandra brownsbergensis","Lanj.","Rodrigues, WA","Lanjouw, J; Lindeman, JC","2571","1949","03","10","Southern America","Suriname",NA,"Forest on planteau, km 7,2. Hab. in montibus, qui dicuntur Nassau.",NA,NA,NA,"Tree, 20m tall; flowers buds white.","IAN101348",NA,NA,NA,NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:38:31-03","EAO","IAN","101374","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Micrandra","brownsbergensis","Micrandra brownsbergensis","Lanj.","Rodrigues, WA","Lanjouw, J; Lindeman, JC","2735","1949","03","16","Southern America","Suriname",NA,"Hab. In montibus, qui dicuntur Nassau. &nf;Mountain forest, km 11,6.",NA,NA,NA,"Tree, 14m tall; fruit green with brown spots","IAN101374",NA,NA,NA,NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:38:31-03","EAO","IAN","164966","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Micrandra","brownsbergensis","Micrandra brownsbergensis","Lanj.","Liesner, R","Evans, R; Koemar, S; Ramlal, J; Traag, D","2458","1995","11","21","Southern America","Suriname","Sipaliwini","Vicinity of Blanche arie Waterfall on the Nickerie River.&nf;Edge of treefall gap in primary lowland wet forest, near summit of small hill above Nickerie River at base of falls.","-56.880556","4.758333",NA,"Tree, 15m tall; trunk, stems,and leaves with milky latex; flowers light green.","IAN164966",NA,NA,NA,NA,"1996","-56.880556","4.758333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
