"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","4077531","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","S. S. Tillett","45337","1960","09","08","South America","Guyana","forest near Mokay R; Kukui River","490","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4393956' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077531","NY04077531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418190","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","J. G. Jardim","838","1996","06","23","South America","Brazil","Estrada Santa Luzia/Una, entrada a 11.3 km a E da sede do município. Serra da Onca, ca 4.5 km da entrada","510","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418190","NY00418190_01","G. A. Romero","Bahia","Santa Luzia","-39.2569077","-15.3417536","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04077534","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","S. S. Tillett","45263","1960","08","22","South America","Guyana","forest bordering Haieka Savannah, E side Haieka R, 2 mi E of Chinowienga Village. Ayanganna Plateau. Rufas Boyan","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4393960' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077534","NY04077534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418191","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","T. W. Henkel","2106","1993","05","22","South America","Guyana","Region: U. Demarara-Berbice. Essequibo river from Monkey Jump to Persaud timber concession","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418191","NY00418191_01","E. A. Christenson",NA,NA,"-58.55","6.33","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","418192","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","B. Maguire","33093","1952","01","10","South America","Venezuela","Cerro Guaiquinima, río Paragua along stream course, North Valley","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418192","NY00418192_01","E. A. Christenson","Bolívar",NA,NA,NA,"1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04077532","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","B. Maguire","45994A","1961","08","29","South America","Guyana","Southern Pakaraima Mountains, Kopinang Savanna, Kopinang Falls","823","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4393957' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4077533","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","E. A. Christenson","1954","1994","06","12","South America","Guyana","Kaieteur Falls National Park, west of View #2.","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4393959' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077533",NA,NA,"Potaro-Siparuni",NA,"-59.4833","5.1667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","418194","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","J.-J. de Granville","8723","1986","01","15","South America","French Guiana","Mont Galbao. Secteur Est.","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418194","NY00418194_01","E. A. Christenson","Cayenne",NA,"-53.28","3.6","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4077529","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","H. Leng","346","1922","12","10","South America","Guyana","along the upper Mazaruni River",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4393954' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077529","NY04077529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","418193","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","carpophorum","Epidendrum carpophorum","Barb.Rodr.","E. Asplund","19985","1956","03","27","South America","Ecuador","Napo-Pastaza, Shell Mera on shore of río Pastaza","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418193","NY00418193_01","E. A. Christenson",NA,NA,"-78.05","-1.5","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
