"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","eventTime","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2016-09-29 16:21:00-03","NY","NYBG","441869","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Clavija","spinosa","Clavija spinosa","B. Ståhl","B. D. Sucre","2820","1969","05","27","South America","Brazil","Rio de Janeiro","Niterói","Itaipú","-43.1036","-22.8833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441869","NY00441869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","441870","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Clavija","spinosa","Clavija spinosa","A. C. Brade","Collector unspecified","21939",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441870","NY00441870_01","(Vell.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","441868","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Clavija","spinosa","Clavija spinosa","B. Ståhl","O. X. B. Machado","487","1948","06","29","South America","Brazil","Rio de Janeiro","Rio de Janeiro","R. da Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441868","NY00441868_01","(Vell.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:10-03","UFRJ","RFA","29329","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Clavija","spinosa","Clavija spinosa","M.A. Lopes","P.M. Andrade; M. Alves","681","1985","09","21",NA,"Brasil","Minas Gerais","Minas Gerais","E.B. C. Matadogaó",NA,NA,NA,"Arbusto; flores alaranjadas masculinas. O fruto é alimento de sagui","RFA50045",NA,"(Vell.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:10-03","UFRJ","RFA","29330","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Clavija","spinosa","Clavija spinosa","M.A. Lopes","M.A. Lopes","749","1985","10","21",NA,"Brasil","Minas Gerais","Minas Gerais","E.B.C. - Matadogaó",NA,NA,NA,"Arbusto; flores femininas, fruto começando a desenvolver (flores alaranjadas) cheiro de doce de abobora. Fruto é alimento de sagui","RFA50047",NA,"(Vell.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:47:15-03","EAO","IAN","59380","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Clavija","spinosa","Clavija spinosa","Harling, G","Pinto, GCP","548","1950","10",NA,"Southern America","Brasil","Bahia",NA,"Serra da Copióba. (Herbário Escola de Agronomia Cruz das Almas).",NA,NA,NA,NA,"IAN059380",NA,"Desf.","1964","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:05:16-03","NBC","NL-BOTANY","L.2630871","PreservedSpecimen","Plantae",NA,"Ericales","Theophrastaceae","Clavija","spinosa","Clavija spinosa",NA,"Vincent D",NA,"1966","10","04","Southern America","Brazil",NA,NA,"Provce de Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2630871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2630871","NL-L2630871","(Vell.) Mez",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:05:16-03","NBC","NL-BOTANY","U 0006857","PreservedSpecimen","Plantae",NA,"Ericales","Theophrastaceae","Clavija","spinosa","Clavija spinosa","Staehl B","Riedel L",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"prope Rio Janeiro",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006857 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006857","NL-U0006857","(Vell.) Mez","1989","08","Magnoliopsidae","01","isotype","1110",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:15:57-03","ESALQ","ESA","135971","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Clavija","spinosa","Clavija spinosa",NA,"R.H.P.Andreata","437.0","1982","04","14",NA,"Brasil","Rio de Janeiro","Itaipuaçu",NA,NA,NA,NA,NA,"ESA135971",NA,"(Vell.)Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:17:48-03","ESALQ","ESA","132063","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Clavija","spinosa","Clavija spinosa","Souza, G.R.","Holtz, D. et al.","221.0","2013","09","01",NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959",NA,NA,"ESA132063",NA,NA,"2013","11",NA,"17",NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA
