"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","occurrenceRemarks","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus"
"1","2019-02-15 11:46:51-02","IPA","IPA","29298","S","Plantae","Plantae","Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Pessoa, E.","2010","05","11","Andrade-Lima","72-7091","1972","10","10","Southern America","Brasil","Pernambuco","Caruaru","Brejo dos Cavalos","-35.9761009216309","-8.28332996368408","35136","IPA0029298","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:46:51-02","IPA","IPA","3644","S","Plantae","Plantae","Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Hoehne","1935","08",NA,"Pickel, B.","3928","1935","07","06","Southern America","Brasil","Pernambuco","Vitória de Santo Antão","Cachoeirinha.","-35.2914009094238","-8.11806011199951","21817","IPA0003644","auto","Epífita.","IPA0003644",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-27 13:51:17-03","UFS","ASE","25824","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Pessoa, E","2014","08","08","Melo, LMS; Santana, TTS; Farias, MCV","64","2012","11","01","Southern America","Brasil","Sergipe","Capela","Refúgio da Vida Silvestre Mata do Junco, Solo Argiloso.","-37.0309","-10.3012",NA,"ASE0010591",NA,"Flores amarelas, com aproximadamente 5 cm.; Mata Atlântica.","ASE0010591","-37.0309","-10.3012",NA,NA,NA,NA,NA
"4","2021-01-26 13:56:57-03","IMA","MAC","41154","PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","E.C.O.Chagas","2009","05","02","Chagas-Mota; A.I.L.Pinheiro; J.W.A.Silva","3413","2009","05","02",NA,"Brasil","Alagoas","Murici","Serra do Ouro.","-35.942003","-9.309528",NA,"MAC0041154",NA,"Epífita. Inflorescência seca.; Mata Pluvial Atlântica.",NA,"-35.942003","-9.309528",NA,NA,NA,NA,NA
"5","2014-11-06 16:18:18-02","UFPB","EAN","5080","S","Plantae",NA,"Orchidaceae","Campylocentrum","cf. ef. pernambucense","Campylocentrum cf. ef. pernambucense","Hoehne","L. P. Felix","1989","01","14","L. P. Felix ; G. V. Dornelas","1928","1989","01","14",NA,"Brasil","Pernambuco","Belo Jardim","Santa Rosa","-36.4242","-8.33556","27307",NA,"auto","Erva; flores brancas..Habitat: Epífita, umbrófila em matas.",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-04 10:29:36-03","UFRPE","HST","14595","PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","E.Pessoa","2011","03","29","A.M.Miranda; et al.","4035","2002","10","15",NA,"Brasil","Pernambuco","Caruaru","Brejo dos Cavalos","-35.9761009216309","-8.28332996368408","35136","HST014595","auto","Epífita; crassa; segmentos vegetativos verdes; frutos imaturos verdes",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 11:49:56-03","UFPE","UFP","78715","PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Pessoa, E","2014","11",NA,"Pessoa, E; Amorim, BS; Maciel, JR; Luna, NK","1287","2014","11","26",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.7933006286621","-8.72667026519775","11830","UFP078715","auto","Epífita com frutos verdes.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 11:49:56-03","UFPE","UFP","41583","PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Cabral, JS","2005","06","02","Siqueira-Filho, JA; Oliveira, JB; Cabral, JS; Leite, MS","1508","2005","06","02",NA,"Brasil","Alagoas","Ibateguara",NA,"-35.909972","-8.149567",NA,"UFP041583",NA,"Epífita de Copa inferior/sub-bosque encontrada em galhos de árvore caída. Planta monopodial, delicada, com folhas verdes de ca. de 3-4cm de comprimento. Espécie endêmica do Centro Pernambuco.; Epífita de Copa inferior/sub-bosque encont",NA,"-35.909972","-8.149567","509","509",NA,NA,NA
"9","2021-03-01 11:49:56-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Cabral, JS","2005","06","02","Siqueira-Filho, JA; Oliveira, JB; Cabral, JS; Leite, MS","1508","2005","06","02",NA,"Brasil","Alagoas","Ibateguara",NA,"-35.909972","-8.149567",NA,NA,NA,"Epífita de Copa inferior/sub-bosque encontrada em galhos de árvore caída. Planta monopodial, delicada, com folhas verdes de ca. de 3-4cm de comprimento. Espécie endêmica do Centro Pernambuco.; Epífita de Copa inferior/sub-bosque encontrada em galhos",NA,"-35.909972","-8.149567","509","509",NA,NA,NA
"10","2021-03-01 11:49:56-03","UFPE","UFP","85285","PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Pessoa, E",NA,NA,NA,"Thomas, WW","12551","2001","10","23",NA,"Brasil","Bahia","Jequié",NA,"-40.0835990905762","-13.8575000762939","49443","UFP085285","auto","Epífita com flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 11:49:56-03","UFPE","UFP","85429","PreservedSpecimen","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Vilaça, M","2017","09","22","Vilaça, M; Melo, A; Nepomuceno, A; Cavalcanti, D; et al.","117","2017","09","22",NA,"Brasil","Pernambuco","Lagoa dos Gatos",NA,"-35.9000015258789","-8.65832996368408","14934","UFP085429","auto","Epífita, interor da mata. Tratada em álcool",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-07 09:19:50-03","UEFS","HUEFS","84800","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","E.Pessoa","2016","12",NA,"Thomas, W.W.","12551","2001","10","23",NA,"Brasil","Bahia",NA,"Serra do Castanhão, 14,5 Km S of Jequié on BR 116 to road (at Churrascaria Corujão), then 7,2 Km W.","-40.183333","-13.933333",NA,"HUEFS0084800",NA,"Forest.","HUEFS0084800","40W11'","13S56'","775","775","Lilianae","Asparagales",NA
"13","2019-11-21 10:12:56-03","IBt","SP","34018","S","Plantae",NA,"Orchidaceae","Campylocentrum","pernambucense","Campylocentrum pernambucense","Hoehne","Hoehne, FC","1938",NA,NA,"Pickel, B","3928","1935","07","06",NA,"Brasil","Pernambuco","Victória","[Vitória de Santo Antão?]",NA,NA,NA,"SP001964",NA,"Epífita","SP001964",NA,NA,NA,NA,NA,NA,"Isotype"
