"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","162348","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","itambana","Mikania itambana","Gardner","isotype","G. Gardner","4869","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162348","NY00162348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:56-03","EAO","IAN","14899","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Oliveira, JE de","s.n.","1940","Southern America","Brasil","Campo com cascalho, serra do Cipó.",NA,"Arbusto, flores alvas.","IAN014899","IAN014899 IAN014899_e","07","12","Minas Gerais","Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:56-03","EAO","IAN","108011","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Magalhães, MG","18185","1960","Southern America","Brasil","Capoeira ciliar de córrego.",NA,"Subarbusto de 0,50-1m, regular, frequência.","IAN108011",NA,"08",NA,"Minas Gerais","Serro","-43.3793983459473","-18.604700088501","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:51-03","UFBA","ALCB","105989","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3052","2011","Southern America","Brasil","Parque Estadual do Rio Preto, Trilha para a Cachoeira da Sempre Viva",NA,"ca. 1,5m alt., ramos castanhos; folhas levemente discolores. Brácteas involucrais verdes, flores creme.",NA,NA,"06","23","Minas Gerais","São Gonçalo do Rio Preto","-43.343056","-18.120833",NA,NA,"Quaresma, AS","2012","12","03","-43.343056","-18.120833","747","747",NA,NA,NA
"5","2019-10-09 11:10:51-03","UFBA","ALCB","107948","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Franco, IM; Quaresma, AS; Costa, FN; Araújo, MI; Cota, MMT","344","2010","Southern America","Brasil","Parque Estadual do Pico do Itambé. Início da subida do pico, por Capivari",NA,"ca. 1,5 m em afloramento rochoso. Flores creme e anteras marrons.",NA,NA,"04","23","Minas Gerais","Serro","-43.3525","-18.395",NA,NA,"Quaresma, AS","2012","11",NA,"-43.3525","-18.395","1823","1823",NA,NA,NA
"6","2019-10-09 11:10:51-03","UFBA","ALCB","107981","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Quaresma, AS; Cota, MMT; Franco, IM; Araújo, MI; Costa, FN","100","2010","Southern America","Brasil","Subida para o Pico do Itambé a partir de Capivari. P.E. Pico do Itambé",NA,"ca. 1.5m de alt. Corola e estigamas alvos, anteras vináceas. Odor adocicado.; Solo arenoso pedregoso entre afloramento rochoso.",NA,NA,"04","23","Minas Gerais","Serro","-43.362778","-18.396111",NA,NA,"Quaresma, AS","2012","11",NA,"-43.362778","-18.396111","1942","1942",NA,NA,NA
"7","2019-10-09 11:10:51-03","UFBA","ALCB","108014","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Quaresma, AS; Silva, AP","419","2012","Southern America","Brasil","Parna Sempre Vivas. Estrada do acampamento para Curimataí.",NA,"ca. 1,5 m. Folhas levemente discolores. Brácteas involucrais verde com ápice castanho, pápus corola e estiletes cremes, anteras castanhas.",NA,NA,"04","17","Minas Gerais","Buenópolis","-43.811667","-17.91",NA,NA,NA,NA,NA,NA,"-43.811667","-17.91","1289","1289",NA,NA,NA
"8","2019-10-09 11:10:51-03","UFBA","ALCB","108303","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Quaresma, AS; Silva, AP","419","2012","Southern America","Brasil","Parna Sempre vivas. Estrada do acampamento para Curimataí",NA,"ca. 1,5 m. Folhas levemente discolores. Brácteas involucrais verdes com ápice castanho, papus corola e estiletes cremes, anteras castanhas.",NA,NA,"04","17","Minas Gerais","Buenopolis","-43.811667","-17.91",NA,NA,NA,NA,NA,NA,"-43.811667","-17.91","1289","1289",NA,NA,NA
"9","2021-03-01 16:24:46-03","UNICAMP","UEC","108199","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Caste","42","2019",NA,"Brazil","Brasil, Minas Gerais, Morro do Pilar, Parque Nacional da Serra do Cipó, Trilha das Vellozias.",NA,"1,60 m, flores brancas.; Campo Rupestre.","UEC065264","UEC065264","05","20","Minas Gerais","Morro do Pilar","-43.516667","-19.25",NA,NA,"Machi, AHL","2019","06","11","-43.516667","-19.25","1302","1302",NA,NA,NA
"10","2021-03-01 16:24:46-03","UNICAMP","UEC","204209","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Ca","42","2019",NA,"Brazil","Brasil, Minas Gerais, Morro do Pilar, Parque Nacional da Serra do Cipó, Trilha das Vellozias.",NA,"1,60 m, flores brancas.; Campo Rupestre.","UEC107180","UEC107180","05","20","Minas Gerais","Morro do Pilar","-43.516667","-19.25",NA,NA,"Machi, AHL","2019","06","11","-43.516667","-19.25","1302","1302",NA,NA,NA
"11","2021-03-01 16:24:46-03","UNICAMP","UEC","114207","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Foster, MB; Mello Barreto, HL","10889","1940",NA,"Brazil","Serra do Cipó, km 145 - estrada de Conceição.",NA,"Arbusto, flor alva; muito frequente.; Campo com cascalho.","UEC126627","UEC126627","07","12","Minas Gerais","Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","Mello Barreto, HL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:24:46-03","UNICAMP","UEC","110535","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Vitta, FA; Passos, LC","339","1996",NA,"Brazil","Serra do Cipó, Parque nacional da Serra do Cipó. Afloramento da Vellozia gigantea.",NA,"Subarbusto até 1m alt. Flores alvas.; Campo arenoso próximo ao afloramento.","UEC125322","UEC125322","07",NA,"Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","Contro, FL","2015","09",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-16 08:38:36-03","UTFPR","HCF","19595","S","Plantae",NA,NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"G. Hatschbach","73610","2002",NA,"Brasil","Serra do Cabral, entre o Rio Embaiassaia",NA,"ereta, 1,50 m. Campo rupestre; solo arenoso.",NA,NA,"08","18","MG","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503","auto","W.C. Homes","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:16:38-03","MBM","MBM","272446","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","73610","2002","Southern America","Brazil","Serra do Cabral, entre o Rio Embaiassaia e o Rio Preto",NA,NA,"MBM272446","MBM272446","08","18","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503","auto","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:16:38-03","MBM","MBM","128675","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Hatschbach, G.; Nicolack, V.; Nicolack, V.","53021","1989","Southern America","Brazil","Estribo Bandeirinha",NA,NA,"MBM128675","MBM128675","05","21","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:16:38-03","MBM","MBM","272461","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","76574","2002","Southern America","Brazil","Serra do Cabral, entre o Rio Embaiassaia e o Rio Preto",NA,NA,"MBM272461","MBM272461","08","18","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503","auto","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:33:16-03","UFMG","BHCB","152849","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Fernandes, AC; Oliveira, CT; Vale, AA; Augsten, M","802","2011","Southern America","Brasil","Capivari, Parque Estadual Pico do Itambé, trilha para o Pico do Itambé.",NA,"Subarbusto com 1m de altura.; Campo Rupestre","BHCB031832",NA,"04","22","Minas Gerais","Serro","-43.358889","-18.39",NA,NA,NA,"2015","09",NA,"-43.358889","-18.39","1529","1529",NA,NA,NA
"18","2020-12-11 11:33:16-03","UFMG","BHCB","54614","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","itambana","Mikania itambana","Gardner",NA,"Barreto, HLM","3975","1933","Southern America","Brasil","Serra do Cipó.",NA,"Frequência regular. Arbusto, 0,6m; Campo","BHCB018535",NA,"08","07","Minas Gerais","Santa Luzia","-43.8513984680176","-19.7696990966797","19939","auto",NA,"1933",NA,NA,NA,NA,NA,NA,NA,NA,NA
