"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","occurrenceRemarks"
"1","2019-08-20 10:00:58-03","UNICAMP","UEC","139777","S","Plantae","Liliopsida","Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi","Royer, CA","2015","06","08","Breier, TB; Singer, RB","1109","2003","07","04","Brazil","São Paulo","Tapiraí","Serra de Paranapiacaba","-47.5","-23.9599990844727","41034","UEC001802","UEC001802","auto",NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:10:58-03","UFES","VIES","42102","S","Plantae",NA,"Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi","J.P.F. Zorzanelli","2017","10",NA,"H.M. Dias","886","2017","10","03","Brasil","Minas Gerais","Alto Caparaó","Macieira. Fragmento de Floresta ombrófila Densa Altomontana, próximo a base da Macieira do Parque. Parque Nacional do Caparaó","-41.828611","-20.478889",NA,"VIES042102","VIES042102",NA,"41º49'43''W","20º28'44''S","1900","1900",NA,NA
"3","2020-12-11 11:44:48-03","UFMG","BHCB","183327","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi",NA,"2016","09","15","Paucar, JOA; Batista, JAN; Silva, GS; Bragioni, TLS; Lima, LV","47","2016","09","15","Brasil","Minas Gerais","Espera Feliz","Parque Nacional do Caparaó, Myrante do Lajão e Macieira","-41.829222","-20.47675",NA,"BHCB039539",NA,NA,"-41.829222","-20.47675","1872","1872","Southern America","Epífita; Borda da mata"
"4","2020-12-11 11:44:48-03","UFMG","BHCB","35214","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi",NA,"2012","06",NA,"Krieger, L","24050","1989","04","30","Brasil","Minas Gerais","Alto da Macieira","P.N.Caparaó",NA,NA,NA,"BHCB010051",NA,NA,NA,NA,NA,NA,"Southern America","Epífita, flores alvas, entre musgos. F.P.N.C. 975; Flores alvas, entre musgos.; Epífita."
"5","2020-12-11 11:44:48-03","UFMG","BHCB","135957","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi",NA,"2012","06",NA,"Heringer, G; Machado, TM; Reis, SB","295","2010","03","05","Brasil","Minas Gerais","Espera Feliz","Parque Nacional do Caparaó, estrada do ES, caminho entre a Macieira e Cachoeira do Aurélio","-41.9071998596191","-20.6502990722656","21988","BHCB010050",NA,"auto",NA,NA,"1915","1915","Southern America","Epífita em mata nebular. Flores brancas; Flores brancas; Epífita em mata nebular."
"6","2021-02-11 17:21:00-03","UFPR","UPCB","84518","PreservedSpecimen","Plantae",NA,"Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Lindl.","Royer, C.A.","2015","12",NA,"Royer, C.A | Bolson, M.","89","2015","12","04","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Estrada para a parte alta.","-44.728333","-22.364722",NA,NA,NA,NA,"-44.728333","-22.364722","2281","2281",NA,"Coletado em 22/08/2015 e cultivado até a floração na UFPR. Material em álcool e DNA.."
"7","2021-02-11 17:21:00-03","UFPR","UPCB","81848","PreservedSpecimen","Plantae",NA,"Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi","Royer, C.A.","2014",NA,NA,"Bolson, M.","555","2014","03","23","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos (PARNASO). Trilha Pedra do Sino, entre os abrigos 3 e 4, em um tronco de árvore que passa sobre a trilha. Floresta Ombrófila Densa. Altitude: 1979m","-43.023","-22.461",NA,NA,NA,NA,"-43.023","-22.461",NA,NA,NA,"Epífita. Flores brancas."
"8","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","6125",NA,"Plantae",NA,"Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi & Alii","H. Q. B. Fernandes/11-05-1988; Toscano, 2007in lit.",NA,NA,NA,"(MBML 6125)","19",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"MBML006125",NA,NA,NA,NA,NA,NA,NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010"
"9","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","6126",NA,"Plantae",NA,"Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi & Alii","H. Q. B. Fernandes/11-05-1988; Toscano, 2007in lit.",NA,NA,NA,"(MBML 6126)","20",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"MBML006126",NA,NA,NA,NA,NA,NA,NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010"
"10","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","6127",NA,"Plantae",NA,"Orchidaceae","Phymatidium","geiselii","Phymatidium geiselii","Ruschi & Alii","H. Q. B. Fernandes/11-05-1988; Toscano, 2007in lit.",NA,NA,NA,"(MBML 6127)","22",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"MBML006127",NA,NA,NA,NA,NA,NA,NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010"
