"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","previousCatalogNumber","barcode","order","minimumElevationInMeters","imagecode","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","infraspecificEpithet"
"1","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2271","S","Plantae","Pterifophyta","Dryopteridaceae","Elaphoglossum","cf. gayanum","Elaphoglossum cf. gayanum","(Fée) T.Moore","Luciana Maielo","2007","09","13","Maria Guadalupe Carvalho Fernandes;","Brasil","Minas Gerais","Ouro Preto","Estação Ecológica do Tripuí","-43.5080986022949","-20.2875003814697","44599","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2612","S","Plantae","Pterifophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore","Carlos A. Ferreira Jr.","2013","06","19","Carlos Alberto F. Jr.; Juliana Ordones","Brasil","Minas Gerais","Catas Altas","Reservatório próximo a Casa do Pesquisador, Serra do Caraça","-43.4075012207031","-20.0746994018555","11966",NA,"254","auto","caf","2013","06","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:47-03","E","E","182900","PreservedSpecimen","Plantae",NA,"Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum",NA,NA,NA,NA,NA,"Buchtien, Otto","CL","Región X [Los Lagos]","Provincia de Valdivia","In bay of Corral.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00182900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"1902","10","12","Temperate South America","herbarium specimen of unspecif","BGBASE:220182","E00182900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3823537","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"J. Steinbach","Bolivia","Cochabamba","Chapare","Llantas-Aduana",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103600' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9578","1929","03","10","South America","sheet",NA,"NY03823537","Polypodiales","3100","NY03823537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3823447","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"J. A. Steyermark","Venezuela","Apure",NA,"Along Río Talco (Oirá), headwaters in páramo by Venezuelan-Colombian frontier, between Alto de Cruces and Tierra Negra, on Páramo de Pato de Judio.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103510' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"101095","1968","01","19","South America","sheet",NA,"NY03823447","Polypodiales","3000","NY03823447_01","3200",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","875311","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"A. Salino","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da sede.","-42.5206","-20.6669",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959430' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4956","1999","07","11","South America","sheet",NA,"NY00875311","Polypodiales","1400","NY00875311_01","1400",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3823521","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"A. Vasco","Colombia","Caldas",NA,"PNN los Nevados.","-75.38011","4.96967",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103584' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"607","2006","08","08","South America","sheet",NA,"NY03823521","Polypodiales","3540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3823555","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"T. Feuerer","Bolivia","La Paz","Pedro Domingo Murillo","Zongo- Tal",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"8684a","1980","02","23","South America","sheet",NA,"NY03823555","Polypodiales","3150","NY03823555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3823485","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"M. T. Murillo-Pulido","Colombia","Cundinamarca",NA,"Zipaquirá, pantano Redondo.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"390","1961","10","11","South America","sheet",NA,"NY03823485","Polypodiales","3200","NY03823485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3823525","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","gayanum","Elaphoglossum gayanum","(Fée) T.Moore",NA,NA,NA,NA,"A. Vasco","Colombia","Meta",NA,"Municipio San Juanito. PNN Chingaza, cañón del Rio Guácharo.","-73.68942","4.49139",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103588' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"775","2007","05","03","South America","sheet",NA,"NY03823525","Polypodiales","2900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
