"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","478415","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","involucrata","Leandra involucrata","DC.","L. Riedel","s.n.","South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478415","NY00478415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","478416","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","involucrata","Leandra involucrata","DC.","L. Riedel","s.n.","South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478416","NY00478416_01","C. A. Cogniaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","478419","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","involucrata","Leandra involucrata","DC.","Y. E. J. Mexia","5465","South America","Brazil","Viçosa; Fazenda de Dr. Christioma. Chácara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478419","NY00478419_01","H. A. Gleason","1930","12","30","Minas Gerais","Viçosa","-42.8817","-20.7542","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02012847","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","involucrata","Leandra involucrata","DC.","M. Reginato","1335","South America","Brazil","P.N. do Itatiaia. Ultimo Adeus e trilha do Véu de Noiva.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499419' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012847","NY02012847_01",NA,"2012","02","15","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02104545","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","E. Pereira","2512","South America","Brazil","Serra da Caraça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2569065' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104545","NY02104545_01","M. Reginato","1957","03","20","Minas Gerais",NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01874483","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","M. Reginato","1420","South America","Brazil","Reserva da PETI-CEMIG. Estrada para o Bom Será.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085231' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874483","NY01874483_01","M. Reginato","2013","02","05","Minas Gerais","São Gonçalo do Rio Abaixo","-43.364883","-19.890197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478417","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","A. C. Brade","17489","South America","Brazil","Itatiaia. Lote do Almirante","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478417",NA,"M. Reginato","1945","02","23","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02104782","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","A. C. Brade","17489","South America","Brazil","Itatiaia. Lote do Almirante","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568416' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104782","NY02104782_01 NY02104782_02","M. Reginato","1945","02","23","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00909051","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","F. C. Hoehne","s.n.","South America","Brazil","Santa Bárbara do Mato Dentro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909051","NY00909051_01","F. C. Hoehne","1921","01","12","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02104794","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","A. C. Brade","18836","South America","Brazil","Lote Hansen","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568472' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104794","NY02104794_01","A. C. Brade","1948","02","09","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
