"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","658698","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","catharinensis","Tibouchina catharinensis","Brade","P. J. F. Guimarães","isotype","R. M. Klein","2205","1957","01","26","South America","Brazil","Santa Catarina","Ibirama","Horto Florestal I.N.P. [=Instituto Nacional do Pinho], Ibirama","-49.5178","-27.0569","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00658698","NY00658698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778159","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","dusenii","Tibouchina dusenii","Cogn.","P. J. F. Guimarães",NA,"G. G. Hatschbach","26190","1971","01","31","South America","Brazil","Paraná","Piraquara","Banhado","-49.0631","-25.4419",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778159","NY00778159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:17-03","UFRJ","RFA","11075","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","dusenii","Tibouchina dusenii","Cogn.","J.J. Wurdack",NA,"G.G. Hatschbach","26190","1971","01","31",NA,"Brasil","Paraná","Piraquara","Banhado","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Arbusto 2m, flor alvacente","RFA45617",NA,"1971","12577","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:20:42-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Tibouchina","dusenii","Tibouchina dusenii","Cogn. ex Char.","Meyer, FS",NA,"Ribas, OS; Silva, JM","7040","2005","10","26","Southern America","Brasil","Paraná","Tunas do Paraná","Fazenda Tanque, Berneck","-49.0858001708984","-24.9743995666504",NA,NA,NA,"7 m. Flor alva.; margem da estrada.",NA,NA,"2007","41885","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:20:42-03","UFBA","ALCB","82835","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Tibouchina","dusenii","Tibouchina dusenii","Cogn. ex Char.","Meyer, FS",NA,"Ribas, OS; Silva, JM","7040","2005","10","26","Southern America","Brasil","Paraná","Tunas do Paraná","Fazenda Tanque, Berneck","-49.0858001708984","-24.9743995666504",NA,NA,NA,"7 m. Flor alva.; margem da estrada.","ALCB068286",NA,"2007","41885","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:05:04-03","NBC","NL-BOTANY","L 0571764","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","catharinensis","Tibouchina catharinensis","Brade",NA,NA,"Unknown",NA,NA,NA,NA,"Southern America","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200571764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0571764",NA,NA,NA,NA,"Magnoliopsidae","-53.733333","-26.533333",NA,NA,NA,NA
"7","2020-02-08 10:05:04-03","NBC","NL-BOTANY","L.1070271","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","catharinensis","Tibouchina catharinensis","Brade",NA,NA,"Reitz R; Klein RM",NA,"1968","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1070271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1070271","NL-L1070271",NA,NA,NA,"Magnoliopsidae",NA,NA,"Uw14548",NA,NA,NA
"8","2020-02-08 10:05:04-03","NBC","NL-BOTANY","L.1070272","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","catharinensis","Tibouchina catharinensis","Brade",NA,NA,"Reitz R; Klein RM",NA,"1968","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1070272 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1070272","NL-L1070272",NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0053815 | Uw 14548",NA,NA,NA
"9","2020-02-08 10:05:04-03","NBC","NL-BOTANY","L.1070273","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","catharinensis","Tibouchina catharinensis","Brade",NA,NA,"Reitz R; Klein RM",NA,"1968","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1070273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1070273","NL-L1070273",NA,NA,NA,"Magnoliopsidae",NA,NA,"Uw14548",NA,NA,NA
"10","2020-02-08 10:05:04-03","NBC","NL-BOTANY","L.1070274","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","catharinensis","Tibouchina catharinensis","Brade",NA,NA,"Reitz R; Klein RM",NA,"1968","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1070274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1070274","NL-L1070274",NA,NA,NA,"Magnoliopsidae",NA,NA,"Uw14548",NA,NA,NA
