"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","10270","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.","M. G. Caxambu","2012","02","23","F.F. Sanches","2011","11","27","Brasil","Paraná","Sabáudia","PR - 218 Km 234 Sabaudia - PR.","-51.554444","-23.318889","51º33'16''W","23º19'8''S","Habito: árvore heliófita","CRI002373","CRI002373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:10-03","E","E","102311","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus",NA,NA,NA,NA,NA,"Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.","1998","11","15","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00102311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102311",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:110626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:11-03","E","E","161295","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus",NA,NA,NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.","1996","10","23","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161295",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:168673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1034327","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.",NA,NA,NA,NA,"A. C. Cervi","1994","10","22","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250796' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034327","NY01034327_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","CA7139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504087","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.","W. Hoehne",NA,NA,NA,"M. Koscinsky","1933","12",NA,"Brazil","São Paulo","Sao Paulo","Serra de Cantareira","-46.63","-23.5403",NA,NA,"ex. herv. do Serv. Florestal de S. Paulo no. 212 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504087","NY00504087_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02674947","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.","D. Piotto",NA,NA,NA,"D. Piotto","2010","06","10","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3670999' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674947",NA,"South America","Sheet",NA,"Magnoliophyta","Malpighiales","746","120","300",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1026918","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.","J. A. Kallunki",NA,NA,NA,"H. S. Irwin","1968","02","10","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 50km S.E. of Belo Horizonte.","-43.8","-20.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130870' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026918","NY01026918_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","19789","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","503442","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.","M. C. Dias",NA,NA,NA,"M. A. L. C. Veiga","1997","09","13","Brazil","Paraná","Cafeara","Cafeara. Fazenda Sao Pedro","-51.7158","-22.7925",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503442","NY00503442_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1127923","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.","Standley",NA,NA,NA,"Y. E. J. Mexia","1930","02","21","Brazil","Minas Gerais","Vicosa","Agricultural College lands; hill northwest of main buildings","-42.860644","-20.766686",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272141' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127923","NY01127923_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","4376","690","690",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504096","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504096","NY00504096_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","4995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
