"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02694751","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microptera","Mikania microptera","DC.","H. E. Robinson","G. S. Silva","369","2014","05","28","South America","Brazil","Bahia","Jiquiriçá","Fazenda Araçá. Vale do Jiquiriçá.","-39.602722","-13.1905","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952981' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694751","NY02694751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01214214","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microptera","Mikania microptera","DC.","J. F. Pruski","D. F. Austin","7044","1979","10","15","South America","Brazil","Amapá",NA,"Entre Mazagão Novo, Vila de Carvão. SW de Macapá.","-51.2861","-0.1161","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214214","NY01214214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01214215","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microptera","Mikania microptera","DC.","G. M. Barroso","J. M. Pires","50868","1961","09","11","South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214215","NY01214215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","196765","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microptera","Mikania microptera","DC.","W. C. Holmes","W. L. Balée","1947","1986","03","17","South America","Brazil","Pará","Altamira","Igarapé Ipixuna, affluent of Rio Xingu; 5 km S of settlement, Araweté Indian Reserve.","-52.2064018249512","-3.20333003997803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=263061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196765","NY00196765_01","748499","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:58-03","EAO","IAN","60437","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","microptera","Mikania microptera","DC.",NA,"Blanchet, JS","1710",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN060437","IAN060437 IAN060437_1 IAN060437_1e IAN060437_e IAN060437_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:58-03","EAO","IAN","13673","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","microptera","Mikania microptera","DC.",NA,"Badini, J","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,"IAN013673","IAN013673 IAN013673_e","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:27:41-03","IAP","PACA-AGP","29884","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","microptera","Mikania microptera","DC.","M. R. Ritter","Friderichs",NA,"1941","09","24",NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,"VULNERÁVEL Habitat: in dumetosis campestribus scandens Fenofase: flor","PACA029884",NA,"10287","auto","Magnoliatae","2003","01","29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:27:41-03","IAP","PACA-AGP","46018","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","microptera","Mikania microptera","DC.","M. R. Ritter","Rambo, B.",NA,"1950","02","21",NA,"Brasil","RS","Torres","Lagoa dos Quadros","-49.7268981933594","-29.3353004455566",NA,"VULNERÁVEL Habitat: in silva scandens Fenofase: estéril","PACA046018",NA,"20837","auto","Magnoliatae","2003","01","29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:46-03","UNICAMP","UEC","103934","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","microptera","Mikania microptera","A.DC.","Moraes, MD","Moraes, MD","122","1995","08","28",NA,"Brazil","São Paulo","Ubatuba","Planície litorânea de Picinguaba, trilha da ponta baixa.","-44.8","-23.333333",NA,"Liana. Flores brancas.; Crescendo entre arbusto. Local encharcado.","UEC125775","UEC125775",NA,NA,NA,NA,NA,NA,"-44.8","-23.333333",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:46-03","UNICAMP","UEC","66430","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","microptera","Mikania microptera","A.DC.","Moraes, MD","Mattos Silva, LA; Hage, JL","1017","1980","08","08",NA,"Brazil","Bahia","Ilhéus","Entre os povoados de Sambaituba e Campinho, pela antiga Estrada de Ferro, ao norte de Ilhéus.","-39.0494003295898","-14.7889003753662",NA,"Cipó. Inflorescência creme.; Vegetação de brejo.","UEC125774","UEC125774","61245","auto",NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:46-03","UNICAMP","UEC","103813","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","microptera","Mikania microptera","A.DC.","Moraes, MD","Romero, R; et al.","13139","1990","10","06",NA,"Brazil","São Paulo","Ubatuba","Picinguaba. Estrada da Casa de Farinha.","-45.0699996948242","-23.4300003051758",NA,"Trepadeira, flores brancas perfumadas. Caule, peciolos e folhas maiores embaixo avermelhadas.","UEC125773","UEC125773","34265","auto",NA,"1999","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
