"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","recordNumber","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2622","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.","R. Reitz","R. Reitz","1975","05","22","Brasil","Minas Gerais","Jaboticatubas","Serra do cipó.","-43.745278","-19.521944","43º44'43''W","19º31'19''S","CRI001978","CRI001978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1149","S","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.","Elton C. M. Leme",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,"Magnoliophyta","Poales","2007","11","01","33136","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1302","S","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.",NA,"Carlos Alberto F. Jr.;",NA,NA,NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"Magnoliophyta","Poales","2008","09","08","22051","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1094","S","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"Magnoliophyta","Poales","2007","11","30","22051","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1148","S","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,NA,NA,"26557","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1136","S","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,NA,NA,"101169","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:44-03","E","E","304930","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana",NA,NA,"Harley, R.M.; Nic Lughadha, E. & Queiroz, R.F.","1992","02","12","BR","Bahia",NA,NA,NA,NA,NA,NA,"E00304930",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:315451",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01552620","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.","T. S. Coser","W. R. Anderson","1973","04","15","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 10 km by road SW of Rio Jequití and Mendanha on road to Diamantina","-43.56681","-18.16389",NA,NA,"NY01552620","NY01552620_01","Magnoliophyta","Poales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054035' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"8970",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687028","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.","M. das G. L. Wanderley","R. M. Harley","1992","02","12","Brazil","Bahia","Abaíra","Campo do Cigano","-41.92","-13.25",NA,NA,"NY00687028","NY00687028_01","Magnoliophyta","Poales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852300' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"52013","1650","1650",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:40-03","UFRJ","RFA","30909","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.","T. Wendt; et al.","T. Wendt","2002","10",NA,"Brasil","Minas Gerais","Minas Gerais","Serra do Cipó, próximo ao local das velósias gigantes. Coletado por Fabio Scarano",NA,NA,NA,NA,"RFA52215",NA,NA,NA,NA,NA,NA,NA,NA,"Folhas internas com ápice rosa mais curtas que as externas, flores azuis",NA,NA,NA,NA,"442",NA,NA,NA,NA,NA,NA,NA,NA
