"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2020-09-23 10:38:40-03","E","E","254914","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","Hind, D.J.N.; Queiroz, R.F.","1992","01","10","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:315783","<a href=http://data.rbge.org.uk/herb/E00254914 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00939425","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","H. S. Irwin","1970","03","17","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939425","Magnoliophyta","Poales","Sw.","M. Alves","27755","Serra do Espinhaço, Ca. 23 km E. of Diamantina","-43.5028","-18.162","900","900","NY00939425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00939432","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","P. L. Krieger","1962","02","16","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939432","Magnoliophyta","Poales","Sw.","M. Alves","16471","Ressaca.",NA,NA,NA,NA,"NY00939432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","612477","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","S. M. Silva","1996","01","18","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612477","Magnoliophyta","Poales","Sw.","C. Kozera","s.n.","Morro do Joaquim, Ilha do Mel.","-48.35","-25.5",NA,NA,"NY00612477_01","Paranaguá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1737881","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","D. A. do Araújo","2011","09","09","South America","Brazil","Pernambuco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1940146' target='other'> <mi>dwc_moreinfo</mi></a>","NY01737881","Magnoliophyta","Poales","Sw.","M. Alves","1692","RPPN Fazenda Tabatinga.","-34.8206","-7.6061",NA,NA,"NY01737881_01","Goiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01201101","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","W. W. Thomas","1986","06","28","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201101","Magnoliophyta","Poales","Sw.","T. M. Koyama; E. R. Guaglionone","5237",NA,NA,NA,NA,NA,"NY01201101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","568951","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","Z. A. Trinta","1966","01","18","South America","Brazil","Rio Grande do Sul","sheet",NA,"Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568951","Magnoliophyta","Poales","Sw.","M. Alves","1171","Curral Alto, Rancho Altino Fernandes, margem da Lagoa da Mangueira.",NA,NA,NA,NA,"NY00568951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01201102","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","G. T. Prance","1968","11","15","South America","Brazil","Rondônia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201102","Magnoliophyta","Poales","Sw.","T. M. Koyama","8474","Basin of Rio Madeira. Trail from Fortaleza, Rio Abunã 20 km above mouth to São Sebastiao Mines.","-65.53","-9.7",NA,NA,"NY01201102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00939426","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","H. S. Irwin","1971","01","22","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939426","Magnoliophyta","Poales","Sw.","T. M. Koyama","28847","Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","-43.4927778","-20.1263","1400","1400","NY00939426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00939435","PreservedSpecimen","Plantae","Cyperaceae","Scleria","hirtella","Scleria hirtella","J. E. B. Warming",NA,NA,NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939435","Magnoliophyta","Poales","Sw.",NA,"s.n.",NA,NA,NA,NA,NA,"NY00939435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
