"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:36:02-03","E","E","102418","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110831","<a href=http://data.rbge.org.uk/herb/E00102418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378760","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","I. Silberbauer-Gottsberger","1970","08","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378760","Magnoliophyta","Magnoliales","Mart.","W. Morawetz; H. Rainer","270","São Paulo","Botucatu","18 km north of Botucatu, (14 km east of sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station 13 de Maio","-48.42","-22.75","550","550","NY00378760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378762","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. R. Pirani","1985","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378762","Magnoliophyta","Magnoliales","Mart.","W. Morawetz; H. Rainer","1219","Mato Grosso",NA,"Ilha do Bananal, na divisa com o Parque Naciocnal do Araguaia; coletas no Parque Indígena","-50.5","-10.42",NA,NA,"NY00378762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378769","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","A. C. Cervi","1992","11","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378769","Magnoliophyta","Magnoliales","Mart.","H. Rainer","3846","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.68","-24.23",NA,NA,"NY00378769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","680039","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","W. W. Thomas","1985","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680039","Magnoliophyta","Magnoliales","Mart.","W. Morawetz; H. Rainer","4551","Mato Grosso","Santo Antônio do Leverger","Ca. 70 km E of Cuiabá, 5 km SW of São Vicente near Gruta do São Vicente (Casa de Pedra)","-55.38","-15.87",NA,NA,"NY00680039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397112","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","M. B. Thomas","1998","09","10","South America","Brazil","sheet",NA,"Site: MP. Projeto: Estudo de plantas medicinais dos Pataxó Communidade da Barra Velha, Bahia <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397112","Magnoliophyta","Magnoliales","Mart.","J. G. Jardim","MT502","Bahia","Porto Seguro","Pataxó Indígena Reserva. Rua de Cima. Entrance of footpath leading to house of Mariazinha da Conceiçao Oliveira. [Monte Pascoal National Park]","-39.15","-16.85","50","50","NY00397112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","915524","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. R. Pirani","1997","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915524","Magnoliophyta","Magnoliales","Mart.","R. de Mello-Silva","3837","Minas Gerais","Monjolos","Estrada sobre o antigo leito da ferrovia, a 21 km da encruzilhada com a estrada nova para Rodeador e Conselheiro","-44.1192","-18.3256","550","550","NY00915524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02685735","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1970","03","17","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2975895' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685735","Magnoliophyta","Magnoliales","Mart.","J. R. Pirani","27776","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 25 km E. of Diamantina","-43.50795","-18.1448","790","790","NY02685735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00836210","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. A. Ratter","1976","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836210","Magnoliophyta","Magnoliales","Mart.",NA,"R3975","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"NY00836210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02685734","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1970","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2242604' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685734","Magnoliophyta","Magnoliales","Mart.","J. R. Pirani","27776","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 25 km E. of Diamantina","-43.50795","-18.1448","790","790","NY02685734_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00836234","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1966","02","13","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836234","Magnoliophyta","Magnoliales","Mart.","L. Aristeguieta","12723","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 1 km W. of Veadeiros","-47.52596","-14.1167","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02685732","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1970","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2975885' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685732","Magnoliophyta","Magnoliales","Mart.","A. J. Pontes","25438","Goiás","Campo Alegre de Goiás","Contraforte Central, ca. 58 km N.E. of Catalão","-47.56238","-17.79616","900","900","NY02685732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00749563","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. R. Pirani","1985","10","11","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749563","Magnoliophyta","Magnoliales","Mart.","W. Morawetz; H. Rainer","1219","Mato Grosso",NA,"Ilha do Bananal, na divisa com o Parque Naciocnal do Araguaia; coletas no Parque Indígena","-50.5","-10.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02685729","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1970","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2242433' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685729","Magnoliophyta","Magnoliales","Mart.","A. J. Pontes","25438","Goiás","Campo Alegre de Goiás","Contraforte Central, ca. 58 km N.E. of Catalão","-47.56238","-17.79616","900","900","NY02685729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1033378","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. M. Pires","1973","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217967' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033378","Magnoliophyta","Magnoliales","Mart.",NA,"13369","Pará",NA,"Estudo ecológico entre Estreito e Marabá.",NA,NA,NA,NA,"NY01033378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","395960","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","W. R. Anderson","1972","03","08","South America","Brazil","sheet",NA,"Fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395960","Magnoliophyta","Magnoliales","Mart.","J. van Rooden","36821","Bahia","Barreiras","Espigao Mestre, ca. 100 km WSW of Barreiras","-44.99","-12.15","750","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2063522","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","D. C. Imig","2011","11","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499965' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063522","Magnoliophyta","Magnoliales","Mart.",NA,"25","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.65","-24.17",NA,NA,"NY02063522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00836209","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. A. Ratter","1976","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836209","Magnoliophyta","Magnoliales","Mart.",NA,"R3763","Distrito Federal","Brasília","Close to the Escola Fazendária, c. 11km SE of the Brasília TV Tower.","-47.9294","-15.7797",NA,NA,"NY00836209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00836208","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1966","01","28","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836208","Magnoliophyta","Magnoliales","Mart.","L. Aristeguieta","12077","Distrito Federal","Brasília","Ca. 25 km E. of Brasília","-47.68338","-15.7833","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","680038","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","L. R. Noblick","1996","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680038","Magnoliophyta","Magnoliales","Mart.","H. Rainer","5101","Goiás","Mambaí","Ca. 1km W of Mambaí on the road to Cocos, Bahia.","-46.10008333","-14.4917222","720","720","NY00680038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","378763","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","R. P. Belém","1964","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378763","Magnoliophyta","Magnoliales","Mart.","W. Morawetz; H. Rainer","44","Distrito Federal","Brasília",NA,"-47.9294","-15.7797",NA,NA,"NY00378763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","378775","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","A. L. Bernardi","1979","01","12","South America","Paraguay","sheet",NA,"See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378775","Magnoliophyta","Magnoliales","Mart.","W. Morawetz; H. Rainer","19569",NA,NA,"10-12 km ante Capitan Bado ex Ype-Jhú, Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00836235","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","J. R. Pirani","1987","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836235","Magnoliophyta","Magnoliales","Mart.","R. de Mello-Silva; J. R. Pirani","CFCR11440","Minas Gerais","Grão Mogol","Trilha da Tropa, montanha à esquerda do riacho Ribeirao","-42.92","-16.53","1000","1100","NY00836235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02685731","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","H. S. Irwin","1970","01","26","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2975879' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685731","Magnoliophyta","Magnoliales","Mart.","A. J. Pontes","25438","Goiás","Campo Alegre de Goiás","Contraforte Central, ca. 58 km N.E. of Catalão","-47.56238","-17.79616","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-09-30 12:43:27-03","MCN-PUC-MINAS","HPUC-MG","CARP069","S","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Juliana Rezende","2013","12","13",NA,"Brasil",NA,NA,"Fruto Múltiplo Estrobiliforme. Área de pequi próximo a rodovia Milho Verde. Material da Juliana - nº 4.",NA,NA,NA,NA,"M.F.V.Starling & CUNHA, J.S",NA,"Minas Gerais","Serro","Ausente","-43.378889","-18.603333","811","811",NA,"43° 22' 44''W","18° 36' 12''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","10197","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Pabst, G.F.","1962","10","13",NA,"Brasil",NA,NA,"Arbor 4 metralis floribus viride-brunneis.","BOTU010197",NA,NA,"Mart.",NA,"7110","Minas Gerais",NA,"Estrada de Pirapora, a 5km do entrocamento da BR-7.",NA,NA,NA,NA,"BOTU010197","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","26447","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Tannus, J.L.S.","1998","12","16",NA,"Brasil",NA,NA,"Campo cerrado. Arvoreta, cerca de 2,5m, flor esverdeada.","BOTU026447",NA,NA,"Mart.","Tannus, J.L.S.","318","São Paulo","Itirapina",NA,NA,NA,NA,NA,"BOTU026447","9999","9999","1998","12",NA,NA,NA,NA,NA,NA,NA
"28","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","26652","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Souza, V.C.","1995","11","10",NA,"Brasil",NA,NA,"Cerrado. Arvoreta, até 4,5m de altura; sépalas e pétalas creme.","BOTU026652",NA,NA,"Mart.","Souza, V.C.","9339","São Paulo","São Carlos","Estrada entre Itirapina e a Represa do Lobo. Próximo ao pedágio municipal.",NA,NA,NA,NA,"BOTU026652","9999","9999","1995","11","28",NA,NA,NA,NA,NA,NA
"29","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","32043","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Tozin, L.R.S.",NA,NA,NA,NA,"Brasil",NA,NA,NA,"BOTU032043",NA,NA,"Mart.",NA,"36","São Paulo","Pratânia","Fazenda Palmeira da Serra",NA,NA,NA,NA,"BOTU032043","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","20052","PreservedSpecimen","Plantae","Annonaceae","Annona","crassiflora","Annona crassiflora","Bertoncini, A.P.","1993","11","12",NA,"Brasil",NA,NA,"Arbusto, altura estimada em 1,0 m, caule suberoso, frutos verdes","BOTU020052",NA,NA,"Mart.",NA,"14","São Paulo","Agudos","Cia Cervejaria Brahma",NA,NA,NA,NA,"BOTU020052","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
