"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:37:33-03","E","E","417124","PreservedSpecimen","Plantae","Compositae","Elephantopus","riparius","Elephantopus riparius","unspecified kind of","Gardner, George","2806","E. Tropical South America","BR","Piauhy, Goyaz, &c","herbarium specimen of unspecif","BGBASE:446539","<a href=http://data.rbge.org.uk/herb/E00417124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:33-03","E","E","417125","PreservedSpecimen","Plantae","Compositae","Elephantopus","riparius","Elephantopus riparius","unspecified kind of","Gardner, George","2806","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:446546","<a href=http://data.rbge.org.uk/herb/E00417125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","860914","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","17934","South America","Brazil","Ca. 45 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860914","Magnoliophyta","Asterales","Gardner","G. Sancho","1966","06","28","Goiás","Caiapônia","-51.77","-17.28","900","900","NY00860914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","168325","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius","type","G. Gardner","VIII.3806","South America","Brazil","In ripis umbrosis fluminum prope Villa de Arrayas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168325","Magnoliophyta","Asterales","Gardner",NA,"1840","04",NA,"Tocantins","Arraias","-46.9381","-12.9317",NA,NA,"NY00168325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","860919","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"J. A. Ratter","3435","South America","Brazil","Fazenda Agua Limpa (University of Brasília fi4eld station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860919","Magnoliophyta","Asterales","Gardner","G. Sancho","1976","08","09","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY00860919_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","860925","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","15626","South America","Brazil","Lower slopes of Chapada do Contagem, ca. 15 km N.E. of Brasília","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860925","Magnoliophyta","Asterales","Gardner","G. Sancho","1966","05","04","Distrito Federal","Brasília","-47.81771","-15.68745","1000","1000","NY00860925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","860935","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","16608","South America","Brazil","Ca. 86 km. N. of Xavantina. Serra do Roncador.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860935","Magnoliophyta","Asterales","Gardner","G. Sancho","1966","06","04","Mato Grosso",NA,"-52.08","-13.92","550","550","NY00860935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","791715","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"Collector unspecified","s.n.","South America","Brazil",NA,"sheet",NA,"Herbarium of the U. S. South Pacific Exploring Expedition under the command of Capt. Wilkes, U. S. N. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791715","Magnoliophyta","Asterales","Gardner",NA,"1838",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"NY00791715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","168326","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius","type","G. Gardner","3806","South America","Brazil","[Near Villa de Arrayas]","sheet",NA,"From protologue, Gardner 3806: Shady banks of streams near Villa de Arrayas, province of Goyaz. April, 1840 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168326","Magnoliophyta","Asterales","Gardner",NA,"1840","04",NA,"Goiás",NA,NA,NA,NA,NA,"NY00168326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00750373","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"A. Macedo","3690","South America","Brazil","Municipio Corumbá. Pirineus.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750373","Magnoliophyta","Asterales","Gardner","G. Sancho","1952","07","28","Goiás","Corumbá de Goiás","-48.8083","-15.9236",NA,NA,"NY00750373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","860915","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"W. R. Anderson","9447","South America","Brazil","Serra do Caiapó, ca. 20 km (straight line) S of Caiapônia, near Rio Claro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860915","Magnoliophyta","Asterales","Gardner","G. Sancho","1973","04","29","Goiás","Caiapônia","-51.8167","-17.1278","840","840","NY00860915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","860908","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","5911","South America","Brazil","Parque Municipal do Gama. Ca. 20 km. S. of Brasília.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860908","Magnoliophyta","Asterales","Gardner","G. Sancho","1964","09","03","Distrito Federal","Brasília","-48.0648","-16.0198","700","1000","NY00860908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","860912","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"G. T. Prance","59618","South America","Brazil","Serra do Caiapó. 42 km. south of Caiapônia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860912","Magnoliophyta","Asterales","Gardner","G. Sancho","1964","10","24","Goiás","Caiapônia","-51.8103","-16.9569",NA,NA,"NY00860912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1144506","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","5352","South America","Brazil","Ca. 50 km E of Brasilia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293045' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144506","Magnoliophyta","Asterales","Gardner","G. Sancho","1964","08","20","Distrito Federal","Brasília","-47.9294","-15.7797","700","1000","NY01144506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","860923","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","8679","South America","Brazil","Córrego Gama, between Gama and Brasília, near road to Anápolis","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860923","Magnoliophyta","Asterales","Gardner",NA,"1965","09","26","Distrito Federal","Brasília","-47.8","-15.95","1175","1175","NY00860923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00750372","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","19023","South America","Brazil","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750372","Magnoliophyta","Asterales","Gardner","G. Sancho","1968","01","22","Goiás","Cocalzinho de Goiás","-48.63","-15.35","700","700","NY00750372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","860918","PreservedSpecimen","Plantae","Asteraceae","Elephantopus","riparius","Elephantopus riparius",NA,"H. S. Irwin","15120","South America","Brazil","Serra do Morcêgo, Côrrego Estrema, 35 km N.E. of Formosa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860918","Magnoliophyta","Asterales","Gardner","G. Sancho","1966","04","20","Goiás","Formosa","-47.10261","-15.30964","800","800","NY00860918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
