"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus"
"1","2021-04-05 14:25:19-03","UNESC","CRI","3668","PreservedSpecimen","Plantae","Fabaceae","Senna","corymbosa","Senna corymbosa","(Lam.) H.S.Irwin & Barneby","Marcos Sobral","R. Záchia; et al.","1297","1993","04","11","Brasil","Rio Grande do Sul","São Borja","Coudelaria.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","Habito: erva","CRI003195","CRI003195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:19-03","UNESC","CRI","1334","PreservedSpecimen","Plantae","Fabaceae","Senna","corymbosa","Senna corymbosa","(Lam.) H.S.Irwin & Barneby","Jairo José Zocche","J. J. Zocche",NA,"1990","08","15","Brasil","Rio Grande do Sul","Torres",NA,"-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,"CRI002751","CRI002751","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:49-03","E","E","158767","PreservedSpecimen","Plantae","Leguminosae","Senna","corymbosa","Senna corymbosa",NA,NA,"Ball, John",NA,NA,NA,NA,"UY",NA,NA,"Prope Paysandu.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00158767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00158767",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:183948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:49-03","E","E","158763","PreservedSpecimen","Plantae","Leguminosae","Senna","corymbosa","Senna corymbosa",NA,NA,"Christison, David",NA,NA,NA,NA,"UY",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00158763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00158763",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:183940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:49-03","E","E","158765","PreservedSpecimen","Plantae","Leguminosae","Senna","corymbosa","Senna corymbosa",NA,NA,"Christison, David",NA,"1905","02","09","UY",NA,NA,"Monte of Guayabo Laguna San Jorge.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00158765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00158765",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:183946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:49-03","E","E","158766","PreservedSpecimen","Plantae","Leguminosae","Senna","corymbosa","Senna corymbosa",NA,NA,"Hieronymus, G.",NA,NA,NA,NA,"AR","Provincia de Córdoba",NA,"Colanchanga.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00158766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00158766",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:183947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:49-03","E","E","264225","PreservedSpecimen","Plantae","Leguminosae","Senna","corymbosa","Senna corymbosa",NA,NA,"Hunt, David R.","5513","1966","05","18","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00264225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00264225",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:274103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 13:29:00-03","NY","NYBG","1730959","PreservedSpecimen","Plantae","Fabaceae","Senna","corymbosa","Senna corymbosa",NA,NA,"T. S. Ibarrola","328","1944","04","23","Argentina","Corrientes","Concepción","Concepción: Pueblo",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1937720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01730959","NY01730959_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 09:08:00-03","NY","NYBG","1730969","PreservedSpecimen","Plantae","Fabaceae","Senna","corymbosa","Senna corymbosa",NA,NA,"P. Arenas","250","1978","02","17","Argentina","Catamarca","Belén","Belén. Casa del Padre Urquiza","-67.03","-27.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1937730' target='other'> <mi>dwc_moreinfo</mi></a>","NY01730969",NA,"1240",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1730951","PreservedSpecimen","Plantae","Fabaceae","Senna","corymbosa","Senna corymbosa","(Lam.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","T. M. Pedersen","1719","1952","05","11","Argentina","Corrientes","Mburucuyá","Estancia Santa Maria",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1937712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01730951",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
