"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:25:37-03","UNESC","CRI","969","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; Paulo Brack","1269","1991","11","30","Brasil","Rio Grande do Sul","Cambará do Sul","Parque Nacional dos Aparados da Serra.","-50.145","-29.048333","50º8'42''W","29º2'54''S","Habito: árvore","CRI005100","CRI005100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","4028","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","J. A. Jarenkow","J. A. Jarenkow","1446","1989","11","19","Brasil","Rio Grande do Sul","Piratini","Serra das Asperesas, BR 293 próx. a pinheiro machado.","-53.104444","-31.448611","53º6'16''W","31º26'55''S","Habito: arbustiva","CRI005101","CRI005101","318","318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:37-03","UNESC","CRI","14454","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Stival-Santos, A","Stival-Santos, A.; Uller, H.F. & Silveira, S.","254","2008","12","12","Brasil","Santa Catarina","Anita Garibaldi","Pinheirinho. Pinheirinho.","-51.028611","-27.7175","51º1'43''W","27º43'3''S","Florística IFFSC 261 Habitat: Floresta Ombrófila Mista; entorno do fragmento Habito: Fruto verde;","CRI013624","CRI013624","820","820","2008","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","8798","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Ronaldo dos Santos Junior","Ronaldo",NA,"2010","11","02","Brasil","Santa Catarina","Bom Jardim da Serra","Trilha dos Tropeiros.","-49.625","-28.3375","49º37'30''W","28º20'15''S",NA,"CRI005099","CRI005099","1281","1281","2010","11","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","8865","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Vanilde C. Zanette","Roberto Recart dos Santos",NA,"2007","10","18","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI005103","CRI005103","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","3471","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Marcos Sobral","Robson dos Santos; Clair Maria Martinello","163","1994","11","12","Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.144167","-29.047778","50º8'39''W","29º2'52''S","Habitat: mata atlântica Habito: arbusto","CRI005102","CRI005102","1019","1019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:37-03","UNESC","CRI","14532","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Verdi, M","Verdi, M.; Grosch, B. & Klemz, G.","1141","2008","12","11","Brasil","Santa Catarina","Capão Alto","Fazenda Pessegueirinho. Fazenda Pessegueirinho.","-50.760833","-28.17","50º45'39''W","28º10'12''S","Florística IFFSC 529. Habitat: Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual; Habito: flor pétalas brancas, estames vermelhos","CRI013623","CRI013623","762","762","2008","12","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:37-03","UNESC","CRI","12759","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Aline Votri Guislon","Aline Votri Guislon",NA,"2017","11","05","Brasil","Santa Catarina","Lauro Muller","Trilha Estância Pé da Serra.","-49.509167","-28.374444","49º30'33''W","28º22'28''S","Habito: Arbóreo","CRI011023","CRI011023","770","770","2017","11","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:37-03","UNESC","CRI","14453","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Verdi, M","Verdi, M.; Grosch, B. & Klemz, G.","987","2008","11","20","Brasil","Santa Catarina","Capinzal","Alto São Roque. Alto São Roque.","-51.567778","-27.361111","51º34'4''W","27º21'40''S","Florística IFFSC 398 Habitat: Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista; Estágio Avançado (alterado) Habito: flor estames vermelhos e pétalas brancas","CRI013625",NA,"717","717","2008","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:37-03","UNESC","CRI","13965","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","Valdemar Boff","Valdemar Boff",NA,"1996","01","10","Brasil","Santa Catarina","Fraiburgo","Taquarussu","-50.9213981628418","-27.0261001586914",NA,NA,"Habitat: Terrestre Habito: Arbórea","CRI012608",NA,NA,NA,"1996","01","10","24284","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","561417","PreservedSpecimen","Plantae","Myrtaceae","Acca","sellowiana","Acca sellowiana","(O.Berg) Burret","L. R. Landrum","G. G. Hatschbach","43453","1980","12","12","Brazil","Paraná",NA,"Palmas, rod. p/ Ponte Serrada.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561417","NY00561417_01",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA
