"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2016-10-28 13:49:00-02","NY","NYBG","1018063","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya","M. P. M. de Lima","C. Farney","3070","1992","03","21","South America","Brazil","Rio de Janeiro","Paratí","Praia Negra - picada para o Pico do Cairuçu.","-44.7131","-23.2181","180","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018063","NY01018063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 14:47:00-02","NY","NYBG","459519","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"H. E. Strang","1060","1967","08","05","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara. Tijuca, estrada da Vista Chinesa","-43.257166","-22.971675",NA,NA,"sheet","=Brade collection number 53272 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459519","NY00459519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 14:47:00-02","NY","NYBG","459515","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"J. G. Kuhlmann",NA,"1927","03","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, mata do Sr. Teicheira Borges, limite com o Horto Florestal","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459515","NY00459515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 14:47:00-02","NY","NYBG","459511","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"E. Pereira","653","1952","02","15","South America","Brazil","Distrito Federal","Brasília","Vista Chineza","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459511","NY00459511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 14:47:00-02","NY","NYBG","459512","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"F. G. d. Silva","99","1941","01","28","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Estrada da Vista Chinesa, proximo do Quebra bunda","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459512","NY00459512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","459517","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"J. B. E. Pohl",NA,NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459517","NY00459517_01","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 13:48:00-02","NY","NYBG","1018196","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"R. Marquete","1118","1993","06","30","South America","Brazil","Rio de Janeiro","Paratí","A cerca de 18 km do trevo de Parati, até a entrada de Laranjeiras, mais 9 km em direção a Fazenda do Sr. Gabriel. Estrada para praia do Sono, antes do portão da fazenda.","-44.7131","-23.2181",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250212' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018196","NY01018196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 14:47:00-02","NY","NYBG","459510","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"E. Pereira","653","1952","02","15","South America","Brazil","Distrito Federal","Brasília","Vista Chineza","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459510","NY00459510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 14:48:00-02","NY","NYBG","459508","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya","R. C. Barneby","S. J. G. d. Silva","138","1990","12","13","South America","Brazil","São Paulo","Iguape","Estaçao Ecologica Jureia-Itatins, Serra da Jureia","-47.5497","-24.7003",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459508","NY00459508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","459507","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya","M. P. M. de Lima","H. C. de Lima","2646","1986","01","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, proximo a Mesa do Imperador","-43.257779","-22.970378",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459507","NY00459507_01","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-11-01 14:47:00-02","NY","NYBG","459514","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"J. G. Kuhlmann",NA,"1927","05","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, mata Teicheira Borges, limitrofes um o Horto Florestal","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459514","NY00459514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 14:47:00-02","NY","NYBG","459513","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"F. G. d. Silva",NA,"1941","01","28","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Estrada da Vista Chinesa","-43.257166","-22.971675",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459513","NY00459513_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 23:41:00-03","NY","NYBG","1551322","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya","M. P. M. de Lima","B. D. Sucre","7380","1971","01","21","South America","Brazil","Rio de Janeiro",NA,"Matas da subida do Pico da TIjuca.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1157302' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551322","NY01551322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-11-01 14:47:00-02","NY","NYBG","459509","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","leptostachya","Pseudopiptadenia leptostachya",NA,"E. Pereira","6950","1960","01","01","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Corcovado, pr. Paineiras","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459509","NY00459509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
