"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","county","minimumElevationInMeters","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:41:47-03","E","E","57741","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","Dubs, B.","1697","1994","08","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:65905","<a href=http://data.rbge.org.uk/herb/E00057741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00057741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","55793","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","Bridgewater, S.",NA,"1997","11","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:58852","<a href=http://data.rbge.org.uk/herb/E00055793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055793","State of Tocantins","Lagoa de Confusao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","9297","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","Ratter, J.A.; Pott, A.; Bridgewater, S.; Filho, Fonsêca J.; Cardoso, C.F.R. & Dos Santos, G.B.",NA,"1996","09","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:47022","<a href=http://data.rbge.org.uk/herb/E00009297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:47-03","E","E","55546","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","Bridgewater, S.",NA,"1997","08","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:58822","<a href=http://data.rbge.org.uk/herb/E00055546 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055546","State of Tocantins","29km from Canarana on the road to Guarap?","-52.466667","-13.516667","-52.466667","-13.516667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:47-03","E","E","167694","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","Davis, P., Gibbs, P., Kinoshita, L.S., Semir, J. & Andrade, J.B.","2481","1976","07","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:176670","<a href=http://data.rbge.org.uk/herb/E00167694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167694","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:47-03","E","E","35971","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","Ratter, J.A.; Bridgewater, S. & Cardoso, E.",NA,"1996","04","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:46578","<a href=http://data.rbge.org.uk/herb/E00035971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00035971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00980999","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","G. C. G. Argent","6780","1968","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980999","Mato Grosso","R3, c 3 km S of Base Camp","-51.77","-12.82",NA,NA,"Magnoliophyta","Myrtales","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1552486","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","J. R. Pirani","4412","1998","05","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947611' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552486","Minas Gerais","Estrada Corinto - Conselheiro Mata, 6 km E de Santo Hipolito.","-44.185","-18.2881",NA,NA,"Magnoliophyta","Myrtales","DC.","M. L. Kawasaki","Santo Hipólito","550","NY01552486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907560","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","G. G. Hatschbach","69549","1999","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907560","Minas Gerais","Catoni","-44.2342","-17.3153",NA,NA,"Magnoliophyta","Myrtales","DC.","G. G. Hatschbach","Francisco Dumont",NA,"NY00907560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557922","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","dysenterica","Eugenia dysenterica","G. Eiten","2207","1960","08","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557922","São Paulo","Campos das Sete Lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu 4 km NNW of Padua Sales (about 27 km NW of city of Moji-Mirim)",NA,NA,NA,NA,"Magnoliophyta","Myrtales","DC.","F. F. Mazine","Moji-Guaçu","575","NY00557922_01","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
