"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","country","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relationshipType","relatedCatalogItem"
"1","2016-09-27 14:26:00-03","NY","NYBG","01922738","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","G. H. H. Tate","109","1927","09","21","South America","Along the river, Limao. British Guiana and Northern Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150121' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922738","NY01922738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486303","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","R. M. Harley","21572","1980","04","20","South America","Basin of the Upper Sao Francisco River. 4 km north of Bom Jesus da Lapa, on the main road to Ibotirama. F4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486303","NY00486303_01","Meisn.","B. Verdcourt","Brazil","Bahia","-43.4","-13.22","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013912","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","Y. E. J. Mexia","4497","1930","03","21","South America","Agricultural College lands. West of Director's house.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106661' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013912","NY01013912_01","Meisn.","C. A. O'Donell","Brazil","Minas Gerais","-42.868031","-20.7613428","676","676","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","494064","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","Z. A. Trinta","1867","1964","04","20","South America","Pedra da Conceiçao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494064","NY00494064_01","Meisn.","D. F. Austin","Brazil","Minas Gerais","-41.277389","-16.020808",NA,NA,"Pedra Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182634","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","A. Moura","66","2009","07","29","South America","Reserva Biológica de Poço das Antas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407363' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182634","NY01182634_01","Meisn.","A. Moura","Brazil","Rio de Janeiro","-42.28917","-22.56583","2","2","Silva Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01922737","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","A. S. L. da Silva","1895","1984","03","19","South America","Serra dos Carajás. N-4, próximo a transição para a mata. Campo rupestre, solo de canga e na mata de terra firme.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922737","NY01922737_01","Meisn.",NA,"Brazil","Pará","-50.1736164","-6.0551244",NA,NA,"Marabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013911","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","J. M. Pires","2503","1950","05","29","South America","Duas léguas abaixo de Carolina, rio Tocantins.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106658' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013911","NY01013911_01","Meisn.","C. A. O'Donell","Brazil","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:54-03","UFRJ","RFA","18993","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","Cézio Pereira","552","1977","07","24",NA,"Fazenda Santa Marta",NA,"Trepadeira","RFA15927",NA,"Meisn.","R. Simão Bianchini","Brasil","Goiás","-50.5705986022949","-14.7447004318237",NA,NA,"Mozarlândia","2010","10","29","35559","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:37:33-03","EAO","IAN","58925","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","Pires, JM; Black, GA","2503","1950","05","29","Southern America","Campo, duas léguas abaixo de Carolina, Rio Tocantins.",NA,NA,"IAN058925",NA,"Meisn.","O'Donell, CA","Brasil","Maranhão",NA,NA,NA,NA,NA,"1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:37:33-03","EAO","IAN","80425","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","cynanchifolia","Ipomoea cynanchifolia","Fróes, RL","30268","1953","09","16","Southern America","Rio Maicurú, estrada de Caá-ussú.",NA,NA,"IAN080425",NA,"Meisn.","Austin, DF","Brasil","Pará","-54.0691986083984","-2.00778007507324",NA,NA,"Monte Alegre","1979",NA,NA,"279177","auto",NA,NA,NA,NA,NA,NA,NA,NA
