"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","445604","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","T. B. Cavalcanti","T. B. Cavalcanti","304","1989","02","24","South America","Brazil","Bahia","Rio de Contas","Mato Grosso - Rio de Contas; km 5","-41.88","-13.32","1030","1030","sheet","Material Coletada- Exsicatas; Sementes. Interesse Economico Oleos Lauricos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445604","NY00445604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00940447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","S. A. T. Graham","W. R. Anderson","7264","1973","03","16","South America","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 13 km by road S of Terezina","-47.2647","-13.8939","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940447","NY00940447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","445602","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","A. Lourteig","G. G. Hatschbach","34140","1974","02","13","South America","Brazil","Mato Grosso","Rondonopolis","Serra da Petrolina","-54.6356","-16.4708",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445602","NY00445602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00940007","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne",NA,"S. A. T. Graham","888","1982","03","15","South America","Brazil","Minas Gerais","Gouveia","3 km. S of Ribeirao and 28 km. NE of Munic. Gouveia-Pres. Juscelino boundary on Diamantina-Curvelo highway.","-43.7406","-18.4544",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940007","NY00940007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00940024","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","T. B. Cavalcanti","T. B. Cavalcanti","283","1989","02","22","South America","Brazil","Minas Gerais","Grão Mogol","BR-251, Grão-Mogol-Ribeirao das Mortes.","-42.9","-16.57","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940024","NY00940024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1146521","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","J. R. Pirani","D. C. Zappi","CFCR13073","1990","06","15","South America","Brazil","Minas Gerais","Grão Mogol","Alto do Morro do Papo da Ema, para Jambeiro.","-42.908","-16.558","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1343045' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146521","NY01146521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00940449","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","A. Lourteig","H. S. Irwin","20843","1968","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 20km N. of Sêrro on road (MG 2) to Diamantina.","-43.57","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940449","NY00940449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00940448","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","A. Lourteig","W. R. Anderson","35526","1972","02","05","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, ca. 15 km S of Diamantina","-43.6897","-18.325","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940448","NY00940448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00940446","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","A. Lourteig","W. R. Anderson","6347","1973","03","05","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 1 km E of Alto Paraíso on road to Nova Roma","-47.5103","-14.1103","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940446","NY00940446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00445601","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lutescens","Cuphea lutescens","Pohl ex Koehne","S. A. T. Graham","T. B. Cavalcanti","CFCR8551","1985","11","22","South America","Brazil","Minas Gerais","Diamantina","Estrada para Biri-biri","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445601","NY00445601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
