"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","previousCatalogNumber"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2534","S","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1880","S","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.","254","Márcia Barcelar, et.al.","2006","02","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","02","08","Brasil","Minas Gerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374868","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch) Benth. & Hook.f.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358850' target='other'> <mi>dwc_moreinfo</mi></a>","T. D. Pennington",NA,NA,"M. A. Cunha","1959","11","23","Brazil","São Paulo","Sao Paulo","Horto Florestal","-46.63","-23.5403",NA,NA,NA,"4","South America","sheet","NY00374868","NY00374868_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00374870","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch) Benth. & Hook.f.","[Collection date 30 jan?; month illegible] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358851' target='other'> <mi>dwc_moreinfo</mi></a>","T. D. Pennington",NA,NA,"A. F. M. Glaziou","1878",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","S. Cristovao","-43.2075","-22.9031",NA,NA,NA,"8230","South America","sheet","NY00374870","NY00374870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:33:33-03","MN","R","94023","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K. Koch & Fintelm.) Benth. & Hook. f.","Herb. J. de Saldanha, 5414; Plantae Flum. Ex Herb. Glaziou","Almeida, M.C.","2013","09","Glaziou, A.F.M.",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R000094023","R000094023_001","13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:33:33-03","MN","R","12011","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Martiusella","imperialis","Martiusella imperialis","(Linden ex K. Koch & Fintelm.) Pierre","Plantas do Brasil Central",NA,NA,NA,"Glaziou, A.F.M.","1874","10","20","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"7745",NA,NA,"R000012011","R000012011_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:50:20-02","IPA","IPA","74300","S","Plantae","Plantae",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K. Koch & Fintelm.) Benth. & Hook.f.","Árvore, ca. de 8m de altura por 20cm de diâmetro. Flores verde amareladas com leve perfume desagradável","Lima, R.G.V.N.","2018","06","Tavares, S.","1962","09","17","Brasil","Paraíba","Santa Rita",NA,"-34.978099822998","-7.11389017105103","25560",NA,"auto","1049","Southern America",NA,"IPA0074300",NA,"07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:28:50-03","IAP","PACA-AGP","48225","PreservedSpecimen","Plantae","Magnoliophyta","Ebenales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K. Koch & Fintelm.) Benth. & Hook.","Habitat: Culta Fenofase: folium","Emrich-Rambo",NA,NA,"Emrich, K.","1950","01","18","Brasil","RS","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738","29946",NA,"auto",NA,NA,NA,"PACA048225",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:28:50-03","IAP","PACA-AGP","54213","PreservedSpecimen","Plantae","Magnoliophyta","Ebenales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K. Koch & Fintelm.) Benth. & Hook.","Habitat: Culta Fenofase: folium","Emrich-Rambo",NA,NA,"Prefeitura","1953","07",NA,"Brasil","RS","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738","29946",NA,"auto",NA,NA,NA,"PACA054213",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:41:05-03","UNICAMP","UEC","8090","S","Plantae","Magnoliopsida",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden) Benth. & Hook.f.","Arbusto 3-4m, passifloria flores avermelhadas",NA,NA,NA,"Andrade, JB","1976","09","05","Brazil","Mato Grosso",NA,"Ao redor do Centro Científico de ARIPUANÃ",NA,NA,NA,NA,NA,"3318",NA,NA,"UEC159676","UEC159676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
