"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLatitude","verbatimLongitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00978849","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","G. G. Hatschbach","41423","1978","04","23","South America","Brazil","Minas Gerais","Grão Mogol","Ribeirão","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978849","NY00978849_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00978850","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","G. G. Hatschbach","41507","1978","04","23","South America","Brazil","Minas Gerais","Cristália","Cristalia, arredores","-42.8619","-16.8006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978850","NY00978850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00978851","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","R. de Mello-Silva","R. de Mello-Silva","CFCR9875","1986","07","23","South America","Brazil","Minas Gerais","Grão Mogol","Córrego Escurinha","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978851","NY00978851_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00978852","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","23513","1969","02","18","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 15 km north of Grão Mogol","-42.9786","-16.6349","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978852","NY00978852_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-24 17:10:40-03","UTFPR","DVPR","4102","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S. Irwin & Barneby","Barboza, E","Caxambu, MG; et al.","5281","2014","06","19",NA,"Brasil","Rondonia","Vilhena","Sítio Recanto dos Pássaros, 36km de Vilhena, próximo à BR-364.",NA,"-12.34535",NA,"Arbusto ca. 2m, heliófito. Flores com cálice verde e corola amarela. Frutos imaturos verdes.; Relevo: suave-ondulado.","DVPR004102",NA,"461","461","2015","-12.34535",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-16 08:39:20-03","UTFPR","HCF","14586","S","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S. Irwin & Barneby","E. Barboza","M.G. Caxambu","5281","2014","06","19",NA,"Brasil","RO","Vilhena","Sítio Recanto dos Pássaros, 36 Km de","-60.404861","-12.581528",NA,"arbusto de 2 m, heliófito. Flores com cálice verde e corola amarela. Frutos imaturos verdes.",NA,NA,"461","461","2015","12°34'53,5 S","60°24'17,5 W",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:25:58-03","MBM","MBM","58675","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) Irwin & Barneby","Barneby, R.","Hatschbach, G.","41507",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Cristália","Cristália, arredores","-42.8622016906738","-16.8003005981445",NA,NA,"MBM058675","MBM058675",NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:25:58-03","MBM","MBM","228226","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) Irwin & Barneby","Hatschbach, G.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","68015",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Cristália","Croslândia","-42.8622016906738","-16.8003005981445",NA,NA,"MBM228226","MBM228226",NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:25:58-03","MBM","MBM","57581","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) Irwin & Barneby","Barneby, R.","Hatschbach, G.","41423",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Ribeirão","-42.8897018432617","-16.5594005584717",NA,NA,"MBM057581","MBM057581",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:25:58-03","MBM","MBM","399646","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S. Irwin & Barneby","Barboza, E.","Caxambu, M.G.","5281","2014","06","19","Southern America","Brazil","Rondônia","Vilhena","Sítio Recanto dos Pássaros, 36 Km de Vilhena, prox. Rodovia BR-364","-60.404861","-12.581528",NA,"Arbusto de 2m, heliófito. Flores com cálice verde e corola amarela. Frutos imaturos verdes.; Relevo: suave-ondulado.","MBM399646","MBM399646","461","461","2015","-12.581528","-60.404861",NA,NA,NA,NA,NA,NA,NA,NA
