"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","individualCount","yearIdentified","monthIdentified","month","day","stateProvince","county","class","decimalLongitude","decimalLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","337409","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","comocladiaeformis","Maytenus comocladiaeformis","Reissek","type","F. Sellow","B2088; 2045","South America","Brazil","In Brasilia meridionali [Fazenda da Galena]","sheet","Collection number: B2088; 2045 / Fide L. Biral, 2016: [Lectotype] Designation in Carvalho-Okano & Leitão-Filho (2004) is not effective. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00337409","NY00337409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-08-03 10:31:00-03","MO","MOBOT","100287446","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","comocladiiformis","Monteverdia comocladiiformis","(Reissek) Biral",NA,"F. Sellow","Sellow s.n.","South America","Brazil",NA,NA,NA,NA,NA,"R.Liesner (MO)","1836","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-15 15:29:52-03","UNESP-RC","HRCB","41406","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","comocladiaeformis","Maytenus comocladiaeformis","Reissek",NA,"Teixeira, W.A.","s.n.",NA,"Brasil",NA,NA,"Próximo a paredão de calcário. Arbustivo",NA,NA,"Biral, L.","2000",NA,"2009","12","10","14","Minas Gerais","Barão dos Cocais",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","288163","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","comocladiaeformis","Maytenus comocladiaeformis","Reissek in Mart.","Type collection","F. Sellow","B2088, 2045","South America - Neotropics","Brazil","[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,"US00713536","US00713536_01",NA,NA,"1",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA
"5","2019-09-04 18:49:47-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Celastraceae","Maytenus","comocladiaeformis","Maytenus comocladiaeformis",NA,"Type [status unknown]","F. Sellow","2045","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","-52.8731","-10.8339"
"6","2017-09-11 17:09:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Celastraceae","Maytenus","comocladiaeformis","Maytenus comocladiaeformis","Reissek",NA,"Sellow, F","s.n.","Southern America","Brazil","Habitat in Brasilia meridionali",NA,NA,NA,"P11P1N0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
