"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1330","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Echinopsis","calochlora","Echinopsis calochlora","K.Schum.","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:19:15-03","UFRJ","RFA","35535","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Echinopsis","calochlora","Echinopsis calochlora","K.Schum.",NA,"Erva rupícola, heliófila, sobre matacão. Floresceu em setembro de 2008. Só flores coletadas. Ocasional. Indivíduo coletado para cultivo no viveiro","A. Maciel","s.n.","2008","09","00","Brasil","Mato Grosso do Sul","Corumbá","Morro do Urucum. Proximidades da estrada para a Embratel","-57.6533012390137","-19.0091991424561","295160","RFA22917","auto",NA,NA,NA,NA,NA
"3","2021-04-07 11:42:02-03","UFMS","CGMS","54892","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Echinopsis","calochlora","Echinopsis calochlora","K.Schum.",NA,"FlorEstéril. Habitat: Campo graminoso c/ arbustos de cerrado. Solo litólico de Fe. Relevo encosta superior de morro. Mancha ocasional. Habito: Cacto.","V.J. Pott; A. Pott; G.A. Damasceno-Junior; J.A. Ratter; J. Yesilyurt; W. Milliken","7511","2005","02","24","Brasil","Mato Grosso do Sul","Corumbá","MCR (Mineração Corumbaense Reunidas), Rio Tinto, próximo à Estrada Parque (Estrada da Manga) logo após o topo da Serra na estrada, no sentido Corumbá-Porto da Manga.","-57.5036111","-19.2255556",NA,"CGMS1084858",NA,"-57,5036111","-19,2255556","370","370",NA
"4","2021-04-07 11:42:02-03","UFMS","CGMS","17536","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Echinopsis","calochlora","Echinopsis calochlora","K.Schum.",NA,"Flor branca-esverdeada.","J.S. Garcia","54","2006","09","12","Brasil","Mato Grosso do Sul","Corumbá","Maciço do Urucum - Mineração Corumbaense.","-57.6533012390137","-19.0091991424561","295160","CGMS1046834","auto",NA,NA,"900","900","G.A. Damasceno-Junior"
