"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","583611","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","heterandra","Bauhinia heterandra","Benth.","M. G. da Silva","L. M. M. Carreira","664","1983","03","24","South America","Brazil","Mato Grosso","Santo Antônio do Leverger","Engenho Velho","-56.0767","-15.8658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583611","NY00583611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","583610","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","heterandra","Bauhinia heterandra","Benth.","G. P. Lewis","R. M. Harley","21598","1980","04","20","South America","Brazil","Bahia",NA,"Basin of the upper Sao Francisco River. 4 km N of Bom Jesus da Lapa, on the main road to Ibotirama","-43.4","-13.22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583610","NY00583610_01","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-28 14:03:00-02","NY","NYBG","00958683","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra",NA,"R. P. Wunderlin","S. L. M. Moore","952","1891",NA,NA,"South America","Brazil","Mato Grosso",NA,"Iter Matogrossense",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958683","NY00958683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 13:55:00-02","NY","NYBG","590220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra",NA,"R. P. Wunderlin","N. Lima","51","1968","01","05","South America","Brazil","Rio Grande do Norte",NA,"Santana. Sitio do Sr. Otílio",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=281619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590220","NY00590220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-28 14:03:00-02","NY","NYBG","00958681","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra",NA,NA,"M. de F. Agra","1695","1993","03","24","South America","Brazil","Paraíba",NA,"Itaporanga, caminho para a Serra Agua Branca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958681","NY00958681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00958677","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra","(Bong.) Steud.","R. P. Wunderlin","H. S. Irwin","23197","1969","02","13","South America","Brazil","Minas Gerais","Francisco Sá","Serra do Espinhaço, ca. 5 km N.E. of Francisco Sá, on road to Salinas","-43.44565","-16.4661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958677","NY00958677_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 14:03:00-02","NY","NYBG","00958660","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra",NA,"G. P. Lewis","G. P. Lewis","1158","1982","01","23","South America","Brazil","Piauí","São Raimundo Nonato","Fundaçao Ruralista (Sede) ± 8-10 km. NNE de Curral Novo e 220 km. ENE de Petrolina","-42","-9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958660","NY00958660_01","320","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 13:55:00-02","NY","NYBG","590221","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra",NA,"R. P. Wunderlin","N. Lima","51","1968","01","05","South America","Brazil","Rio Grande do Norte",NA,"Santana. Sitio do Sr. Otílio",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=281620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590221","NY00590221_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 14:03:00-02","NY","NYBG","00958680","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra",NA,"R. P. Wunderlin","D. Philcox","4670","1968","04","01","South America","Brazil","Mato Grosso","Barra do Garças","c. 14 km. W. of km. 90, Xavantina-Aragarças road. Vale dos Sonhos.","-52.23","-14.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958680","NY00958680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","590223","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","pentandra","Bauhinia pentandra","(Bong.) Steud.","A. Laurênio","K. Andrade","279","1996","01","11","South America","Brazil","Pernambuco","Buíque","Entrada para o Paraíso Selvagem","-37.0025","-8.625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=281618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590223","NY00590223_01","799","799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
