"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","occurrenceRemarks","barcode","imagecode","preparationType","year","month","stateProvince","locality","day","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","typeStatus","individualCount","verbatimLongitude","verbatimLatitude"
"1","2016-02-02 14:38:16-02","BGBM","B","B 10 0249076","S","Plantae","Gramineae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","L. Riedel","1403","Middle and South America","Brazil","Carl Mez Herbarium nr. I. 1471 <a href=http://herbarium.bgbm.org/object/B100249076 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100249076","B100249076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-10-01 09:34:00-03","MNHN","RECOLNAT_MNHN_P","P00740836","PreservedSpecimen",NA,"Poaceae","Ocellochloa","brachystachya","Ocellochloa brachystachya","(Trin.) Zuloaga & Morrone","Riedel, L.",NA,NA,"Brésil","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00740836' target='other'> <mi>dwc_moreinfo</mi></a>","P00740836","P00740836_01","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2011-02-28 11:01:00-03","MO","MOBOT","236614","PreservedSpecimen","Plantae","Poaceae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","G.H. Langsdorff","Langsdorff s.n.","South America","Brazil",NA,NA,NA,NA,"1825","1","Bahia","Serra da Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","2641870","PreservedSpecimen","Plantae","Poaceae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","VIANA","VIANA 963","South America","Brazil",NA,NA,NA,NA,"2003","4","Minas Gerais","Conveição do Mato Dentro, Parque Natural Municipal Ribeirão do Campo","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:27-03","FZB-BH","BHZB","10122","S","Plantae","Poaceae","Ocellochloa","brachystachya","Ocellochloa brachystachya",NA,"Fernandes, F.M. et al","347",NA,"Brasil","Área queimada em outubro/2012, com duplicata",NA,NA,NA,"2012","11","MG","RPPN Brumas do Espinhaço e Ermo do Gerais, Brumas","29","P.L.Viana","2013","11","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:27-03","FZB-BH","BHZB","10123","S","Plantae","Poaceae","Ocellochloa","brachystachya","Ocellochloa brachystachya",NA,"Fernandes, F.M. et al","346",NA,"Brasil","Área queimada em outubro/2012., com duplicata",NA,NA,NA,"2012","11","MG","RPPN Brumas do Espinhaço e Ermo do Gerais, Brumas","29","P.L.Viana","2013","11","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","79731","PreservedSpecimen","Plantae","Poaceae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","G. H. von Langsdorff","---","South America - Neotropics","Brazil",NA,"US00133114","US00133114_01",NA,"1825","1","Bahia","Serra da Lapa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales","Type fragment","1",NA,NA
"8","2019-11-13 11:28:54-03","USP","SPF","35108","PreservedSpecimen","Plantae","Poaceae","Ocellochloa","brachystachya","Ocellochloa brachystachya","(Trin.) Zuloaga & Morrone","Longhi-Wagner, HM","CFCR6048",NA,"Brasil",NA,"SPF00035108","SPF00035108",NA,"1984","11","Minas Gerais","Serra do Cipó, Ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro, km 138. Alto do Palácio.","15","Filgueiras, TS; Rodrigues, RS; Shirasuna, RT","2014",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:12:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","Langsdorff, GB","s.n.",NA,"?","mense Januario florens",NA,NA,NA,NA,NA,NA,"in saxosis montium Serra da Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:12:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","Langsdorff, GH (Baron)","s.n.","Southern America","Brazil","mense Januario florens",NA,NA,NA,NA,NA,NA,"in saxosis montium Serra da Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2014-09-23 10:59:13-03","G","G","G00099655","S","Plantae","Poaceae","Panicum","brachystachyum","Panicum brachystachyum","Trin.","Langsdorff, G. H.",NA,"AMERIQUE DU SUD","Brazil","Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=127271&base=img&lang=en","G00099655","G00099655",NA,"1825",NA,"Minas Gerais",NA,"00","?",NA,NA,NA,"-45.44222222","-18.78777778",NA,NA,NA,NA,"ISOTYPUS of Panicum brachystachyum Trin.",NA,"-45.44222222","-18.78777778"
