"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","dayIdentified","infraspecificEpithet","class","relatedCatalogItem","fieldNumber"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1762","S","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","Juliana Ordones; et al.","2005","07","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637","19º45'a19º30'","42º38' a 48º28'","16391","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02172152","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"E. P. Heringer","1979","09","29","Brazil","Minas Gerais","Dionísio","Parque Essadual do Rio Doce","-42.7767","-19.8431",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319944' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"16615","South America","sheet","NY02172152","NY02172152_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","565914","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. A. Kallunki",NA,NA,"J. R. Pirani","1995","02","20","Brazil","Rio de Janeiro","Maricá","Itaipuaçu, Serra da Tiririca, alto do morro no limite com o município de Niterói. Trilha para a Pedra do Elefante","-42.8183","-22.9194",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206544' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3551","South America","sheet","NY00565914","NY00565914_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565913","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. A. Kallunki",NA,NA,"L. Riedel","1828","12",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206549' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet","NY00565913","NY00565913_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","778556","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","C. C. Berg",NA,NA,"A. M. V. de Carvalho","2002","04","04","Brazil","Bahia","Uruçuca","Escola Média de Agropecuária Ragional da CEPLAC (EMARC), Reserva Gregório Bowdar","-39.27","-14.6033333",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795643' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7169","South America","sheet","NY00778556",NA,"107","107",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565909","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"A. F. C. P. Saint-Hilaire","1816",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206538' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"66","South America","sheet","NY00565909","NY00565909_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687179","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","R. de Castro",NA,NA,"P. Fiaschi","2000","09","16","Brazil","São Paulo","Ubatuba","Trilha da Praia da Caçandoca para a Praia da Tabatinga.","-45.0697","-23.4303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859405' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"439","South America","sheet","NY00687179",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","565917","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"L. Riedel","1829","02",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206539' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"22","South America","sheet","NY00565917",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565905","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"G. Martinelli","1973","09","29","Brazil","Rio de Janeiro","Angra dos Reis","Angra dos Reis, Estrada da Praia Grande","-44.3181","-23.0069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206535' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"67","South America","sheet","NY00565905","NY00565905_01","10","10",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565965","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206554' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"115","South America","sheet","NY00565965","NY00565965_01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","565966","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"H. E. Strang","1967","01","11","Brazil","Rio de Janeiro",NA,"Itaperana, Fazenda Sao José",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206552' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"917","South America","sheet","NY00565966","NY00565966_01",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","55394","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. A. Kallunki",NA,NA,"J. A. Kallunki","1995","02","17","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, in forest near tower.","-42.15","-22.82",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"623","South America","sheet","NY00055394","NY00055394_01","400","400",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","565922","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"J. P. P. Carauta","1963","01","05","Brazil","Rio de Janeiro",NA,"Morro de Sao Joao, Agulhinha de Copacabana",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206560' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"173","South America","sheet","NY00565922","NY00565922_01",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","55395","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. A. Kallunki",NA,NA,"J. A. Kallunki","1995","02","17","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, in forest near tower.","-42.15","-22.82",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"624","South America","sheet","NY00055395","NY00055395_01","400","400",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","565918","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"M. Gay","1828","08",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206540' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet","NY00565918","NY00565918_01",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","565963","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"P. von Luetzelburg","1916","01",NA,"Brazil","Rio de Janeiro",NA,"Orgelgebirge",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206556' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"6464","South America","sheet","NY00565963","NY00565963_01","1200","2000",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","565912","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. A. Kallunki",NA,NA,"L. Riedel","1829","12",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"22","South America","sheet","NY00565912",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","565924","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"A. F. Regnell",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206551' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"192","South America","sheet","NY00565924","NY00565924_01",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","565920","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"C. Farney","1983","11","16","Brazil","Rio de Janeiro",NA,"Limite de municípios Niterói-Maricá, Pico Alto Moirao",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206557' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"366","South America","sheet","NY00565920","NY00565920_01",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","565962","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"P. von Luetzelburg","1910",NA,NA,"Brazil","Rio de Janeiro","Petrópolis","Petropolis, Presidentia","-43.1783","-22.505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206555' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet","NY00565962","NY00565962_01",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","565902","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","J. P. P. Carauta",NA,NA,"W. R. Anderson","1976","02","21","Brazil","Rio de Janeiro",NA,"Pedra da Gávea","-43.282673","-22.99742",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206534' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"11681","South America","sheet","NY00565902","NY00565902_01","500","500",NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1281815","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.",NA,NA,NA,"M. D. M. Vianna Filho","2009","09",NA,"Brazil","Espírito Santo","Domingos Martins","Margem esquerda, na parte superior da cachoeira.","-40.6591987609863","-20.3633003234863",NA,NA,"48150",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742964' target='other'> <mi>dwc_moreinfo</mi></a>","auto","2002","South America","sheet","NY01281815","NY01281815_01",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","565919","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","C. C. Berg",NA,NA,"J. E. Simonis","1983","01","28","Brazil","Rio de Janeiro","Petrópolis","Serra dos Orgaos, Petropolis","-43.06481","-22.514056",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"24","South America","sheet","NY00565919","NY00565919_01","750","750",NA,NA,NA,NA,NA,NA
