"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","class","typeStatus","dayIdentified","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2587","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","Bohs.","Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.","AGRA7385","2011","05","04","Brasil","São Paulo","São José do Barreiro","Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento to Fazenda Das Posses.","-44.5699996948242","-22.6399993896484","44º37'19,49","22º45'05,52","30784","1461","1461","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2589","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","Bohs.","Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.","AGRA7389","2011","05","05","Brasil","São Paulo","São José do Barreiro","Outskirts of Parque Nacional Serra da Bocaina. Road from park administrative headquarters at São José do Barreiro to alojamento at entrance to park.","-44.5699996948242","-22.6399993896484","44º37'56,77","22º41'13,96","30784","1384","1384",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2586","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","Bohs.","Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.","AGRA7385","2011","05","04","Brasil","São Paulo","São José do Barreiro","Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento to Fazenda Das Posses.","-44.5699996948242","-22.6399993896484","44º37'19,49","22º45'05,52","30784","1461","1461",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2588","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","Bohs.","Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.","AGRA7385","2011","05","04","Brasil","São Paulo","São José do Barreiro","Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento to Fazenda Das Posses.","-44.5699996948242","-22.6399993896484","44º37'19,49","22º45'05,52","30784","1461","1461",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669203","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","(Sendtn.) Bohs",NA,NA,NA,"L. Riedel","s.n.","1834","01",NA,"Brazil",NA,NA,"P. St. Carlos.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221593' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669203","NY00669203_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669205","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","(Sendtn.) Bohs",NA,NA,NA,"L. Riedel","s.n.","1824",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221592' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669205","NY00669205_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669201","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","(Sendtn.) Bohs",NA,NA,NA,"L. Riedel","s.n.","1823","02",NA,"Brazil",NA,NA,"Serra Estrella.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221591' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669201","NY00669201_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00697024","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","(Sendtn.) Bohs",NA,NA,NA,"J. E. B. Warming","s.n.",NA,NA,NA,"Brazil",NA,NA,"Ad Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828756' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00697024","NY00697024_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669202","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","(Sendtn.) Bohs",NA,NA,NA,"Collector unspecified","26",NA,NA,NA,"Brazil",NA,NA,"Ad Valença prov. Sebastianop.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221594' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669202","NY00669202_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669200","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","latiflorum","Solanum latiflorum","(Sendtn.) Bohs",NA,NA,NA,"J. F. A. Baumgratz","430","1989","06","07","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sitio Sophronites, margem da trilha que conduz a parcela I.","-42.5311012268066","-22.2819004058838",NA,NA,"33190",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221595' target='other'> <mi>dwc_moreinfo</mi></a>","auto","South America","sheet","NY00669200","NY00669200_01",NA,NA,NA,NA,NA
