"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","stateProvince","county","coordinatePrecision","geoFlag","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","imagecode","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:09-03","E","E","373985","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","juncea","Galeandra juncea","isolectotype","Schomburgk, Robert Hermann","269","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:438644","<a href=http://data.rbge.org.uk/herb/E00373985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4088677","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"M. J. Jansen-Jacobs","3244","1994","01","18","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406268' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088677","Magnoliophyta","Asparagales","(Vell.) Hoehne","Rupununi Distr., N of Shea, Camp 1.","-59.15","2.95","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4088673","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"M. J. Jansen-Jacobs","5526","1997","09","16","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406252' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088673","Magnoliophyta","Asparagales","(Vell.) Hoehne","S Rupununi Savanna, Takatu R., Miliawau R.","-59.58","2.2","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4088674","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"M. J. Jansen-Jacobs","4981","1995","09","01","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406261' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088674","Magnoliophyta","Asparagales","(Vell.) Hoehne","Rupununi Distr., Bushmouth Shea to Quitaro R., Bowl Creek.","-59.12","2.9","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4088677","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"M. J. Jansen-Jacobs","3244","1994","01","18","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406268' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088677","Magnoliophyta","Asparagales","(Vell.) Hoehne","Rupununi Distr., N of Shea, Camp 1.","-59.15","2.95","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4088673","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"M. J. Jansen-Jacobs","5526","1997","09","16","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406252' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088673","Magnoliophyta","Asparagales","(Vell.) Hoehne","S Rupununi Savanna, Takatu R., Miliawau R.","-59.58","2.2","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4088674","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"M. J. Jansen-Jacobs","4981","1995","09","01","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406261' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088674","Magnoliophyta","Asparagales","(Vell.) Hoehne","Rupununi Distr., Bushmouth Shea to Quitaro R., Bowl Creek.","-59.12","2.9","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:45-03","EAO","IAN","52372","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","graminoides","Galeandra graminoides",NA,"Lima, RP de","67","1950","03",NA,"Southern America","Brasil",NA,NA,NA,"IAN052372","Monocotiledônea",NA,"Rodr.",NA,NA,NA,NA,"Pabst, GFJ","Pará","Marajó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:45-03","EAO","IAN","164482","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","graminoides","Galeandra graminoides",NA,"Projeto, Iara","s.n.","1997","01",NA,"Southern America","Brasil",NA,NA,"Flor amarela com manchas marrons.","IAN164482","Monocotiledônea",NA,"Rodr.","Mata ciliar. Lago grande, várzea.","-54.0691986083984","-2.00778007507324",NA,NA,"Pará","Monte Alegre","279177","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:45-03","EAO","IAN","126501","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Irwin, HS; Souza, R","11408","1966","01","06","Southern America","Brasil",NA,NA,"Terrestrial, from fleshy corm, to ca. 45 cm. tall. Perianth rose-pink, the labellum banded magenta.","IAN126501","Monocotiledônea",NA,"(Vell) Hoehne",NA,NA,NA,"975","Pabst, GFJ","Distrito Federal","Sobradinho",NA,NA,"975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:52:45-03","EAO","IAN","153255","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Lacerda, P; Guedes, TN","120","1969","09",NA,"Southern America","Brasil",NA,NA,"Terrestre, atinge até 50cm de altura.","IAN153255","Monocotiledônea",NA,"(Vell) Hoehne","Vila de Maracá e Salvaterra.",NA,NA,NA,"Monteiro, SHN","Pará","Marajó",NA,NA,NA,"1999","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:52:45-03","EAO","IAN","117575","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Pires, JM; Cavalcante, PB","52015","1962","07","10","Southern America","Brasil",NA,NA,"Terrestrial, ca 1 m high, flower very pale pink.","IAN117575","Monocotiledônea",NA,"(Vell) Hoehne",NA,"-52.916667","-0.916667",NA,"Pabst, GFJ","Amapá",NA,NA,NA,NA,NA,NA,"-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:52:45-03","EAO","IAN","192601","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Lobato, LCB; Ferreira, L; Chaves, PP","3610","2009","01","05","Southern America","Brasil",NA,NA,"Erva de 0,45 m de altura, flores amarelas.","IAN192601","Monocotiledônea",NA,"(Vell) Hoehne","Vegetação de cerrado.&nf;Projeto financiado pelo ZEE-PA.","-54.7383003234863","-1.94166994094849",NA,NA,"Pará","Alenquer","394828","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:52:45-03","EAO","IAN","158883","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Dantas, M; Nivaldo, S","1198","1982","04","25","Southern America","Brasil",NA,NA,NA,"IAN158883","Monocotiledônea",NA,"(Vell) Hoehne","Campo alto a margem do Rio Anabiju.","-49.2167015075684","-1.52832996845245",NA,"Monteiro, SHN","Pará","Muaná","72451","auto",NA,"2005","05",NA,NA,"19",NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:52:45-03","EAO","IAN","158883","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Dantas, M; Nivaldo, S","1198","1982","04","25","Southern America","Brasil",NA,NA,NA,"IAN158883","Monocotiledônea",NA,"(Vell) Hoehne","Campo alto a margem do Rio Anabiju.","-49.2167015075684","-1.52832996845245",NA,"Monteiro, SHN","Pará","Muaná","72451","auto",NA,"2005","05",NA,NA,"19",NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:52:45-03","EAO","IAN","158738","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Dantas, M; Nivaldo, S","1053","1982","04","22","Southern America","Brasil",NA,NA,NA,"IAN158738","Monocotiledônea",NA,"(Vell) Hoehne","Fazenda Rosário.","-49.2167015075684","-1.52832996845245",NA,"Monteiro, SHN","Pará","Muaná","72451","auto",NA,"1999","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:52:45-03","EAO","IAN","158704","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Dantas, M; Nivaldo, S","1019","1982","04","21","Southern America","Brasil",NA,NA,"Erva. Campo.","IAN158704","Monocotiledônea",NA,"(Vell) Hoehne","Rio Afuá, Fazenda Berta.","-49.2167015075684","-1.52832996845245",NA,"Monteiro, SHN","Pará","Muaná","72451","auto",NA,"2005","05",NA,NA,"19",NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:52:45-03","EAO","IAN","158704","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Dantas, M; Nivaldo, S","1019","1982","04","21","Southern America","Brasil",NA,NA,"Erva. Campo.","IAN158704","Monocotiledônea",NA,"(Vell) Hoehne","Rio Afuá, Fazenda Berta.","-49.2167015075684","-1.52832996845245",NA,"Monteiro, SHN","Pará","Muaná","72451","auto",NA,"2005","05",NA,NA,"19",NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:52:45-03","EAO","IAN","158764","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Dantas, M; Nivaldo, S","1079","1982","04","22","Southern America","Brasil",NA,NA,NA,"IAN158764","Monocotiledônea",NA,"(Vell) Hoehne","Rio Anabiju, margem esquerda, em frente a fazenda Espírito Santo.","-49.2167015075684","-1.52832996845245",NA,"Monteiro, SHN","Pará","Muaná","72451","auto",NA,"1999","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:52:45-03","EAO","IAN","70376","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Black, GA","12560","1951","08","16","Southern America","Brasil",NA,NA,"Terrestre, flor rosea com bulbo.","IAN070376","Monocotiledônea",NA,"(Vell) Hoehne","Campo de aviação.","-60.6733016967773","2.81972002983093",NA,"Monteiro, SHN","Roraima","Boa Vista","90031","auto",NA,"1999","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:52:45-03","EAO","IAN","126501","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","styllomisantha","Galeandra styllomisantha",NA,"Irwin, HS; Souza, R","11408","1966","01","06","Southern America","Brasil",NA,NA,"Terrestrial, from fleshy corm, to ca. 45 cm. tall. Perianth rose-pink, the labellum banded magenta.","IAN126501","Monocotiledônea",NA,"(Vell) Hoehne",NA,NA,NA,"975","Pabst, GFJ","Distrito Federal","Sobradinho",NA,NA,"975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
