"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:25:39-03","UNESC","CRI","2988","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand","Marcos Sobral","Raquel Rejane Bonatto Negrelle","487","1992","10","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI005361","CRI005361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:39-03","UNESC","CRI","2989","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand","Marcos Sobral","Raquel Rejane Bonatto Negrelle","470","1992","10","14","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI005362","CRI005362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","14801","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand","Vieira, F.C.S","Schwirkowski, P.","3338","2019","01","23","Brasil","Santa Catarina","Schroeder","Rio do Julio. Rio do Julio. Estrada Rio do Julio.","-49.061389","-26.406944","49º3'41''W","26º24'25''S","600","600","CRI014128","CRI014128","2019","01","24","FOD. Heliófita. Frutos imaturos Habitat: Borda de mata Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533244","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel","M. L. Kawasaki","J. R. L. Godoy","155","1998","09","21","Brazil","São Paulo","Iporanga","Parque Estadual Turístico do Alto Ribeira (P.E.T.A.R.). Bairro da Serra. Rancho do Mineiro.","-48.59","-24.58",NA,NA,NA,NA,"NY00533244","NY00533244_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60151' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615916","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel","L. R. Landrum","G. G. Hatschbach","17182","1967","09","13","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"100","100","NY00615916","NY00615916_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60156' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615914","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel","G. G. Hatschbach","G. G. Hatschbach","30532","1972","10","12","Brazil","Paraná","Morretes","Rio Mae Catira","-48.8342","-25.4769",NA,NA,NA,NA,"NY00615914","NY00615914_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60159' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615918","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel","C. M. D. E. Legrand","P. K. H. Dusén","13643","1911","12","28","Brazil","Paraná",NA,"Rio Cubatao",NA,NA,NA,NA,NA,NA,"NY00615918","NY00615918_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60154' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615913","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel","G. G. Hatschbach","J. M. Silva","1780","1996","11","02","Brazil","Paraná","Guaratuba","Rio Arraial, Fazenda Bamerindus","-48.5744","-25.8831",NA,NA,NA,NA,"NY00615913","NY00615913_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60160' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533246","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel","M. L. Kawasaki","J. R. L. Godoy","158","1999","10","12","Brazil","São Paulo","Iporanga","Parque Estadual Turístico do Alto Ribeira (P.E.T.A.R.). Bairro da Serra. Terreno do Alemao.","-48.59","-24.58",NA,NA,NA,NA,"NY00533246","NY00533246_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60152' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615937","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","reitzii","Myrceugenia reitzii","D.Legrand & Kausel",NA,"G. G. Hatschbach","12797","1965","09","17","Brazil","Paraná","Antonina","Estr. Cacatu-Serra Negra, Rio Cachoeira","-48.7117","-25.4286",NA,NA,NA,NA,"NY00615937","NY00615937_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547427' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
