"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","8032","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema","O.Berg","Fábio C. S. Vieira","2020","04","21","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46","CRI005113","CRI005113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-01-12 10:49:00-02","NY","NYBG","557577","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema",NA,"F. F. Mazine",NA,NA,NA,"R. Kummrow","1983","04","14","Brazil","Paraná","Tijucas do Sul","Represa de Vossoroca","-49.1989","-25.9283",NA,NA,NA,NA,"NY00557577","NY00557577_01","Magnoliophyta","Myrtales","2310","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123881' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"3","2017-01-12 10:49:00-02","NY","NYBG","557575","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema",NA,"F. F. Mazine",NA,NA,NA,"R. Reitz","1958","04","18","Brazil","Santa Catarina","Sao Francisco do Sul","Pôrto do Palmital, Garuva","-48.6381","-26.2433",NA,NA,"10","10","NY00557575","NY00557575_01","Magnoliophyta","Myrtales","6693","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123884' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557572","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema","O.Berg","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","1970","03","25","Brazil","Paraná","Campina Grande do Sul","Rio Tucum","-49.0553","-25.3058",NA,NA,NA,NA,"NY00557572","NY00557572_01","Magnoliophyta","Myrtales","24064","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123880' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"5","2017-01-12 10:49:00-02","NY","NYBG","557571","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema",NA,"F. F. Mazine",NA,NA,NA,"R. Reitz","1958","03","06","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","NY00557571","NY00557571_01","Magnoliophyta","Myrtales","6565","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123886' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"6","2017-01-12 10:49:00-02","NY","NYBG","557576","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema",NA,"F. F. Mazine",NA,NA,NA,"R. Reitz","1958","04","17","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville","-48.8456","-26.3044",NA,NA,"600","600","NY00557576","NY00557576_01","Magnoliophyta","Myrtales","6665","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123885' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558092","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema","O.Berg","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","1968","05","30","Brazil","Paraná","Morretes","Rio Sagrado de Cima","-48.8342","-25.4769",NA,NA,"150","150","NY00558092","NY00558092_01","Magnoliophyta","Myrtales","19281","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479656' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"8","2017-01-12 10:49:00-02","NY","NYBG","557574","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema",NA,"F. F. Mazine",NA,NA,NA,"R. Reitz","1957","05","25","Brazil","Santa Catarina","Sao Francisco do Sul","Pôrto do Palmital, Garuva","-48.6381","-26.2433",NA,NA,"10","10","NY00557574","NY00557574_01","Magnoliophyta","Myrtales","3995","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123883' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","580007","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema","O.Berg","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1990","05","23","Brazil","Paraná","Tijucas do Sul","Ambrósios.","-49.1989","-25.9283",NA,NA,"900","900","NY00580007","NY00580007_01","Magnoliophyta","Myrtales","54113","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"10","2017-01-12 10:49:00-02","NY","NYBG","557573","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","platysema","Eugenia platysema",NA,"F. F. Mazine",NA,NA,NA,"R. Reitz","1958","04","17","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville","-48.8456","-26.3044",NA,NA,"650","650","NY00557573","NY00557573_01","Magnoliophyta","Myrtales","6670","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123882' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
