"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","individualCount","verbatimLongitude","verbatimLatitude"
"1","2016-09-29 20:22:00-03","NY","NYBG","685348","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides","B. B. Simpson","E. Pereira","8381","1964","01","15","South America","Brazil","Santa Catarina","Arção","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=891754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685348","NY00685348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 10:26:00-03","NY","NYBG","274291","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trixis","eryngioides","Trixis eryngioides",NA,"L. B. Smith","7777","1856","11","17","South America","Brazil","Santa Catarina","Fazenda Campo dos Padres, Campo dos Padres","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=291223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274291","NY00274291_01","isotype","Bom Retiro","-49.4892","-27.7972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:24:53-03","PUCPR","HUCP","20643","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Selusniaki, M","Selusniaki, M","2308","2009","04","18",NA,"Brasil","Paraná","Morro Caratuva",NA,NA,NA,NA,"HUCP00008613","HUCP00008613",NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465","(Cabrera.) Crisci & Martic.","55154","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:24:53-03","PUCPR","HUCP","19744","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Selusniaki, M","Selusniaki, M; Beltrami, L","1129","2006","03","15",NA,"Brasil","Paraná","Pico Paraná",NA,NA,NA,NA,"HUCP00008677","HUCP00008677",NA,"Antonina","-48.7118988037109","-25.4286003112793","(Cabrera.) Crisci & Martic.","38300","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:24:53-03","PUCPR","HUCP","6627","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Acra, LA","Basso, RL","034","1989",NA,NA,NA,"Brasil","Paraná","Pico Paraná",NA,NA,NA,NA,"HUCP00008733","HUCP00008733",NA,"Antonina","-48.7118988037109","-25.4286003112793","(Cabrera.) Crisci & Martic.","38300","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:24:53-03","PUCPR","HUCP","6628","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Acra, LA","Basso, RL","002","1989","07","29",NA,"Brasil","Paraná","Pico Paraná",NA,NA,NA,NA,"HUCP00008625","HUCP00008625",NA,"Antonina","-48.7118988037109","-25.4286003112793","(Cabrera.) Crisci & Martic.","38300","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:24:53-03","PUCPR","HUCP","20287","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Ariati, V","Selusniaki, M; Ariati, V; Michelon, C; Kersten, RA","2348","2008","08","30",NA,"Brasil","Paraná","Morro Caratuva",NA,NA,NA,NA,"HUCP00008729","HUCP00008729",NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465","(Cabrera.) Crisci & Martic.","55154","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:15:59-03","UFV","VIC","24048","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Esteves, R.L.","Garcia, F.C.P.; et al.","805","1999","12","01",NA,"Brasil","Minas Gerais","Parque Estadual Serra do Brigadeiro (PESB), Fazenda do Brigadeiro. Campo de altitude.",NA,NA,NA,"Erva, c.a. de 60 cm de altura. Capítulo alaranjado.","VIC024048","VIC024048",NA,"Araponga","-42.5208015441895","-20.6667003631592","(Cabrera) Crisci & Martic.","16385","auto","2004","07","21",NA,NA,NA,NA
"9","2020-12-21 16:16:52-03","MBM","MBM","70919","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides","Esteves, R.","Krapovickas, A.; Vanni, R.; Vanni, R.","36927","1980","11","25","Southern America","Brazil","Santa Catarina","Ca. 9km E de Bom Jardim da Serra",NA,NA,NA,NA,"MBM070919","MBM070919",NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596","(Cabrera) J.V. Crisci & C. Marticorena","32577","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:17:34-03","MBM","MBM","202704","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","eryngioides","Trixis eryngioides","Sobral, M.","Sobral, M.","5422","1987","03",NA,"Southern America","Brazil","Santa Catarina","Desfiladeiro do Funil",NA,NA,NA,NA,"MBM202704","MBM202704",NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596","Cabrera","32577","auto",NA,NA,NA,NA,NA,NA,NA
