"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","barcode","imagecode","continentOcean","coordinatePrecision","geoFlag","preparationType","individualCount","dayIdentified","order","typeStatus"
"1","2021-03-01 16:36:02-03","UNICAMP","UEC","133723","S","Plantae","Magnoliopsida","Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","Kawasaki","Matsumoto, K","Urbanetz, C; Mariuza; Domingos; Lelo","358","2004","02","09","Brazil","São Paulo","Cananéia","Fazenda Folha Larga, Trilha da vitória.","-47.916667","-24.883333","-47.916667","-24.883333","30","155","Arvoreta 2,5m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:20:54-03","UNICAMP","UEC","148802","S","Plantae","Magnoliopsida","Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","Kawasaki","Sobral, M","Aranha, BA","384","2007","01","12","Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J, 380-msm","-45.084167","-23.366389","-45.084167","-23.366389",NA,NA,NA,"2008","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:02-03","UNICAMP","UEC","178187","S","Plantae","Magnoliopsida","Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","Kawasaki","Meireles, LD","Gomes, JAMA; Virillo, CB","654","2009","01","03","Brazil","São Paulo","Ubatuba","Brasil; São Paulo; Município de Ubatuba; Fazenda Capricórnio, Parcela H (Parque Estadual da Serra do Mar, Núcleo Picinguaba); Floresta Ombrófila Densa Submontana.","-45.081944","-23.373611","-45.081944","-23.373611","207","207","2,5m alt., ramos escandentes, flores brancas, raque vermelha.; Floresta Ombrófila Densa Submontana.","2013",NA,"UEC107978","UEC107978",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:37:12-03","MBM","MBM","135127","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","fusiformis","Myrcia fusiformis","(M.L.Kawas.) A.R.Lourenço & E.Lucas","Aguiar, O.T.","Franco, G.A.D.C.; et al.; et al.","1101","1990","01","16","Brazil","São Paulo","Biritiba-Mirim","Estação Ecológica de Boracéia","-46.0299987792969","-23.5699996948242",NA,NA,NA,NA,NA,NA,NA,"MBM135127","MBM135127","Southern America","19656","auto",NA,NA,NA,NA,NA
"5","2010-02-13 22:45:00-02","MO","MOBOT","3469373","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L. Kawas.","M. L. Kawaski","A. Custodio Filho|Alwyn H. Gentry","Custodio Filho 4674","1987","2","4","Brazil","São Paulo",NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Transect 9.","-46","-23.58333",NA,NA,"870.00000000",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"6","2010-02-13 22:45:00-02","MO","MOBOT","3469378","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L. Kawas.","M. L. Kawasaki","A. Custodio Filho|Alwyn H. Gentry","Custodio Filho 4657","1987","2","4","Brazil","São Paulo",NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 8.","-46","-23.58333",NA,NA,"860.00000000",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-03 13:56:22-03","UFF","NIT","NIT10343","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","T. Fernandes","T. Fernandes","177","2018","04","26","Brasil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca. Mata do Pai Ricardo.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Arvoreta, 3 m. Frutos imaturos verdes.","2018",NA,"NIT00001577",NA,NA,"57442","auto",NA,NA,NA,NA,NA
"8","2021-03-03 13:56:22-03","UFF","NIT","NIT10294","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.",NA,"T. Fernandes","125","2017","07","15","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Floresta da Tijuca.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Arvoreta, 3 m. Ramificações vegetativas monopodiais. Frutos verdes, caliptra (cálice) persistente no hipanto.",NA,NA,"NIT00001528",NA,NA,"57442","auto",NA,NA,NA,NA,NA
"9","2020-09-02 16:33:44-03","Cenargen","CEN","19303","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","A. R. Lourenço","G. A. D. C. Franco","1101","1990","01","16","Brasil","SP","BIRITIBA-MIRIM","Estação Ecológica de Boracéia.","-46.0299987792969","-23.5699996948242",NA,NA,NA,NA,"Caule tortuoso, semelhante a um cipó.Doação do Herbário D. Bento Pickel - Instituto Florestal. São Paulo. SPSF (13386).","2013","12","CEN00019303","CEN00019303",NA,"19656","auto","Exsicatas","1",NA,NA,NA
"10","2021-03-15 18:28:56-03","USP","SPF","223490","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","Giaretta, A","Giaretta, A","1495","2015","02","09","Brasil","Rio de Janeiro","Guapimirim","Parque Estadual dos Três Picos, Núcleo Paraíso. Trecho do rio entre a represa e o Centro de Primatologia.","-42.913667","-22.496389","-42.913667","-22.496389",NA,NA,"Arbusto ca. 3 m alt. Hipanto creme. Amostra em sílica.; Floresta Ombrófila Densa.","2016","02","SPF00223490",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-23 11:38:56-03","IAC","IAC","50456","S","Plantae",NA,"Myrtaceae-2.Myrtoideae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","E. Ramos","J.A.M.A. Gomes & C.B. Virillo","653","2008","12","19","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.080223","-23.373498","-45.080223","-23.373498",NA,NA,"parcela G","2016","03",NA,NA,NA,NA,NA,NA,NA,"15",NA,NA
"12","2020-11-23 11:38:56-03","IAC","IAC","50461","S","Plantae",NA,"Myrtaceae-2.Myrtoideae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","E. Ramos","J.A.M.A. Gomes & C.B. Virillo","654","2009","01","03","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela H (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.081944","-23.373611","-45.081944","-23.373611",NA,NA,"coordenadas do material: 23°22#?#25S, 45°04#?#55W","2016","03",NA,NA,NA,NA,NA,NA,NA,"15",NA,NA
"13","2020-11-23 11:38:56-03","IAC","IAC","52841","S","Plantae",NA,"Myrtaceae-2.Myrtoideae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","M.E.G. Sobral","E. Ramos; M. Eltink; J.F. Benedito & S. Santos","s/nº","2009","11","08","Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Fazenda Capricórnio","-45.082318","-23.373776","-45.082318","-23.373776",NA,NA,"indivíduo presente na parcela H, subparcela 10, sem DAP para inclusão no projeto","2012","06",NA,NA,NA,NA,NA,NA,NA,"08",NA,NA
"14","2019-02-27 14:02:36-03","UFSJ","HUFSJ","6624","S","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.",NA,"Faria, JEQ; Lima, MEL","3035","2012","11","21","Brasil","São Paulo",NA,"Paranapiacaba, parcela H3 do Marcos Enoque, árvore 1885, Parque Natural Municipal Nascentes de Paranapiacaba","-46.283056","-23.769722","-46.283056","-23.769722",NA,NA,"árvore ca. 7 m de altura, caule rugoso castanho, botões florais verdes. (coletado material em sílica gel)",NA,NA,"HUFSJ006624",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-12 17:01:48-03","UEL","FUEL","39757","PreservedSpecimen","Plantae","Tracheophyta","Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","Sobral, M","Custódio Filho, A; Gentry, AH","4657","1987","02","04","Brasil","São Paulo","Boracéia","Between Moji das Cruzes and Biriba Mirim, crest of Serra do Mar.","-46","-23.583333","-46","-23.583333",NA,NA,NA,"2009","07","FUEL007505",NA,NA,NA,NA,NA,NA,"31","Myrtales",NA
"16","2019-11-01 15:05:07-03","UnB","UB","199098","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L. Kawas.","Faria, JEQ","Faria, JEQ; Lima, MEL","3035","2012","11","21","Brasil","São Paulo","Santo André","Paranapiacaba, parcela H3 do Marcos Enoque, árvore 1885, Parque Natural Municipal Nascentes de Paranapiacaba","-46.283056","-23.769722","-46.283056","-23.769722","954","954","árvore ca. 7 m de altura, caule rugoso castanho, botões florais verdes. (coletado material em sílica gel); Floresta ombrófila densa","2012","11",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-01 15:05:07-03","UnB","UB","196328","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L. Kawas.","Lourenço, AR","Lira Neto, JA; Bovini, MG","534","1996","07","21","Brasil","Rio de Janeiro","Mangaratiba","Reserva Ecológica do Rio das Pedras, coletada na trilha parao Cambucá","-44.040599822998","-22.9596996307373",NA,NA,NA,NA,"Arbusto com cerca de 3m de altura, com caule ligeiramente esfoliante com folhas semi-cartáceas e fortemente discolores. Os ramos da extremidade apresentam pelos ferrugíneos. Flores ainda em botão não vistosos, verde com pelo ferrugíneos, semi-umbrófi","2015","11",NA,NA,"Southern America","17272","auto",NA,NA,"05",NA,NA
"18","2019-10-03 10:04:06-03","UFSCar","SORO","4515","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L. Kawas.",NA,"Gomes, J.A.M.A.; Virillo, C.B.","653","2008","12","19","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque estadual serra do mar; Núcleo Picinguaba); Floresta Ombrófila densa submontana)","-45.0699996948242","-23.4300003051758","-45.080.223L","-23.373.498N",NA,NA,"Arboreta, 4m alt. Ramos escandentes, flores brancas, raque vermelha",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"19","2019-11-21 10:11:05-03","IBt","SP","426005","S","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","Martins, SE; Capistrano, TR","Shirasuna, RT; Gonçalez, VM; Silva, GO","705","2007","11","28","Brasil","São Paulo","Mauá","Lote 1 Rodoanel Mário Covas, Trecho Sul","-46.4599990844727","-23.6599998474121",NA,NA,NA,NA,NA,"2009","05",NA,NA,NA,"8925","auto",NA,NA,"29",NA,NA
"20","2019-11-21 10:11:05-03","IBt","SP","413154","S","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","Martins, SE; Capistrano, TR","Shirasuna, RT; Morse, F; Rodrigues, RS","2054","2009","01","26","Brasil","São Paulo","Mauá","Lote 1 Rodoanel Mário Covas, Trecho Sul","-46.4599990844727","-23.6599998474121",NA,NA,NA,NA,NA,"2009","05",NA,NA,NA,"8925","auto",NA,NA,"29",NA,NA
"21","2019-11-21 10:11:05-03","IBt","SP","314163","S","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","Kawasaki, ML","Wilms, W","424","1993","12","20","Brasil","São Paulo","Salesópolis","Estação Biológica de Boracéia, Mata","-45.8400001525879","-23.5300006866455",NA,NA,"800","900","Árvore 2-3 m alt. Flores brancas","1996",NA,"SP001310","SP001310",NA,"18032","auto",NA,NA,NA,NA,"Holotype"
"22","2019-11-21 10:11:05-03","IBt","SP","314162","S","Plantae",NA,"Myrtaceae","Calyptranthes","fusiformis","Calyptranthes fusiformis","M.L.Kawas.","Kawasaki, ML","Simão Bianchini, R; et al.","536","1994","09","07","Brasil","São Paulo","Salesópolis","Estação Biológica de Boracéia, Próximo à represa do rio Claro","-45.8400001525879","-23.5300006866455",NA,NA,NA,NA,NA,"1996",NA,"SP056269","SP056269",NA,"18032","auto",NA,NA,NA,NA,NA
