"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","occurrenceRemarks","fieldNumber","preparationType","class","order","individualCount"
"1","2019-02-15 11:44:35-02","IPA","IPA","29383","S","Plantae","Plantae","Lycopodiaceae","Lycopodium","regnellii","Lycopodium regnellii","Maxon","Leão Barros, I.C.","1985","Andrade-Lima","72-7166","1972","12","28","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","Sítio Cafundó","-36.0442008972168","-7.90305995941162","25558","IPA0029383","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-20 14:17:40-03","UFOPA","HSTM","6099","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B.Øllg.","Almeida, T.E.; Field, A.R.","2016","Almeida, T.E.; Field, A.R.","4290","2016","06","05",NA,"Brasil","Minas Gerais","Caldas","Serra de Caldas, Pedra Branca. Vegetação rupestre em afloramento rochoso.","-46.371111","-21.978056",NA,"HSTM006099",NA,"06","05","46º22'16''W","21º58'41''S","1802","1802","HSTM006099",NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:50:29-03","UFJF","CESJ","51427","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B. Øllg. & P.G. Windisch","D.S. Gissi","2015","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena","157","2008","06","28","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedra Branca","-46.386100769043","-21.9235992431641","25710","CESJ051427","auto","11",NA,NA,NA,NA,NA,"CESJ051427","Saxícola, local ensolarado.",NA,NA,NA,NA,NA
"4","2019-11-21 14:50:29-03","UFJF","CESJ","51912","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B. Øllg. & P.G. Windisch","D.S. Gissi","2015","F.S. Souza; A.S.M. Valente; T.M. Machado","555","2008","09","13","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca.","-46.386100769043","-21.9235992431641","25710","CESJ051912","auto","11",NA,NA,NA,NA,NA,"CESJ051912","Rupícola no campo.",NA,NA,NA,NA,NA
"5","2019-11-21 14:50:29-03","UFJF","CESJ","52693","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B. Øllg. & P.G. Windisch","D.S. Gissi","2015","M.G. Rezende; A.S.M. Valente; F.S. Souza","342","2009","01","23","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedreira Califórnia Brown&nf;Fuso 23 K 0357748 E 7571631 N","-46.386100769043","-21.9235992431641","25710","CESJ052693","auto","11",NA,NA,NA,NA,NA,"CESJ052693","Saxícola na Frente 3.",NA,NA,NA,NA,NA
"6","2019-11-21 14:50:29-03","UFJF","CESJ","52551","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B. Øllg. & P.G. Windisch","D.S. Gissi","2015","M.G. Rezende; R.C.L. Elias","276","2008","12","06","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca.","-46.386100769043","-21.9235992431641","25710","CESJ052551","auto","11",NA,NA,NA,NA,NA,"CESJ052551","Saxícola em campo de altitude.",NA,NA,NA,NA,NA
"7","2019-11-21 14:50:29-03","UFJF","CESJ","51902","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B. Øllg. & P.G. Windisch","D.S. Gissi","2015","F.S. Souza; A.S.M. Valente; T.M. Machado","545","2008","09","13","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca.","-46.386100769043","-21.9235992431641","25710","CESJ051902","auto","11",NA,NA,NA,NA,NA,"CESJ051902","Rupícola no campo de altitude.",NA,NA,NA,NA,NA
"8","2015-09-03 16:07:34-03","MNHN","RECOLNAT_MNHN_P","P01228536","PreservedSpecimen",NA,NA,"Pteridophyta","Phlegmariurus","regnellii","Phlegmariurus regnellii","(Maxon) B.Øllg.",NA,NA,"Mosén",NA,"1876","2","20",NA,"Brasil","Minas Gerais",NA,"Brésil, Serra de Caldas.",NA,NA,NA,"P01228536",NA,NA,NA,NA,NA,"1000",NA,"P01228536_01","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01228536' target='other'> <mi>dwc_moreinfo</mi></a>","4654","hb",NA,NA,NA
"9","2021-03-01 11:48:39-03","UFPE","UFP","72190","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","regnellii","Huperzia regnellii","(Maxon) B. Ollog. & P.G.Windsch","Souza, FS","2009","Souza, FS; Valente, A","555","2008","09","13",NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641","25710","UFP072190","auto","08",NA,NA,NA,NA,NA,NA,"CESJ 51912.; Rúpicola no campo.",NA,NA,NA,NA,NA
"10","2021-03-01 11:48:39-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","regnellii","Huperzia regnellii","(Maxon) B. Ollog. & P.G.Windsch","Souza, FS","2009","Souza, FS; Valente, A","555","2008","09","13",NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641","25710",NA,"auto","08",NA,NA,NA,NA,NA,NA,"CESJ 51912.; Rúpicola no campo.",NA,NA,NA,NA,NA
