"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2021-04-08 15:16:31-03","UNESC","CRI","8565","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Citadini-Zanette, V.","2006","06","01","Klein, A. S","2006","06","01","Brasil","Santa Catarina","Urussanga","Rio Carvão Alto","-49.3175","-28.522778","49º19'3''W","28º31'22''S","300","300","Habito: epífito","CRI013697","CRI013697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","7564","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Telma Elyta V. Azeredo","2007","02","21","T. E. V. Azeredo","2007","02","21","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74","Habitat: mata subida de morro","CRI001855","CRI001855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","7562","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Telma Elyta V. Azeredo","2006","10","27","Telma Elyta V. Azeredo","2006","10","26","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habitat: mata de subida de morro","CRI001854","CRI001854","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:06-03","UNESC","CRI","2627","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","R. Reitz",NA,NA,NA,"R. Reitz","1974","01","28","Brasil",NA,"-","Pico alto, Serra do Baturité - CE.","-38.9","-4.233056","38º54'0''W","4º13'59''S",NA,NA,"Habito: epífita","CRI001852","CRI001852","7559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:06-03","UNESC","CRI","10680","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren",NA,NA,NA,NA,"Alecsandro S. Klein; Elísio A. O.","2002","08","07","Brasil","Santa Catarina","Nova Veneza","Barragem.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","164","164","Habito: epífita","CRI001713","CRI001713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:06-03","UNESC","CRI","7563","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habitat: mata de subida de morro","CRI001853","CRI001853","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","8111","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Telma Elyta V. Azeredo","2009","01","26","Telma Elyta V. Azeredo","2009","01","26","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta Ombrófila Densa de Terras Baixas","CRI001851","CRI001851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:22-03","UNESC","CRI","12735","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Peterson T. Padilha & Renato Colares","2017","09","18","Alexandre Medeiros","2017","06","13","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"Coleta 478. Flor amarela. Habito: Epífita","CRI010949","CRI010949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:06-03","UNESC","CRI","12364","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Peterson T. Padilha","2017","06","08","Alexandre Medeiros","2017","05","02","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 259. Habito: Epífita","CRI010571",NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:06-03","UNESC","CRI","12626","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","rodigasiana","Vriesea rodigasiana","E.Morren","Peterson T. Padilha","2017","09","18","Alexandre Medeiros","2017","06","13","Brasil","Santa Catarina","Balneário Camboriú","Praia das Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Flor amarela. Coleta 458. Habito: Epífita","CRI010840",NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
