"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","251759","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.","isotype","L. Emidio","80","1942","09","11","South America","Brazil","Rio de Janeiro, Fazenda du Boa Fe, Terezopolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251759","NY00251759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-05-17 10:21:00-03","NY","NYBG","02610091","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","scutifolium","Piper scutifolium",NA,NA,"R. Engelmann","RE1653","2011","04","08","South America","Brazil","Trilha entre o Paraíso e o Jacarandá (Teresópolis). Parque Estadual dos Três Picos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916889' target='other'> <mi>dwc_moreinfo</mi></a>","NY02610091","NY02610091_01","Rio de Janeiro","Guapimirim","-42.928889","-22.456667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686201","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.",NA,"R. de Mello-Silva","848","1993","05","14","South America","Brazil","Parque Estadual do Desengano, Fazenda do Mocotó (Imbé)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686201","NY00686201_01","Rio de Janeiro","Campos",NA,NA,"M. Carvalho-Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:18:13-03","ESALQ","ESA","12626","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Piperaceae","Piper","scutifolium","Piper scutifolium",NA,NA,"Campos, M.T.V.A. et al.","154.0","1991","04","20",NA,"Brasil",NA,NA,NA,"ESA012626",NA,"São Paulo","Ilhabela","-45.3499984741211","-23.7700004577637","Colletta, G.D.","2008","23719","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:13-03","ESALQ","ESA","72642","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Piperaceae","Piper","scutifolium","Piper scutifolium",NA,NA,"Souza, J.P. et al.","3306.0","2000","04","19",NA,"Brasil",NA,NA,NA,"ESA072642","ESA072642","São Paulo","São Sebastião","-45.4099998474121","-23.7600002288818",NA,NA,"41977","auto",NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:22:58-03","UNICAMP","UEC","148795","S","Plantae","Magnoliopsida",NA,"Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.",NA,"Aranha, BA","351","2007","01","08",NA,"Brazil","Fazenda Capricórnio, Parcela J",NA,NA,"UEC150024","UEC150024","São Paulo","Ubatuba","-45.084167","-23.366389","Guimarães, EF","2008",NA,NA,"10","-45.084167","-23.366389","380","380",NA
"7","2021-03-01 16:37:58-03","UNICAMP","UEC","160927","S","Plantae","Magnoliopsida",NA,"Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.",NA,"Cavalin, PO","39","2009","11","12",NA,"Brazil","Fazenda Capricórnio",NA,"Sub-bosque Floresta Ombrófila Densa.","UEC039354","UEC039354","São Paulo","Ubatuba","-45.092778","-23.396667","Cavalin, PO","2010",NA,NA,"06","-45.092778","-23.396667","348","395",NA
"8","2021-03-01 16:37:58-03","UNICAMP","UEC","67481","S","Plantae","Magnoliopsida",NA,"Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.",NA,"Ponte, ACE; et al.","29168","1993","11","11",NA,"Brazil","Núcleo de Picinguaba, Morro do Puruba.",NA,"Arbusto ca. 2,0 m altura.","UEC150023","UEC150023","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-15 18:29:26-03","USP","SPF","209173","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.",NA,"Kato, MJ; Tepe, EJ","1973","2014","03","28",NA,"Brasil","Parque Nacional do Itatiaia",NA,"Arbusto perfilhado, ca. 0,3 -1,2 m alt. Espigas eretas, verdes.; Mata Atlântica","SPF00209173","SPF00209173","Rio de Janeiro","Itatiaia","-44.8375","-23.338056","Tepe, EJ","2014",NA,NA,"03","-44.8375","-23.338056","50","50","26"
"10","2019-11-13 11:28:28-03","USP","SPF","85968","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","scutifolium","Piper scutifolium","Yunck.",NA,"Mello-Silva, R","848","1993","05","14",NA,"Brasil","Parque Estadual do Desengano",NA,NA,"SPF00085968","SPF00085968","Rio de Janeiro","Campos dos Goytacazes","-41.3244018554688","-21.7541999816895","Melo, A","2018","62761","auto","10",NA,NA,NA,NA,NA
