"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2020-09-23 10:39:26-03","E","E","62346","PreservedSpecimen","Plantae","Gesneriaceae","Goyazia","villosa","Goyazia villosa","isotype","Gardner, George","3875","E. Tropical South America","BR","[Near the summit of the Serra de Natividade, in the north of the Province of] Goyaz.","herbarium specimen of unspecif","BGBASE:102052","<a href=http://data.rbge.org.uk/herb/E00062346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:26-03","E","E","62347","PreservedSpecimen","Plantae","Gesneriaceae","Goyazia","villosa","Goyazia villosa","isotype","Gardner, George","3875","E. Tropical South America","BR","[Near the summit of the Serra de Natividade, in the north of the] Province of Goyaz.","herbarium specimen of unspecif","BGBASE:102053","<a href=http://data.rbge.org.uk/herb/E00062347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","822421","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"J. G. Jardim","3945","South America","Brazil","Fazenda Alcoprado. Estrada para o Distrito de Santo Antonio ca. 17 km da sede municipal ca. 12 km da entrada.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822421","Magnoliophyta","Lamiales","Lindl.","A. Chautems","2001","10","31","Bahia","Teixeira de Freitas","-39.6744","-17.2814","120","120","NY00822421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:17:56-03","UFV","VIC","32253","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Rossini, J.; Rossini, L.C.","687",NA,"Brasil","Lombardia, Alto santo Antônio propriedade do Sr Furlani.",NA,NA,NA,"VIC032253",NA,NA,"Lindl.","Rossini, J.","2009","02","06","Espirito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,"2009","02","23813","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:17:56-03","UFV","VIC","32254","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Rossini, J.; Rossini, L.C.","688",NA,"Brasil","Mata fria, propriedade Odete Batisti.",NA,NA,NA,"VIC032254",NA,NA,"Lindl.","Rossini, J.","2009","02","13","Espirito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,"2009","02","23813","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-05-29 09:56:41-03","UFES","VIES","29146","S","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Assis, A.M.; Cribari, R.S.","2680",NA,"Brasil","Mestre Álvaro - vertente sudeste. Próximo a FURNAS. Acesso pelo Bairro Jardim Tropical.",NA,NA,NA,"VIES029146",NA,NA,"Lindl.","A. Chautems","2011","04","13","Espírito Santo","Serra","-40.301667","-20.180278","295","295","VIES029146","2020","05",NA,NA,"01","40º18'6''W","20º10'49''S",NA,NA,NA,NA
"7","2020-12-21 16:29:12-03","MBM","MBM","139748","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Santos, T.S. dos","1632","Southern America","Brazil","Rod. BR-101",NA,NA,NA,"MBM139748",NA,NA,"Lindl.","Chautems, A.",NA,NA,NA,"Bahia","Teixeira de Freitas","-39.7419013977051","-17.5349998474121",NA,NA,"MBM139748",NA,NA,"44841","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:29:12-03","MBM","MBM","238446","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Kollmann, L.; et al.; et al.","2654","Southern America","Brazil","São João de Petrópolis",NA,NA,NA,"MBM238446",NA,NA,"Lindl.",NA,NA,NA,NA,"Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"MBM238446",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"9","2015-09-20 00:28:17-03","MNHN","RECOLNAT_MNHN_P","P00587409","PreservedSpecimen",NA,"Gesneriaceae","Goyazia","villosa","Goyazia villosa",NA,"Gardner, G.",NA,NA,"Brésil","province de Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587409' target='other'> <mi>dwc_moreinfo</mi></a>","P00587409",NA,NA,"(Gardner) R.A.Howard","Middleton","1841",NA,NA,NA,NA,NA,NA,NA,NA,"P00587409_01",NA,NA,NA,NA,NA,NA,NA,"3875",NA,NA,NA
"10","2015-09-19 13:26:49-03","MNHN","RECOLNAT_MNHN_P","P00587410","PreservedSpecimen",NA,"Gesneriaceae","Goyazia","villosa","Goyazia villosa",NA,"Gardner, G.",NA,NA,"Brésil","province de Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587410' target='other'> <mi>dwc_moreinfo</mi></a>","P00587410",NA,NA,"(Gardner) R.A.Howard","Middleton","1841",NA,NA,NA,NA,NA,NA,NA,NA,"P00587410_01",NA,NA,NA,NA,NA,NA,NA,"3875",NA,NA,NA
