"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","fieldNumber","preparationType","imagecode"
"1","2019-11-21 14:50:04-03","UFJF","CESJ","54050","PreservedSpecimen","Plantae","Hepática","Lejeuneaceae","Drepanolejeunea","aculeata","Drepanolejeunea aculeata","Bischl.","E.T. Amorim","2012","E.T. Amorim; L.M. Rocha","107","2008","08","31","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Canion","-43.8278007507324","-22.0891990661621","20815","CESJ054050","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:50:04-03","UFJF","CESJ","54054","PreservedSpecimen","Plantae","Hepática","Lejeuneaceae","Drepanolejeunea","aculeata","Drepanolejeunea aculeata","Bischl.","E.T. Amorim","2012","E.T. Amorim","111","2008","12","13","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da ?gua","-43.8278007507324","-22.0891990661621","20815","CESJ054054","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-05-02 10:53:57-03","IBt","SP-BRYOPHYTA","223261","S","Plantae",NA,"Lejeuneaceae","Drepanolejeunea","aculeata","Drepanolejeunea aculeata","Bischl.","Peralta, D.F.","2016","Giancotti, C.","65","1986","12","17","Southern America","BRASIL","São Paulo","Campos do Jordão","Bairro Jaguaribe","-45.3523","-22.4348",NA,"SP092583",NA,"04","-45.3523","-22.4348","2000","2000","Epífilas ao lado da trilha do outro lado da montanha",NA,NA,NA,NA
"4","2015-09-29 21:46:06-03","MNHN","RECOLNAT_MNHN_PC","PC0103352","PreservedSpecimen",NA,NA,"Lejeuneaceae","Drepanolejeunea","aculeata","Drepanolejeunea aculeata","Bischl.","Costa",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"PC0103352",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0103352' target='other'> <mi>dwc_moreinfo</mi></a>","holotype","18018","hb","PC0103352_01 PC0103352_02"
"5","2015-09-30 05:06:09-03","MNHN","RECOLNAT_MNHN_PC","PC0103353","PreservedSpecimen",NA,NA,"Lejeuneaceae","Drepanolejeunea","aculeata","Drepanolejeunea aculeata","Bischl.","Costa",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"PC0103353",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0103353' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","18018","hb","PC0103353_01 PC0103353_02"
"6","2018-09-04 10:33:57-03","MNHN","RECOLNAT_MNHN_PC","PC0741671","PreservedSpecimen",NA,NA,"Lejeuneaceae","Drepanolejeunea","aculeata","Drepanolejeunea aculeata","Bischl.","Costa",NA,"Glaziou, A.",NA,"1889","4","14",NA,"Brésil",NA,NA,"Alto Macahé",NA,NA,NA,"PC0741671",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0741671' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","18018","hb","PC0741671_01 PC0741671_02 PC0741671_03 PC0741671_04 PC0741671_05 PC0741671_06 PC0741671_07 PC0741671_08 PC0741671_09 PC0741671_10 PC0741671_11 PC0741671_12 PC0741671_13 PC0741671_14 PC0741671_15 PC0741671_16 PC0741671_17 PC0741671_18 PC0741671_19 PC0741671_20"
