"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","locality","individualCount","yearIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","825","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","parasiticum","Anthurium parasiticum","(Vell.) Stellfeld","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","868","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","parasiticum","Anthurium parasiticum","(Vell.) Stellfeld","254","Eduardo G. Gonçalves","Eduardo G. Gonçalves;","EGG293","Brasil","Rio de Janeiro","Ilha Grande","Vila do Abraão","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","2540","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","parasiticum","Anthurium parasiticum","(Vell.) Stellfeld","254","Eduardo G. Gonçalves","Eduardo G. Gonçalves;",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Ilha Grande","1","2011","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","495265","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","olfersianum","Anthurium olfersianum","Kunth","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471400' target='other'> <mi>dwc_moreinfo</mi></a>","T. B. Croat","F. Segadas-Vianna","restinga-1á1015","Brazil","Rio de Janeiro","Cabo Frio","Arraial do Cabo, Pontal beach",NA,NA,"-42.0317","-22.9467",NA,NA,"1953","07","11","South America","sheet","NY00495265","NY00495265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","495266","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","olfersianum","Anthurium olfersianum","Kunth","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471402' target='other'> <mi>dwc_moreinfo</mi></a>","S. J. Mayo","J. A. Kallunki","329","Brazil","Espírito Santo","Piúma","Roadside at base of Morro do Agá, ca. 5 km S of Piuma on Rod. ES-60",NA,NA,"-40.77","-20.87",NA,NA,"1993","01","18","South America","sheet","NY00495266","NY00495266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","495267","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","olfersianum","Anthurium olfersianum","Kunth","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471399' target='other'> <mi>dwc_moreinfo</mi></a>","T. B. Croat","W. W. Thomas","6128","Brazil","Espírito Santo","Guarapari","6 km N of Guarapari",NA,NA,"-40.48","-20.62",NA,NA,"1988","02","24","South America","sheet","NY00495267","NY00495267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885869","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","olfersianum","Anthurium olfersianum vellozianum","(Schott) Engl.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008924' target='other'> <mi>dwc_moreinfo</mi></a>","M. A. Nadruz Coelho","J. M. A. Braga","5771","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Pedra da Gávea, trilha tradicional de acesso ao cume pela Barra da Tijuca.",NA,NA,"-43.2075","-22.9031",NA,NA,"2000","01","29","South America","sheet","NY00885869","NY00885869_01","vellozianum","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","885869","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","olfersianum","Anthurium olfersianum vellozianum","(Schott) Engl.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008924' target='other'> <mi>dwc_moreinfo</mi></a>","M. A. Nadruz Coelho","J. M. A. Braga","5771","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Pedra da Gávea, trilha tradicional de acesso ao cume pela Barra da Tijuca.",NA,NA,"-43.2075","-22.9031",NA,NA,"2000","01","29","South America","sheet","NY00885869","NY00885869_01","vellozianum","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01805821","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","parasiticum","Anthurium parasiticum","(Vell.) Stellfeld","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123239' target='other'> <mi>dwc_moreinfo</mi></a>","M. A. Nadruz Coelho","A. M. Amorim","6911","Brazil","Bahia","Itamarajú","Serra de Itamaraju. Morro Pescoço. Aproximadamente 15 km da entrada da cidade",NA,NA,"-39.6031","-16.9906",NA,NA,"2007","02","11","South America","sheet","NY01805821","NY01805821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","495295","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","saxosum","Anthurium saxosum","K.Krause","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500353' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L. B. Smith","6483","Brazil","Rio de Janeiro","Petrópolis","Old road up the Serra to Petropolis",NA,NA,"-43.1783","-22.505",NA,NA,"1952","04","10","South America","sheet","NY00495295","NY00495295_01",NA,"500","700",NA,NA,NA,NA,NA,NA,NA,NA,NA
