"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","dayIdentified","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","476634","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C. Bitencourt","J. R. Pirani","H51493","1992","02","02","South America","Brazil","Bahia","Abaíra","Base da encosta da Serra da Tromba","-41.8","-13.28","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476634","NY00476634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476636","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C. Bitencourt","B. L. Stannard","H51784","1992","03","08","South America","Brazil","Bahia","Abaíra","Guarda Mor, perto do Morro do Cuscuz","-41.66","-13.25","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476636","NY00476636_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476635","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C. Bitencourt","B. L. Stannard","H52744","1992","03","21","South America","Brazil","Bahia","Abaíra","Campo da Mutuca","-41.83","-13.37","1400","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476635","NY00476635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476633","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C. Bitencourt","W. Ganev","2828","1994","01","20","South America","Brazil","Bahia","Abaíra","Serra do Sumbaré-Guarda Mor","-41.85","-13.3","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476633","NY00476633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","572259","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C. Bitencourt","B. L. Stannard","H51058","1992","07","02","South America","Brazil","Bahia","Abaíra","Serra Agua Branca","-41.95","-13.18","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572259","NY00572259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:08:51-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi",NA,"Harley, RM","Roque, N; Bautista, HP; Hind, DJN; Harley, RM","PCD&nf;4503","1996","11","19","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra do Tombador","-41","-13","1100","1100",NA,"0,30 m.; Transição Caatinga - Campo Rupestre",NA,NA,"1996","11","-41","-13",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:08:51-03","UFBA","ALCB","33241","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi",NA,"Guedes, ML","Stannard, B; Atkins, S; Saar, E; Passos Júnior, LA; Guedes, ML","PCD4817","1997","02","01","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Caminho para a Cachoeira do Fraga","-41.819722","-13.595556","1000","1000",NA,"0,60 m. Folhas crassas. Botões esverdeados; flores senescentes com pétalas creme, face inferior vinho. Ocasional.",NA,NA,"1997","05","-41.819722","-13.595556",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:08:51-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi",NA,NA,"Hind, DJN; Bautista, HP; Harley, RM; Smith, S","PCD&nf;3748","1996","07","17","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Próximo a Cascavel, estrada Mucugê-Cascavel","-41","-13","1055","1055",NA,"ramos volúveis.; Afloramento rochoso de arenito e areia branca.",NA,NA,NA,NA,"-41","-13",NA,NA,NA,NA,NA,NA,NA
"9","2021-01-15 14:41:35-03","MN","R","196713","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, D.","Stannard, B. 51784; Ganev, W. & Queiroz, R.F.","H -","1992","03","08",NA,"Brasil","Bahia",NA,NA,NA,NA,"1300","1300",NA,NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:12:23-03","MBM","MBM","90832","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete",NA,"Hatschbach, G.","47516","1986","12","11","Southern America","Brazil","Bahia","Mucugê","Mucugê, 1km S do Córrego Mucugê","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"MBM090832",NA,NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"11","2020-12-21 16:12:23-03","MBM","MBM","230244","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, D.J.","Stannard, B.; et al.; et al.","H51058","1992","02","07","Southern America","Brazil","Bahia","Abaíra","Serra Água Branca","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"MBM230244",NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:12:23-03","MBM","MBM","230243","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, D.J.","Pirani, J.R.; et al.; et al.","H51493","1992","02","02","Southern America","Brazil","Bahia","Abaíra","Serra da Tromba","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"MBM230243",NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA
