"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","individualCount","relatedCatalogItem"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3290","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Izabella Martins da Costa","2014","01","12","Izabella Martins da Costa;","2014","01","12","Brasil","Minas Gerais","Simonésia","Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2761","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Bruno Falcão","2013","09",NA,"Bruno Falcão;","2013","09",NA,"Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1184708","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Athenaea","cuspidata","Athenaea cuspidata","Witasek","G. E. Barboza; A. T. Hunziker",NA,NA,NA,"J. Mattos","1966","05","24","Brazil","São Paulo","Caraguatatuba","Reserva Florestal","-45.41","-23.62",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1475547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13740","South America","sheet","NY01184708","NY01184708_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00962444","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C. Rodrigues & Stehmann","I. M. C. Rodrigues",NA,NA,NA,"R. C. Amâncio Pagni Gelli","1980","09","26","Brazil","São Paulo",NA,"Estrada entre a praia de Una e a praia do Guarau, ao sul de Peruíbe.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085284' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"32","South America","sheet","NY00962444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1184677","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C. Rodrigues & Stehmann","I. M. C. Rodrigues",NA,NA,NA,"G. G. Hatschbach","1982","07","21","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262.","-41.4131","-20.4644",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1474613' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"45171","South America","sheet","NY01184677",NA,"1100","1100",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1184676","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C. Rodrigues & Stehmann","I. M. C. Rodrigues",NA,NA,NA,"G. G. Hatschbach","1982","07","21","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262.","-41.4131","-20.4644",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1474610' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"45171","South America","sheet","NY01184676",NA,"1100","1100",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1184634","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C. Rodrigues & Stehmann","I. M. C. Rodrigues",NA,NA,NA,"J. G. Bartolomeu","1951","07","17","Brazil","São Paulo",NA,"Próximo a Registro. Sítio N. S. da Vitória.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1474187' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet","NY01184634",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:45:37-02","BM","SOLANACEAE_SOURCE_BR","69279","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Athenaea","cuspidata","Athenaea cuspidata","Witasek","Rodrigues, I.M.C.","2012","01","01","Webster, G.L.; Kirizawa, M.; Lopes, E.","1986","10","07","Brazil","São Paulo","Santo André","Reserva biológica de Paranapiacaba","-46.333333","-23.783333",NA,"Scarcely woody herb or shrub 1.5-2.5 m high; corolla white with dark bluish-purple bands.; Lower montane rain forest with cloud forest on upper ridges.",NA,"25509","Southern America",NA,NA,NA,"700","850","Dicotyledoneae","-46.333333","-23.783333","5311817",NA,NA
"9","2015-02-10 11:45:37-02","BM","SOLANACEAE_SOURCE_BR","69507","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Athenaea","cuspidata","Athenaea cuspidata","Witasek","Rodrigues, I.M.C.","2012","01","01","Loefgren, A.","1909","03","12","Brazil",NA,NA,"Porto. S. José dos Campos.",NA,NA,NA,"Arbusto molle, fl. albas.",NA,"276","Southern America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"12-8261",NA,NA
"10","2015-02-10 11:45:37-02","BM","SOLANACEAE_SOURCE_BR","96269","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Athenaea","cuspidata","Athenaea cuspidata","Witasek","Rodrigues, I.M.C.","2013","01","01","Giacomin, L.L.; Machado, T.M.; Souza, F.S.","2011","02","10","Brazil","Espírito Santo","Divino de São Lourenço","Parque Nacional do Caparaó, trilha para Pedra Escorada","-41.762222","-20.555556",NA,"arbusto ereto; pétalas alvas com mancha marron na face adaxial, estames cinzentos; folhas muito pegajosas; em florest secondaria aberta",NA,"1249","Southern America",NA,"BM001120404",NA,"1066","1066","Dicotyledoneae","-41.762222","-20.555556",NA,NA,NA
