"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","continentOcean","typeStatus"
"1","2019-10-07 09:21:14-03","UEFS","HUEFS","205487","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Poales","Eriocaulaceae","Leiothrix","linearis","Leiothrix linearis","Silveira","Munhoz, C.B.R.","7329","2010","05","06","Brasil","Minas Gerais","Diamantina","Inhaí.Borda do rio Inhacica.","-43.617778","-17.779444","43W37'4''","17S46'46''","Cerrado rupestre.","HUEFS0205487","HUEFS0205487",NA,NA,NA,NA
"2","2019-10-07 09:21:14-03","UEFS","HUEFS","79196","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Poales","Eriocaulaceae","Leiothrix","linearis","Leiothrix linearis","Silveira","Coelho, F.F.","9","2003","05","29","Brasil","Minas Gerais","Serra do Cipó","Solo arenoso.",NA,NA,NA,NA,NA,"HUEFS0079196","HUEFS0079196",NA,NA,NA,NA
"3","2019-11-01 15:14:49-03","UnB","UB","163345","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Eriocaulaceae","Leiothrix","linearis","Leiothrix linearis","Silveira","Munhoz, CBR; Emmert, P; Mello, TRB","7329","2010","05","06","Brasil","Minas Gerais","Diamantina","Inhaí. Borda do rio Inhacica","-43.617778","-17.779444","-43.617778","-17.779444","Erva, 0,1m; Cerrado rupestre","UB0013146","UB0013146","Trovó, MLO","2010","Southern America",NA
"4","2021-03-08 15:43:54-03","MN","R-TIPOS","127095","PreservedSpecimen","Plantae",NA,NA,NA,"Eriocaulaceae","Leiothrix","linearis","Leiothrix linearis","Silveira","Silveira, A.A.","HS - 544","1909","04",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"R000127095","R000127095_001",NA,NA,NA,"Holotypus"
"5","2021-02-08 12:51:48-03","UFRGS","ICN","138828","S","Plantae","Monocotyledon",NA,NA,"Eriocaulaceae","Leiothrix","cf. linearis","Leiothrix cf. linearis","Silveira","Hagelund, K","6359","1972","07","24","Brasil","MG",NA,"Curvelo 86 km para Diamantina",NA,NA,NA,NA,"Doação Karner Hagelund","ICN00044244",NA,"Giulietti, AM",NA,"América do Sul",NA
