"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","1462152","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","D. C. Zappi","P. Fiaschi","1640","2003","10","02","South America","Brazil","Bahia","Almadina","Ca. 4 km da estrada Almadina-Coaraci. Fazenda São José. Serra do Corcovado","-39.6","-14.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462152","NY01462152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1262338","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","D. C. Zappi","M. M. M. Lopes","518","2006","02","15","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça - Serra das Lontras. Estrada Arataca - Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio RPPN Caminho das Pedras","-39.3417","-15.1736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536273' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262338","NY01262338_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","799184","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.",NA,"W. W. Thomas","12179","2000","09","28","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú, trail to summit of Serra do Condurú.","-39.1057333","-14.48005","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799184","NY00799184_01","210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1280735","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","D. C. Zappi","E. J. Lucas","671","2006","11","24","South America","Brazil","Minas Gerais","Faria Lemos","Fazenda Fortaleza","-42.11936","-20.51883","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280735","NY01280735_01","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","813721","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","P. C. Standley","Y. E. J. Mexia","5305","1930","11","14","South America","Brazil","Minas Gerais",NA,"Districto Rio Branco. Retiro de Antonio Avelino",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813721","NY00813721_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01405137","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","C. P. Bruniera","J. A. Kallunki","729","1995","04","23","South America","Brazil","Espírito Santo","Guaçuí","Fazenda Oliveira, ca. 20 km S of Guaçuí on BR-484, road to Sao José do Calçado.","-41.6794013977051","-20.7756004333496","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412054' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405137","NY01405137_01",NA,NA,"17884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:26-03","UFRJ","RFA","37601","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","A. M. Paiva","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga; V. S. Ferreira","950","2011","10","23",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares; Zona de Vida Silvestre; Alameda Palmares, próxima à nascente","-43.3825","-22.444167",NA,"Arbusto 70 cm; folha coriácea, inflorescência terminal em umbela, cálice verde claro, corola branca","RFA53204",NA,NA,NA,NA,NA,"2011","10","24","43º22'57''W","22º26'39''S",NA,NA,NA,NA,NA
"8","2020-06-29 11:32:26-03","UFRJ","RFA","38020","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","A. M. Paiva","A. M. Paiva; M. S. Wängler; G. F. Mazzoni; V. S. Ferreira","506","2010","09","27",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Ari","-43.406389","-22.445556",NA,"Arbusto 2 m de altura, folha oposta, estípula triangular, flores brancas, cornícula verde","RFA53205",NA,NA,NA,NA,NA,"2012","04","02","43º24'23''W","22º26'44''S",NA,NA,NA,NA,NA
"9","2020-06-29 11:32:26-03","UFRJ","RFA","38045","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.","A. M. Paiva","A. M. Paiva; R. C. Lopes","153","2010","07","18",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Alameda Fluminense e Alameda Carioca","-43.4185981750488","-22.4286003112793",NA,"Arbusto 2 m de altura, folhas opostas, folha discolor, estípula interpeciolar, frutos no ápice","RFA53206",NA,NA,NA,"18359","auto","2012","04","02",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:28:05-03","NBC","NL-BOTANY","U.1580591","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Rudgea","nodosa","Rudgea nodosa","(Cham.) Benth.",NA,"Mexia YEJ",NA,"1930","11","14","Southern America","Brazil",NA,NA,"State of Minas Geraes. Districto Rio Branco. Retiro de Antonio Avelino.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1580591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1580591","NL-U1580591",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
