"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","810033","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","longepetiolata","Gustavia longepetiolata","Huber","S. A. Mori","M. G. da Silva","4015","1978","11","29","South America","Brazil","Pará","Parque Nacional do Tapajós, km 68 de estrada Itaituba-Jacarecanga, lago da Cobra, Rio Uruazinho.","-55.059354","-3.3969062","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810033","NY00810033_01",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","810032","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","longepetiolata","Gustavia longepetiolata","Huber","S. A. Mori","M. G. da Silva","4015","1978","11","29","South America","Brazil","Pará","Parque Nacional do Tapajós, km 68 de estrada Itaituba-Jacarecanga, lago da Cobra, Rio Uruazinho.","-55.059354","-3.3969062","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810032","NY00810032_01",NA,NA,NA,NA,NA,NA
"3","2020-08-31 08:54:06-03","INPA","INPA","134946","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Gustavia","longepetiolata","Gustavia longepetiolata","Huber","Mori, SA","Silva, MG da","4015","1978","11","29","Southern America","Brasil","Pará","Parque Nacional de Tapajós, Parque Nacional do Tapajós, Km 68 da estrada Itaituba-Jacarecanga, lago da Cobra, Rio Uruzinho.","-55.059354","-3.396906",NA,NA,"INPA0134946","INPA0134946 INPA0134946_e","1980","Itaituba","-55.059354","-3.396906",NA,NA
"4","2019-11-13 11:21:20-03","USP","SPF","188349","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Gustavia","longepetiolata","Gustavia longepetiolata","Huber","Rosa, NA","Salomão, RP","1116","2007","10",NA,NA,"Brasil","Pará","Belo Monte","-52.2064018249512","-3.20333003997803",NA,NA,"SPF00188349",NA,"2008","Altamira",NA,NA,"748499","auto"
