"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:38:14-03","E","E","82952","PreservedSpecimen","Plantae","Compositae","Stevia","leptophylla","Stevia leptophylla","Silva, J.M. & Poliquesti, C.B.","1132","1992","05","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91425","<a href=http://data.rbge.org.uk/herb/E00082952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798911","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","J. M. Silva","1132","1992","05","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798911","Magnoliophyta","Asterales","Sch.Bip. ex Baker","H. E. Robinson","Paraná","Lapa","Volta Grande","-49.7156","-25.7697","NY00798911_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798912","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","A. Schinini","4351","1972","03",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798912","Magnoliophyta","Asterales","Sch.Bip. ex Baker",NA,"Paraguarí",NA,"Piraretá. Roquedes proximos al Salto Piraretá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","847413","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","H. S. Irwin","13532","1966","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847413","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso","Goiás","Cristalina","Serra dos Cristais, ca. 10 km W. of Cristalina","-47.69379","-16.75","NY00847413_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:54-03","UNESP-IBB","BOTU","27114","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","Cervi, A.C.","4093","1993","04","22",NA,"Brasil",NA,NA,"Erva ereta de flores alvas, beira do rio","BOTU027114",NA,NA,"Sch. Bip. ex Baker","Cervi, A.C.","Paraná","Rio dos Papagaios",NA,NA,NA,NA,NA,NA,"1997","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:08-03","EAO","IAN","34691","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN034691","Dicotiledônea",NA,"Sch.Bip. ex Baker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:24:54-03","PUCPR","HUCP","7281","S","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","Silva, JM; Poliquesi, CB","1123","1992","05","13",NA,"Brasil",NA,NA,NA,"HUCP00008235","Eudicotiledonea",NA,"Sch.Bip. ex Baker.","Hatschbach, GG","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564","HUCP00008235",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:07:14-03","CPAN-UFMS","COR","10326","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","Barbosa, E.; Cordeiro, J.; Peres, R.H.","481","2000","04","20",NA,"Brasil",NA,NA,"Com Flor: Capítulo alvacento",NA,NA,NA,"Sch.Bip. ex Baker","O.S. Ribas","Paraná","Palmeira","Rio Lajeado. Campo limpo, seco; ;.","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-05-19 10:29:39-03","UFBA","ALCB","032177","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","Silva, JM; Poliquesi, CB","1132","1992","05","13","Southern America","Brasil",NA,NA,"Capítulo lilás.",NA,"Dicotyledon",NA,"Sch. Bip. ex Baker","Rob., H","Paraná","Lapa",NA,"-49.7","-25.766667",NA,NA,NA,"1994",NA,"-49.7","-25.766667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-05-19 10:29:39-03","UFBA","ALCB","111939","PreservedSpecimen","Plantae","Asteraceae","Stevia","leptophylla","Stevia leptophylla","Silva, JM; Ribas, OS; Garcia, CAB","4762","2006","05","19","Southern America","Brasil",NA,NA,"capítulo lilás.; Solo rochoso",NA,"Dicotyledon",NA,"Sch. Bip. ex Baker","Nakajima, JN","Paraná","Lapa","Colênia Augusta.","-49.7158012390137","-25.7696990966797",NA,NA,NA,"2009",NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA
