"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:25:32-03","UNESC","CRI","4131","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","Marcos Sobral","V. P. Boff","1995","09","07","Brasil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","CRI004303","CRI004303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:32-03","UNESC","CRI","6239","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","Vanilde Citadini- Zanette","Átila Portal","1997","01","12","Brasil","Santa Catarina","Praia Grande","Borda Canyon Malacara.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI004301","CRI004301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:41-03","UNESC","CRI","8796","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","Ronaldo dos Santos Junior","Ronaldo","2010","12","02","Brasil","Santa Catarina","Bom Jardim da Serra","Trilha dos Tropeiros.","-49.625","-28.3375","49º37'30''W","28º20'15''S","1281","1281","CRI004302","CRI004302","2010","12","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:33-03","E","E","283798","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi",NA,NA,"Silva, J.M., Cordeiro, J., Poliquesi, C.B.","1997","09","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00283798",NA,NA,NA,NA,"1999","E. Tropical South America","herbarium specimen of unspecif","BGBASE:295343","<a href=http://data.rbge.org.uk/herb/E00283798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1146304","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","F. A. Michelangeli","P. W. Fritsch","2005","10","19","Brazil","Paraná","Antonina","Trail to Pico Caratuva, ca. 8 km from Fazenda Pico Paraná. The Fazenda is ca. 5 km from BR-160.","-48.82986","-25.2453",NA,NA,"1628","1628","NY01146304","NY01146304_01",NA,NA,NA,"1829","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336729' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","522145","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","G. G. Hatschbach","G. G. Hatschbach","1972","11","19","Brazil","Paraná","Palmas","Morro da Baliza","-51.9906","-26.4844",NA,NA,NA,NA,"NY00522145","NY00522145_01",NA,NA,NA,"30733","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409864' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","522142","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","J. J. Wurdack","R. A. Wasum","1995","09","03","Brazil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.945844","-29.059177",NA,NA,"1200","1200","NY00522142","NY00522142_01",NA,NA,NA,"10775","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409861' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","522139","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","R. Goldenberg","B. Rambo","1951","01","10","Brazil","Santa Catarina","Lages",NA,"-50.3258","-27.8161",NA,NA,NA,NA,"NY00522139","NY00522139_01",NA,NA,NA,"49677","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409865' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","522136","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","J. J. Wurdack","R. A. Wasum","1992","09","27","Brazil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.947905","-29.057588",NA,NA,"1050","1050","NY00522136",NA,NA,NA,NA,"8675","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409859' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","522150","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","J. J. Wurdack","R. Reitz","1958","09","18","Brazil","Santa Catarina","Sao Joaquim","Serra do Oratório, Bom Jardim","-49.9317","-28.2942",NA,NA,"1500","1500","NY00522150","NY00522150_01",NA,NA,NA,"7167","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409852' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","522146","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","M. Sobral","M. Sobral","1983","12",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","Faxinal","-50.1444","-29.0481",NA,NA,NA,NA,"NY00522146","NY00522146_01",NA,NA,NA,"2642","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409845' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","522138","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ramboi","Miconia ramboi","Brade","J. J. Wurdack","G. G. Hatschbach","1994","11","24","Brazil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.948323","-29.057273",NA,NA,"1000","1000","NY00522138","NY00522138_01",NA,NA,NA,"61315","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409860' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
