"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:34:11-03","UNESC","CRI","5321","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","J. A. Jarenkow","J. A. Jarenkow","2405","1994","08","28","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.907778","-27.465278","51º54'28''W","27º27'55''S","CRI007386","CRI007386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","11389","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","A. Korte","A. Korte; A. Kniess","2565","2010","04","07","Brasil","Santa Catarina","Ibirama","-49.519167","-27.058889","49º31'9''W","27º3'32''S","CRI007291","CRI007291","2010","04","07","Caminho Moema.","158","158","Floresta Ombrófila Densa Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","669115","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","C. E. Benítez de Rojas","G. G. Hatschbach","26912","1971","08","12","Brazil","Paraná","Chopinzinho","-52.5231","-25.8558",NA,NA,"NY00669115","NY00669115_01",NA,NA,NA,"Reserva Indigena.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359243' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669116","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","C. E. Benítez de Rojas","G. G. Hatschbach","HH-19769","1968","09","20","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,"NY00669116","NY00669116_01",NA,NA,NA,"Guara.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359242' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669118","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","C. E. Benítez de Rojas","L. B. Smith","12655","1964","10","17","Brazil","Santa Catarina","Itapiranga","-53.73","-27.17",NA,NA,"NY00669118","NY00669118_01",NA,NA,NA,"Steep slope by Rio Uruguaí, 3km west of Itapiranga.","200","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359241' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669117","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","C. E. Benítez de Rojas","P. K. H. Dusén","11885","1911","06","11","Brazil","Santa Catarina","Herval d'Oeste","-51.4944","-27.1936",NA,NA,"NY00669117","NY00669117_01",NA,NA,NA,"Herval.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359240' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669114","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","C. E. Benítez de Rojas","G. G. Hatschbach","51480","1987","10","06","Brazil","Paraná","Mandirituba","-49.3258","-25.7792",NA,NA,"NY00669114","NY00669114_01",NA,NA,NA,"Rod. BR-116, Quatro Pinheiros.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359244' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:21:01-03","UFRJ","RFA","14670","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","G.G. Hatschbach","G.G. Hatschbach; O. Guimarães","26912","1971","08","12","Brasil","Paraná","Chopinzinho","-52.5233001708984","-25.8558006286621",NA,NA,"RFA49137",NA,NA,NA,NA,"Reserva indígena",NA,NA,"Árvore de 15 m, tronco 40 cm, flor creme esverdeada",NA,NA,NA,NA,"31475","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:21:01-03","UFRJ","RFA","11602","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","G.G. Hatschbach","G.G. Hatschbach","19769","1968","09","20","Brasil","Paraná","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,"RFA49138",NA,NA,NA,NA,"Guará",NA,NA,"Arvoreta 6 m, flor creme-esverdeada",NA,NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:11:05-03","UTFPR","DVPR","1370","PreservedSpecimen","Plantae","Solanaceae","Cestrum","capsulare","Cestrum capsulare","Carvalho & Schnoor","Estevan, DA","Moura, APC","103","2013","10","12","Brasil","Paraná","Dois Vizinhos","-53.0604","-25.413","-53.0604","-25.413","DVPR001370",NA,"2013","11",NA,"Mata Nativa, UTFPR - DV. Parcela 9, sub-parcela regeneração 4",NA,NA,"Arvoreta.; Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-24 17:11:05-03","UTFPR","DVPR","3417","PreservedSpecimen","Plantae","Solanaceae","Cestrum","capsulare","Cestrum capsulare","Carvalho & Schnoor","Estevan, DA","Souza, PR; Estevan, DA","15","2015","12","18","Brasil","Paraná","Dois Vizinhos","-53.055018","-25.431179","-53.055018","-25.431179","DVPR003417",NA,"2015",NA,NA,"Comunidade Pinheirinho",NA,NA,"Arvoreta 1.5m, flores.; Ecótono de Floresta Estacional Semidecidual e Floresta Ombrófila Mista","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-24 17:11:06-03","UTFPR","DVPR","294","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","Estevan, DA","Estevan, DA; et al.","439","2004","09","10","Brasil","Paraná","Ventania","-50.2428016662598","-24.2458000183105",NA,NA,"DVPR000294","DVPR000294","2004",NA,NA,"Fazenda Califórnia - Henrique Sato",NA,NA,"Árvore 7 m, frutos verdes.","Magnoliophyta",NA,NA,NA,"32424","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:25:53-03","PUCPR","HUCP","24635","S","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii",NA,NA,"Lopes, R","s.n.","2014","08","30","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00018307","HUCP00018307",NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:25:07-03","UFBA","ALCB","050096","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.","Hatschbach, G","Hatschbach, G; Silva, JM; Cruz, JM","68271","1998","09","01","Brasil","Paraná","Piraí do Sul","-49.948600769043","-24.5261001586914",NA,NA,NA,NA,"1999",NA,NA,"Joaquim Murtinho.",NA,NA,"5m, flor creme esverdeada.","Dicotyledon",NA,"Southern America",NA,"37171","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:35:07-03","NBC","NL-BOTANY","U.1736147","PreservedSpecimen","Plantae","Solanaceae","Cestrum","capsulare","Cestrum capsulare","Carvalho & A.Schnoor",NA,"Smith LB; Reitz R",NA,"1964","10","17","Brazil",NA,NA,"-53.733333","-27.166667","-53.733333","-27.166667","NL-U1736147","NL-U1736147",NA,NA,NA,"Santa Catarina. Mun. Itapiranga: Forest, steep slope by Rio Uruguai, 3 km west of Itapiranga.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1736147 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:35:43-03","NBC","NL-BOTANY","L 0704828","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.",NA,"Unknown",NA,NA,NA,NA,"Brazil","Santa Catarina",NA,"-53.733333","-26.533333","-53.733333","-26.533333","NL-L0704828",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200704828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:35:43-03","NBC","NL-BOTANY","L.2881115","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.",NA,"Unknown",NA,NA,NA,NA,"Brazil",NA,NA,"-53.733333","-27.166667","-53.733333","-27.166667","NL-L2881115","NL-L2881115",NA,NA,NA,"Brazil. Santa Catarina. Mun. Itapiranga; Forest, steep slope by Rio Uruguai, 3 km west of Itapiranga.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:35:43-03","NBC","NL-BOTANY","L.2881116","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.",NA,"Hatschbach GG",NA,"1968","09","20","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2881116","NL-L2881116",NA,NA,NA,"Est. Parana (Brasil), Mun: Guarapuava. Guara.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:35:43-03","NBC","NL-BOTANY","L.2881117","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.",NA,"Hatschbach GG",NA,"1961","09","11","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2881117","NL-L2881117",NA,NA,NA,"Est. Parana (Brasil), Mun. Bocaiuva do Sul. Serra S'Ana.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881117 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:35:43-03","NBC","NL-BOTANY","WAG.1527377","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.",NA,"Hatschbach GG; Guimarães OA",NA,"1971","08","12","Brazil",NA,NA,NA,NA,NA,NA,"NL-WAG1527377","NL-WAG1527377",NA,NA,NA,"Resaerva Indighena (mun. chopinzinho) Parana.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1527377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:35:43-03","NBC","NL-BOTANY","WAG.1527378","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii","Taub.",NA,"Smith LB; Reitz R",NA,"1964","10","19","Brazil",NA,NA,"-53.783333","-27.116667","-53.783333","-27.116667","NL-WAG1527378","NL-WAG1527378",NA,NA,NA,"Santa Catarina, Mun. Itapiranga: Upland forest, Santo Antonio.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1527378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:20:00-03","ESALQ","ESA","99552","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii",NA,"Santos, A.P.M.","Milla, A.P.","43.0","2003","05","28","Brasil","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975",NA,NA,"ESA099552","ESA099552","2004","02","19",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"58223","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:20:00-03","ESALQ","ESA","40205","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnelli","Sessea regnelli",NA,NA,"Jarenkow, J.A.","2374.0","1993","12","15","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.9063987731934","-27.4617004394531",NA,NA,"ESA040205",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"18635","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:20:00-03","ESALQ","ESA","43737","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii",NA,NA,"Jarenkow, J.A.","2405.0","1994","08","28","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.9063987731934","-27.4617004394531",NA,NA,"ESA043737",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"18635","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:20:00-03","ESALQ","ESA","99553","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii",NA,"Santos, A.P.M.","Milla, A.P.","72.0","2003","06","10","Brasil","Minas Gerais","Indianápolis",NA,NA,NA,NA,"ESA099553","ESA099553","2004","02","19",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:20:00-03","ESALQ","ESA","99551","PreservedSpecimen","Plantae","Solanaceae","Sessea","regnellii","Sessea regnellii",NA,NA,"Milla, A.P.","364.0","2005","03","10","Brasil","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975",NA,NA,"ESA099551","ESA099551",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"58223","auto",NA,NA,NA,NA,NA,NA,NA
