"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","typeStatus","recordNumber","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:33:44-03","UNESC","CRI","8824","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata","D.Legrand","M. Sobral","1998","07","21","Robson dos Santos; Vanilde Citadini Zanette & Zenaide Paes Topanotti","1998","07","21","Brasil","Santa Catarina","Criciúma","Propriedade de João Dagostim Bairro Quarta Linha.","-49.373333","-28.678056","49º22'24''W","28º40'41''S","58","58","CRI005192","CRI005192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:38-03","UNESC","CRI","15114","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata","D.Legrand","Aline Votri Guislon & Renato Colares","2018","09","25","Aline V. Guislon; Iara Z. Zanoni; Renato Colares & Felipe Seron","2018","09","25","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves (Área L5). Bairro Dagostim","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","CRI014527","CRI014527","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","580052","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","1958","10","16","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul.","-49.563988","-27.247405",NA,NA,"800","800","NY00580052","NY00580052_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709769' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","paratype","7301","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","404965","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata multicostata","D.Legrand",NA,NA,NA,NA,"R. Reitz",NA,NA,NA,"Brazil","Santa Catarina","Lauro Muller","Novo Horizonte, Lauro Müller","-49.483071","-28.387264",NA,NA,"400","400","NY00404965","NY00404965_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491641' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype","6763","South America","sheet","multicostata",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","580055","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","1956","08","16","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"450","450","NY00580055","NY00580055_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709770' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","paratype","3601","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01093222","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata multicostata","D.Legrand",NA,NA,NA,NA,"L. B. Smith","1956","11","12","Brazil","Santa Catarina","Ibirama","Horto Florestal, Ibirama.","-49.5178","-27.0569",NA,NA,"450","700","NY01093222","NY01093222_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230533' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","paratype","7553","South America","sheet","multicostata",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","580049","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata octocostata","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","1967","10","20","Brazil","Paraná","Guaraqueçaba","Rio do Cedro.","-48.3289","-25.3069",NA,NA,"50","50","NY00580049","NY00580049_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118151' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"17521","South America","sheet","octocostata",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","404966","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata octocostata","D.Legrand",NA,NA,NA,NA,"R. Reitz",NA,NA,NA,"Brazil","Santa Catarina",NA,"Três Barras, Garuva, S. Francisco do Sul",NA,NA,NA,NA,"100","100","NY00404966","NY00404966_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=204516' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype","5646","South America","sheet","octocostata",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","580054","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","1956","08","03","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça.","-48.694057","-27.77489",NA,NA,"250","250","NY00580054","NY00580054_01","Lenho na xiloteca. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709771' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"3537","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","580056","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multicostata","Eugenia multicostata","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","1968","10","22","Brazil","Paraná","Morretes","Rio Sagrado de Cima.","-48.8342","-25.4769",NA,NA,"300","300","NY00580056","NY00580056_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709772' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"20087","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
