"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","408550","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","T. D. Pennington","10178","1978","03","04","South America","Brazil","Bahia","Barra do Choça","Road Vitoria da Conquista-Barro da Choca km 19","-40.57","-14.88","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408550","NY00408550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","408547","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","T. D. Pennington","10180","1978","03","04","South America","Brazil","Bahia","Barra do Choça","Road Vitoria da Conquista-Barro da Choca km 19","-40.57","-14.88","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408547","NY00408547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","408545","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","T. D. Pennington","10182","1978","03","04","South America","Brazil","Bahia","Barra do Choça","Road Vitoria da Conquista-Barro da Choca km 19","-40.57","-14.88",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408545","NY00408545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","401952","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","T. D. Pennington","10180","1978","03","04","South America","Brazil","Bahia","Barra do Choça","Road Vitoria da Conquista-Barro da Choca km 19","-40.57","-14.88","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401952","NY00401952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","401951","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","T. D. Pennington","10176","1978","03","04","South America","Brazil","Bahia","Barra do Choça","Road Vitoria da Conquista-Barro da Choca km 19","-40.57","-14.88","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401951","NY00401951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","401966","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","S. A. Mori","10741","1978","09","20","South America","Brazil","Bahia","Itamarajú","Ca. 5 km a W de Itamarajú. Folha SE -24 (17-40d)","-39.5815229","-17.0363517",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401966","NY00401966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00837311","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837311","NY00837311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039629","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.",NA,"E. J. Lucas","818","2006","11","30","South America","Brazil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce, estrada Mantegueira.","-40.0714","-19.1522","6",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039629","NY01039629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","632007","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","H. O. Pengel","9","1998","02","05","South America","Brazil","Bahia","Jussari","Km 8 na estrada Jussari/Palmira. Faz. Teimoso. Reserva Natural da Serra do Teimoso.","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632007","NY00632007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181802","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis","(A.Juss.) C.DC.","T. D. Pennington","R. C. Forzza","5144","2008","07","16","South America","Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante. Trilha principal na Mata da Fazenda Santa Rita.","-40.4328","-18.7825","154","154","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181802","NY01181802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
