"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","stateProvince","typeStatus","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:24:46-03","UNESC","CRI","3652","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides","(Vell.) Engl.","R. Záchia","R. Záchia; R. Magalhães & V. Stalter","1993","11","19","Brasil","São","Ponte do Rio Butui.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","70","70","CRI000094","CRI000094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:01-03","E","E","161660","PreservedSpecimen","Plantae","Anacardiaceae","Lithraea","molleoides","Lithraea molleoides",NA,NA,"Proença, C. & Souza, M.L.","1992","07","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00161660",NA,"797","E. Tropical South America","herbarium specimen of unspecif","BGBASE:169735","<a href=http://data.rbge.org.uk/herb/E00161660 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:01-03","E","E","89952","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides",NA,NA,"Scolnik, R.; Araque, J. & Barkley, F.A.","1950","02","05","AR","Colón","Unquillo (Cabana).",NA,NA,NA,NA,NA,NA,"E00089952",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:119066","<a href=http://data.rbge.org.uk/herb/E00089952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Prov. de Córdoba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:01-03","E","E","89949","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides",NA,NA,"Schwindt, E.","1949","04","01","AR","San Pedro","El Alcázar.",NA,NA,NA,NA,NA,NA,"E00089949",NA,"1449","Temperate South America","herbarium specimen of unspecif","BGBASE:119061","<a href=http://data.rbge.org.uk/herb/E00089949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Prov. de Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:01-03","E","E","89954","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides",NA,NA,"Gillies, John",NA,NA,NA,"AR",NA,"Il Aguadito Province of Lau Luis ?",NA,NA,NA,NA,NA,NA,"E00089954",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:119077","<a href=http://data.rbge.org.uk/herb/E00089954 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:01-03","E","E","89948","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides",NA,NA,"Schwarz, G.J.","1950","08","23","AR","Cainguás","Puerto Mineral.",NA,NA,NA,NA,NA,NA,"E00089948",NA,"10654","Temperate South America","herbarium specimen of unspecif","BGBASE:119060","<a href=http://data.rbge.org.uk/herb/E00089948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Prov. de Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:01-03","E","E","89950","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides",NA,NA,"Schwarz, G.J.","1949","11","14","AR","Mburucuyá","Estancia Santa Teresa.",NA,NA,NA,NA,"400","400","E00089950",NA,"8707","Temperate South America","herbarium specimen of unspecif","BGBASE:119062","<a href=http://data.rbge.org.uk/herb/E00089950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Prov. de Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:01-03","E","E","89947","PreservedSpecimen","Plantae","Anacardiaceae","Lithrea","molleoides","Lithrea molleoides",NA,NA,"Schwarz, G.J.","1948","09","27","AR","San Tgnacio","Santo Pipo.",NA,NA,NA,NA,"300","300","E00089947",NA,"6175","Temperate South America","herbarium specimen of unspecif","BGBASE:119059","<a href=http://data.rbge.org.uk/herb/E00089947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Prov. de Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1030760","PreservedSpecimen","Plantae","Anacardiaceae","Lithraea","molleoides","Lithraea molleoides","(Vell.) Engl.","J. D. Mitchell","Collector unknown","1957","11",NA,"Brazil","Caeté","Caeté","-43.6694","-19.88",NA,NA,NA,NA,"NY01030760","NY01030760_01","34","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121231' target='other'> <mi>dwc_moreinfo</mi></a>","Minas Gerais",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01068213","PreservedSpecimen","Plantae","Anacardiaceae","Lithraea","molleoides","Lithraea molleoides","(Vell.) Engl.","J. D. Mitchell","A. A. dos Santos","2002","08","12","Brazil","Cristalina","Goiás. Cristalina. Margem direita do rio Preto, acima da ponte de madeira; acesso para Palmital- túnel de desvio. Area de influência do AHE Queimado; influência direita. Local à montante da obra.","-47.3331","-16.2053",NA,NA,NA,NA,"NY01068213","NY01068213_01","1360","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222092' target='other'> <mi>dwc_moreinfo</mi></a>","Goiás",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-10-28 15:25:00-02","NY","NYBG","1030752","PreservedSpecimen","Plantae","Anacardiaceae","Lithraea","molleoides","Lithraea molleoides",NA,"J. D. Mitchell","M. Pereira Neto","1988","08","30","Brazil","Leopoldo de Bulhões",NA,"-48.7433","-16.6194",NA,NA,NA,NA,"NY01030752","NY01030752_01","77","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121188' target='other'> <mi>dwc_moreinfo</mi></a>","Goiás",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 14:59:00-02","NY","NYBG","437874","PreservedSpecimen","Plantae","Anacardiaceae","Lithraea","molleoides","Lithraea molleoides",NA,NA,"A. E. Severin",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00437874","NY00437874_01","72","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16804' target='other'> <mi>dwc_moreinfo</mi></a>","São Paulo",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
