"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","12538","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.","Aline Votri Guislon & Renato colares","2017","07","25","Alexandre Medeiros","2017","05","28","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.585","-27.023333","48º35'6''W","27º1'24''S","Coleta 378 a. Habito: Subarbusto","CRI010745","CRI010745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","12464","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.","Renato Colares & Aline V. Guislon","2017","07","17","Alexandre Medeiros","2017","05","28","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 378. Habito: Subarbusto","CRI010671",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:17-03","E","E","40819","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"Triana, J.J.",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040819",NA,NA,NA,"3653","W. Tropical South America","herbarium specimen of unspecif","BGBASE:49091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:17-03","E","E","40817","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"Smith, H.H.",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040817",NA,NA,NA,"357","W. Tropical South America","herbarium specimen of unspecif","BGBASE:49089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:17-03","E","E","40818","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"Smith, H.H.",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040818",NA,NA,NA,"360","W. Tropical South America","herbarium specimen of unspecif","BGBASE:49090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:17-03","E","E","212653","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","corniculata","Sebastiania corniculata",NA,NA,NA,NA,NA,"Fiebrig, K.",NA,NA,NA,"PY",NA,NA,"Zwischen Rio Apa und Rio Aquidaban. Trorknor Camp, zwischen hohen Grasern.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00212653 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212653",NA,NA,NA,"4264","E. Tropical South America","herbarium specimen of unspecif","BGBASE:227668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:17-03","E","E","200657","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","corniculata","Sebastiania corniculata",NA,NA,NA,NA,NA,"Schomburgk, Robert Hermann","1905","01","10","GY",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00200657 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00200657",NA,NA,NA,"912","E. Tropical South America","herbarium specimen of unspecif","BGBASE:211589","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:17-03","E","E","212656","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","glandulosa","Sebastiania glandulosa",NA,NA,NA,NA,NA,"Ratter, J.A., Filho, J. Fonsêca & Dos Santos, J.B.","1993","11","08","BR","Mato Grosso",NA,"Serra da Petrovina, Mun. de Tatuapé, on highway BR 364.","-54","-16.783333","-54.000000","-16.783333","<a href=http://data.rbge.org.uk/herb/E00212656 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212656",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:227663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 14:50:00-02","NY","NYBG","539223","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"R. de Lemos Fróes","1943","02","17","Brazil","Bahia","Mucugê","Mucugé, regiao da Serra do Sincorá","-41.3706","-13.0056",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539223","NY00539223_01",NA,NA,"20115","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","273250","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"P. Clausen","1838",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273250","NY00273250_01",NA,NA,"749","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1065618","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"W. R. Anderson","1973","03","16","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 13 km by road S of Terezina","-47.2647","-13.8939",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1321965' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065618",NA,NA,NA,"7263","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","1000","1000",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1019637","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"S. F. Conceição","2005","11","17","Brazil","Bahia","Conde","Estrada Conde/Sibirinha.","-37.5303","-11.7756",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287092' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019637","NY01019637_01",NA,NA,"388","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","6","6",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02098211","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.","H.-J. Esser",NA,NA,NA,"L.A. Gomes","2011","11","11","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto, Borda da mata.","-37.41886","-11.38594",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245140' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098211","NY02098211_01",NA,NA,"262","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01478510","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"J. M. Poole","1979","06","28","Brazil","Amazonas",NA,"Along the Rio Negro, between Manaus and São Gabriel. São Luiz","-63","-0.166667",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1324239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478510","NY01478510_01",NA,NA,"1701","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
