"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","typeStatus"
"1","2019-11-06 09:55:07-03","UFOP","OUPR","31323","PreservedSpecimen","Plantae","Eriocaulaceae","Leiothrix","gomesii","Leiothrix gomesii","Silveira","Echternacht, L.","2018","06","07","Pedrosa, L.G.","363","2018","06","06","Brasil","Minas Gerais","Ouro Preto","Dom Bosco","-43.5080986022949","-20.2875003814697","44599","Erva, 15cm, escapo ca. 50cm. Flores alvas. Cresce no cerrado rupestre úmido.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-10 17:21:32-03","UFMG","BHCB","128191","PreservedSpecimen","Plantae","Eriocaulaceae","Leiothrix","gomesii","Leiothrix gomesii","Silveira",NA,"2010","02","18","Echternacht, LA; Bastos, TV; Oliveira, CT; Viveros, RS","1938","2009","03","01","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, Pico do Sol","-43.444444","-20.111667",NA,"Erva com caule rizomatoso horizontal, ramificado, formando agrupamentos com rosetas basais; Folhas verdes, com tricomas longos na base; Brácteas involucrais externas paleáceas, amareladas, internas creme, pilosas; Flores brancas.; Cam",NA,"Monocotyledon","Southern America","-43.444444","-20.111667","2087","2087","BHCB058179","BHCB058179",NA
"3","2021-03-10 17:21:32-03","UFMG","BHCB","142385","PreservedSpecimen","Plantae","Eriocaulaceae","Leiothrix","gomesii","Leiothrix gomesii","Silveira",NA,"2009","08","10","Oliveira, CT; Borsali, EF; Gontijo, FD; Ribeiro, RC","487","2009","06","29","Brasil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Pico do Sol","-43.453333","-20.106111",NA,"Erva em roseta, capítulos passados.",NA,"Monocotyledon","Southern America","-43.453333","-20.106111","1937","1937","BHCB058180","BHCB058180",NA
"4","2019-05-06 11:55:23-03","UFU","HUFU","67895","S","Plantae","Eriocaulaceae","Leiothrix","gomesii","Leiothrix gomesii","Silveira","Echternacht, L.","2010","02","18","Echternacht, L.; Bastos, T.V.","1938","2009","03","01","Brasil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Pico do Sol.","-43.444444","-20.111667",NA,"Erva com caule rizomatozo horizontal, ramificado, formando agupamentos com rosetas basais. Folhas verdes, com tricomas longos na base. Brácteas involucrais externas paleáceas, amareladas, interna creme, pilosa. Flores brancas.",NA,NA,NA,"-43.444444","-20.111667","2087","2087","HUFU00029434","HUFU00029434",NA
"5","2021-03-08 15:43:54-03","MN","R-TIPOS","143982","PreservedSpecimen","Plantae","Eriocaulaceae","Leiothrix","gomesii","Leiothrix gomesii","Silveira",NA,NA,NA,NA,"Gomes, F.M.","s.n.","1893","03",NA,"Brasil","Minas Gerais",NA,"Serra do Capanema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R000143982","R000143982_001","Syntypus"
