"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01214108","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","W. Holmes","N. T. da Silva","60872","1966","01","24","South America","Brazil","Comissao de Limites Marker BR-1, Serra Pirapucú.","-65.867369","0.531955","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1458059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214108","NY01214108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797204","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","J. F. Pruski","J. A. Steyermark","111366","1975","01","03","South America","Venezuela","14 km. east of Perai-tepuy","-60.8088","5.055525","910","910","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797204",NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","796896","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","G. M. Barroso","A. C. Brade","16434","1940","07","19","South America","Brazil","Flora da Serra dos Orgaos, Pedra do Frade","-44.492349","-22.951362","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796896","NY00796896_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","796900","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","W. C. Holmes","R. A. Wasum","573","2000","03","26","South America","Brazil","RS - 235","-50.5833","-29.4483","830","830","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796900","NY00796900_01","Rio Grande do Sul","Sao Francisco de Paula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","796899","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","J. F. de Toledo","F. C. Hoehne","s.n.","1932","06","13","South America","Brazil","Capital, Parque do Estado","-46.621883","-23.654505",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796899","NY00796899_01","São Paulo","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","797201","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","W. C. Holmes","L. Riedel","s.n.","1823","03","02","South America","Brazil","Serra Estrella","-43.1783","-22.505",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797201","NY00797201_01","Rio de Janeiro","Petrópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","796895","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker",NA,"S. M. Carvalho","74","1983","08","09","South America","Brazil","Estaçao Ecológica de Piraí",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796895","NY00796895_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 14:44:00-03","NY","NYBG","797203","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis",NA,NA,"F. O. Zuloaga","5548","1996","04","15","South America","Argentina","Parque Provincial Cruce Caballero","-53.98","-26.52","690","690","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797203",NA,"Misiones","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","796897","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker",NA,"A. C. Brade","18267","1946","05","17","South America","Brazil","Alto Limoeiro - Sta. Maria","-40.8556","-19.8019",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796897","NY00796897_01","Espírito Santo","Itaguaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","803340","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","W. C. Holmes","G. G. Hatschbach","21327","1969","04","11","South America","Brazil","Col. Floresta.","-48.8342","-25.4769","50","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803340","NY00803340_01","Paraná","Morretes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","803339","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","S. F. Smith; L. B. Smith","G. G. Hatschbach","14317","1966","04","29","South America","Brazil","Fda. Lagoa.","-52.6047","-23.6633",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803339","NY00803339_01","Paraná","Cianorte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","796898","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker",NA,"A. C. Brade","18267","1946","05","17","South America","Brazil","Alto Limoeiro - Sta. Maria","-40.8556","-19.8019",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796898","NY00796898_01","Espírito Santo","Itaguaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","797202","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","J. F. de Toledo","M. Kuhlmann","s.n.","1939","04","22","South America","Brazil","Serraria Corrego Alegre, Mata da Fazenda Corrego Alegre",NA,NA,NA,NA,"sheet","Ex. Departamento de Botanica do Estado <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797202","NY00797202_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-12 15:31:37-03","UFABC","HUFABC","000401","PreservedSpecimen","Plantae","Angiospermas",NA,"Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker",NA,"Mourad, B M","19","2014","01","14",NA,"Brasil","Vila de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,"Nome Popular: Guaco; valor medicinal: Tosse","HUFABC000401","HUFABC000401","São Paulo","Santo André","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3656210","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","chlorolepis","Mikania chlorolepis","Baker",NA,"Reitz R; Klein RM",NA,"1958","04","17","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3656210 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3656210","NL-L3656210","Santa Catarina",NA,NA,NA,"Magnoliopsidae","L 0276553",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:01:56-03","ESALQ","ESA","33827","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","chlorolepis","Mikania chlorolepis","Baker","Oliveira, C.T.","Koch, I. et al.","611.0","1996","05","25",NA,"Brasil",NA,"-45.1699981689453","-22.6100006103516",NA,NA,NA,NA,"ESA033827","ESA033827","São Paulo","Piquete","13434","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
