"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","relatedCatalogItem","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","884565","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Sm.","G. Martinelli","W. Boone","590","1985","07","19","South America","Brazil","Espírito Santo","Santa Teresa","Pátio do MBML","-40.6003","-19.9358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884565","NY00884565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:37-03","UFRJ","RFA","30938","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Sm.","A.P.G. de Faria","A.P.G. de Faria; T. Wendt; D.M.C. Santos; L.F.G. Silva; G.K. Brown","52","2002","09","26",NA,"Brasil","Espírito Santo","Santa Teresa","Escapo, brácteas escapais e primárias rosas. Sépalas branco arroxeadas","-40.6002998352051","-19.9356002807617",NA,NA,"RFA52503",NA,"2002","09","26","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:37-03","UFRJ","RFA","30418","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Sm.","T. Wendt","T. Wendt; G.K. Brown; L. Kollmann","394","2000","12","07",NA,"Brasil","Espírito Santo","Santa Teresa","estação Biológica de santa Lúcia","-40.6002998352051","-19.9356002807617",NA,"Epífita. Brácteas e sépalas rosadas","RFA52484",NA,"2000","12","07","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:37-03","UFRJ","RFA","28279","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Sm.","A.P.G. de Faria","A.P.G. de Faria; L. Kollmann","160","2003","08","13",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Ecológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,"Epífita. Brácteas escapais e primárias rosas. Brácteas florais e sépalas rosas. Pétalas roxas","RFA52505",NA,"2003","08","13","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:32-03","MN","R","224999","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B. Sm.","Neves, B.F.S.","Neves, B.F.S. 284; Jacques, S.S.A.",NA,"2015","04","11",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.53675","-19.971583",NA,NA,"R010001945","R010001945","2015","09",NA,NA,NA,"40°32'12.3W","19°58'17.7S",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:25:32-03","MN","R","211158","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B. Sm.",NA,"Moura, R.","932","2009","04","19",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim",NA,"-41.1128005981445","-20.8488998413086",NA,NA,"R010000976,R010000977","R010000976 R010000977",NA,NA,NA,"35694","auto",NA,NA,"750","750",NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:25:32-03","MN","R","233025","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B. Sm.",NA,"Kessous, I.M.","121","2014","08","20",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"R010045383,R010045384,R010045385",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:25:32-03","MN","R","189330","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B. Sm.",NA,"Costa, A.F. 637 A; Barretto, M.H.",NA,"1995","10","19",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,"R010000978,R010000970","R010000970 R010000978",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:03-03","UFES","VIES","11809","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Sm.","Gomes, J.M.L.","Ghisolfi, A.C.","15","2000","03","29",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas.","-40.4199981689453","-20.2639007568359",NA,NA,"VIES011809","VIES011809","2000","03","29","18507","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:19:16-03","MBM","MBM","280663","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B. Sm.","Martinelli, G.","Boone, W.","590","1985","07",NA,"Southern America","Brazil","Espírito Santo","Santa Teresa","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"MBM280663","MBM280663",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
