"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01199687","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.","T. D. Pennington","C. A. Cid Ferreira","8202","1986","09","18","South America","Brazil","Amazonas","Presidente Figueiredo","Rio Uatuma, margem direita. Diagonal 01, canteiro de obras de Balbina (area do reservatorio)","-59.4734144","-1.9155557","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330575' target='other'> <mi>dwc_moreinfo</mi></a>","NY01199687","NY01199687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01199688","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.","T. D. Pennington","G. T. Prance","23023","1974","10","18","South America","Brazil","Amazonas",NA,"BR-319, km 492, Manaus-Porto Velho Road.","-62.7547807","-6.2963647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328356' target='other'> <mi>dwc_moreinfo</mi></a>","NY01199688","NY01199688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:04:16-03","NBC","NL-BOTANY","U 0006599","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.","Pennington TD","Prance GT; Pennington TD",NA,"1974","10","18","Southern America","Brazil","Amazonas",NA,"State of AmazonasManaus-Pôrto-Velho HighwayBR 319, KM. 492, Manaus-Porto Velho Road.",NA,NA,NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006599 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006599","NL-U0006599","Magnoliopsidae","isotype","391699 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","3300600","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D. Penn.","T.D. Pennington","C.A. Cid Ferreira","Cid Ferreira 8202","1986","9","18","South America","Brazil",NA,NA,"Mun. Pres. Figueredo, AM. Rio Uatumã, margem direita. Diagonal 01, canteiro de obras de Balbina (área do reservatório). Mata de terra firme, solo argiloso.","-59.5","-1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-31 08:54:35-03","INPA","INPA","264890A","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.","Alves-Araújo, A","Correa, AL","535","2015","01","29","Southern America","Brasil","Amazonas","Manaus","ARIE-PDBFF, Estrada ZF-3. Fazenda Esteio - Sítio amostral, km 34 - Reserva 1105 - Parcela 1105-1 - Quadrante 1.","-60.0250015258789","-3.10193991661072",NA,NA,"INPA264890A",NA,NA,NA,NA,"2018","12","05","138090","auto",NA,NA,NA,NA,NA,NA
"6","2020-08-31 08:54:35-03","INPA","INPA","148519","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.","Alves-Araújo, A","Ferreira, CAC","8202","1986","09","18","Southern America","Brasil","Amazonas","Presidente Figueiredo","Canteiro de obras da Hidrelétrica de Balbina, Rio Uatumã, margem direita. Diagonal 01, canteiro de obras da Hidrelétrica de Balbina (área do reservatório).","-59.5","-1.5",NA,NA,"INPA0148519","INPA0148519 INPA0148519_e",NA,NA,NA,"2018","12","04",NA,NA,"-59.5","-1.5",NA,NA,NA,NA
"7","2020-08-31 08:54:35-03","INPA","INPA","255628","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.","Alves-Araújo, A","Nogueira, CLB","222","2012","01","24","Southern America","Brasil","Amazonas","Coari","Base Petrolifera do Urucu.","-65.206833","-4.900444",NA,NA,"INPA0255628","INPA0255628 INPA0255628_e",NA,NA,NA,"2018","12","04",NA,NA,"-65.206833","-4.900444",NA,NA,NA,NA
"8","2020-08-31 08:54:35-03","INPA","INPA","47606","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D.Penn.",NA,"Prance, GT","23023","1974","10","18","Southern America","Brasil","Amazonas",NA,"BR 319, km 482, BR-319, km 492, Manaus-Porto Velho Road.","-62.754781","-6.296365",NA,NA,"INPA0047606","INPA0047606 INPA0047606_e INPA0047606_e1",NA,NA,NA,NA,NA,NA,NA,NA,"-62.754781","-6.296365",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3226616","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D. Penn.",NA,"C. A. Cid Ferreira & et al.","8202",NA,NA,NA,"South America - Neotropics","Brazil","Amazonas",NA,"Mun. Pres. Fiqueredo, AM, Rio Uatuma, Margem direita. Diagonal 01, canteir de obras de Balbina (area do reservatorio).","-59.75","-1.75",NA,NA,"US02704122","US02704122_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2860625","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Micropholis","caudata","Micropholis caudata","T.D. Penn.",NA,"G. T. Prance, T. D. Pennington, M. Leppard, O. P. Monteiro & J. F. Ramos","23023","1974","10","18","South America - Neotropics","Brazil","Amazonas",NA,"Br 319, km 492, Manaus - Porto Velho road.",NA,NA,NA,NA,"US00323706","US00323706_01","Dicotyledonae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
